hero,disadvantage,winrate
spectre,2.91,41.49
batrider,1.98,51.58
phantom-assassin,1.96,43.66
morphling,1.65,50.01
treant-protector,1.41,42.10
primal-beast,1.35,47.18
terrorblade,1.14,49.70
chaos-knight,1.14,45.62
dawnbreaker,1.01,44.64
hoodwink,1.00,48.96
arc-warden,0.96,42.60
broodmother,0.95,44.72
templar-assassin,0.91,51.46
anti-mage,0.90,46.46
meepo,0.87,46.81
monkey-king,0.86,51.40
spirit-breaker,0.78,44.61
earth-spirit,0.77,46.48
tinker,0.76,45.05
nyx-assassin,0.70,43.98
storm-spirit,0.68,45.50
lina,0.62,48.31
pudge,0.62,44.52
night-stalker,0.61,42.79
crystal-maiden,0.57,45.34
snapfire,0.52,49.15
mirana,0.49,49.81
mars,0.43,48.44
luna,0.42,43.24
io,0.41,45.96
clockwerk,0.39,43.39
shadow-fiend,0.35,46.64
tusk,0.32,50.28
vengeful-spirit,0.32,44.12
void-spirit,0.30,43.69
dragon-knight,0.30,47.19
enchantress,0.29,48.33
underlord,0.27,42.21
timbersaw,0.25,45.90
marci,0.24,45.75
legion-commander,0.19,43.27
winter-wyvern,0.16,46.13
slardar,0.16,47.11
tiny,0.13,48.87
wraith-king,0.12,40.50
lycan,0.10,45.72
techies,0.09,48.98
visage,0.08,44.40
gyrocopter,0.03,49.12
pangolier,0.02,50.32
chen,0.02,53.20
sand-king,-0.02,43.45
lone-druid,-0.03,45.34
magnus,-0.04,47.94
zeus,-0.04,45.28
invoker,-0.04,48.49
axe,-0.06,44.01
slark,-0.16,46.65
shadow-shaman,-0.16,43.68
beastmaster,-0.17,51.18
dazzle,-0.20,48.74
clinkz,-0.25,45.64
medusa,-0.27,41.64
bounty-hunter,-0.31,45.09
ursa,-0.33,47.74
doom,-0.39,50.53
sven,-0.45,51.35
naga-siren,-0.47,49.49
ember-spirit,-0.50,49.64
earthshaker,-0.50,47.64
rubick,-0.51,49.57
undying,-0.52,44.67
huskar,-0.53,48.57
viper,-0.56,46.56
bane,-0.58,46.87
lion,-0.59,47.40
faceless-void,-0.59,50.34
pugna,-0.59,48.76
jakiro,-0.69,46.44
ogre-magi,-0.71,45.12
tidehunter,-0.72,48.37
oracle,-0.74,43.85
necrophos,-0.74,44.03
troll-warlord,-0.77,47.01
witch-doctor,-0.82,44.00
grimstroke,-0.82,48.94
skywrath-mage,-0.84,46.02
dark-willow,-0.85,47.78
kunkka,-0.87,45.15
drow-ranger,-0.94,47.17
outworld-destroyer,-0.95,45.52
leshrac,-0.98,47.40
sniper,-0.98,47.82
razor,-1.00,46.69
shadow-demon,-1.02,47.93
centaur-warrunner,-1.07,44.23
weaver,-1.07,48.17
queen-of-pain,-1.07,47.31
ringmaster,-1.08,44.85
phantom-lancer,-1.09,50.77
bristleback,-1.13,48.12
lich,-1.14,43.16
alchemist,-1.16,47.15
puck,-1.18,48.88
abaddon,-1.20,41.11
muerta,-1.20,50.02
brewmaster,-1.22,48.18
silencer,-1.32,44.35
keeper-of-the-light,-1.38,50.68
phoenix,-1.42,47.69
enigma,-1.48,48.23
dark-seer,-1.48,47.33
disruptor,-1.55,47.82
omniknight,-1.56,44.79
death-prophet,-1.56,48.93
riki,-1.57,45.85
ancient-apparition,-1.66,45.33
windranger,-1.69,47.82
warlock,-1.69,43.05
venomancer,-1.88,48.58
juggernaut,-2.03,46.55
elder-titan,-2.83,48.66
bloodseeker,-2.86,47.48
lifestealer,-3.34,48.99
