hero,disadvantage,winrate
muerta,5.04,50.30
ancient-apparition,4.53,45.73
doom,4.49,52.23
leshrac,4.45,48.46
skywrath-mage,4.25,47.56
oracle,3.68,46.00
death-prophet,3.61,50.26
lina,3.56,52.13
arc-warden,3.13,47.08
keeper-of-the-light,2.93,52.88
pugna,2.90,51.86
visage,2.88,48.21
grimstroke,2.75,51.93
viper,2.57,50.12
silencer,2.54,47.19
pudge,2.23,49.74
drow-ranger,2.21,50.73
dark-seer,2.14,50.26
anti-mage,2.04,52.03
sniper,2.03,51.72
chen,1.87,57.85
sand-king,1.80,48.38
clinkz,1.79,50.27
crystal-maiden,1.78,50.84
disruptor,1.66,51.25
shadow-demon,1.60,51.91
shadow-fiend,1.60,52.11
underlord,1.56,47.60
dazzle,1.46,53.74
outworld-destroyer,1.36,49.85
medusa,1.29,46.75
lich,1.18,47.54
beastmaster,1.18,56.41
warlock,1.17,46.86
gyrocopter,1.16,54.68
snapfire,1.02,55.33
mirana,0.93,56.08
batrider,0.90,59.37
pangolier,0.88,56.09
elder-titan,0.75,51.62
queen-of-pain,0.74,52.25
natures-prophet,0.73,55.97
dawnbreaker,0.71,51.67
timbersaw,0.62,52.26
legion-commander,0.55,49.62
puck,0.54,53.84
io,0.51,52.55
faceless-void,0.51,55.93
marci,0.42,52.27
enchantress,0.42,54.94
venomancer,0.41,52.98
luna,0.40,49.96
lion,0.31,53.24
nyx-assassin,0.31,51.10
morphling,0.24,58.11
night-stalker,0.22,49.91
hoodwink,0.22,56.43
ringmaster,0.11,50.39
lifestealer,0.10,52.15
monkey-king,0.04,58.89
storm-spirit,0.00,52.92
sven,0.00,57.62
witch-doctor,-0.01,49.93
terrorblade,-0.06,57.62
phoenix,-0.07,53.00
jakiro,-0.07,52.53
bane,-0.08,53.09
ember-spirit,-0.11,55.95
brewmaster,-0.13,53.74
slardar,-0.14,54.14
invoker,-0.16,55.28
dark-willow,-0.16,53.79
primal-beast,-0.16,55.49
rubick,-0.19,55.95
undying,-0.20,51.06
mars,-0.26,55.80
razor,-0.26,52.66
juggernaut,-0.29,51.55
bloodseeker,-0.31,51.56
phantom-assassin,-0.33,52.53
techies,-0.36,56.12
alchemist,-0.36,53.06
tinker,-0.39,52.96
templar-assassin,-0.43,59.50
bounty-hunter,-0.49,52.01
magnus,-0.49,55.10
abaddon,-0.51,47.09
ogre-magi,-0.54,51.67
omniknight,-0.63,50.54
kunkka,-0.66,51.64
weaver,-0.69,54.50
vengeful-spirit,-0.72,51.89
clockwerk,-0.77,51.29
zeus,-0.82,52.76
earth-spirit,-0.83,54.85
enigma,-0.89,54.33
earthshaker,-0.93,54.77
lone-druid,-0.96,53.03
tusk,-0.98,58.30
broodmother,-0.99,53.49
windranger,-1.13,53.98
ursa,-1.13,55.23
treant-protector,-1.13,51.41
void-spirit,-1.22,51.97
meepo,-1.26,55.74
chaos-knight,-1.31,54.88
tidehunter,-1.40,55.81
bristleback,-1.40,55.12
naga-siren,-1.69,57.48
shadow-shaman,-1.84,52.07
riki,-1.93,52.96
troll-warlord,-2.08,55.10
slark,-2.16,55.35
centaur-warrunner,-2.16,52.02
lycan,-2.30,54.98
dragon-knight,-2.38,56.58
winter-wyvern,-2.44,55.56
spirit-breaker,-2.61,54.71
axe,-2.91,53.45
phantom-lancer,-3.19,59.73
wraith-king,-3.34,50.61
tiny,-3.39,59.18
huskar,-3.58,58.50
spectre,-3.74,54.97
