hero,disadvantage,winrate
lone-druid,4.57,47.21
naga-siren,4.41,50.78
terrorblade,4.33,52.68
meepo,4.23,49.77
beastmaster,4.20,52.93
broodmother,4.19,47.96
arc-warden,4.11,46.02
lycan,3.57,48.66
huskar,3.54,50.83
chaos-knight,3.21,49.99
marci,2.84,49.60
troll-warlord,2.80,49.83
luna,2.42,47.95
brewmaster,2.35,50.92
bloodseeker,2.32,48.70
phoenix,2.21,50.45
io,2.18,50.60
venomancer,2.16,50.95
visage,2.05,48.93
spirit-breaker,2.03,49.90
templar-assassin,2.03,56.48
viper,2.02,50.46
phantom-lancer,1.87,54.01
chen,1.83,57.34
bounty-hunter,1.82,49.49
razor,1.78,50.39
wraith-king,1.74,45.65
dark-seer,1.69,50.52
ogre-magi,1.69,49.34
treant-protector,1.66,48.46
windranger,1.64,51.09
enigma,1.43,51.67
phantom-assassin,1.43,50.65
dark-willow,1.40,51.92
clinkz,1.29,50.58
clockwerk,1.25,49.12
techies,1.20,54.17
winter-wyvern,1.07,51.66
bane,1.05,51.66
vengeful-spirit,1.03,49.96
bristleback,1.02,52.39
enchantress,0.98,53.95
elder-titan,0.96,51.20
batrider,0.94,58.72
dragon-knight,0.93,52.97
shadow-fiend,0.89,52.52
spectre,0.86,50.17
undying,0.77,49.92
omniknight,0.76,49.01
disruptor,0.73,51.96
gyrocopter,0.72,54.71
tiny,0.69,54.63
sven,0.68,56.39
sniper,0.63,52.74
crystal-maiden,0.58,51.80
shadow-shaman,0.48,49.64
dawnbreaker,0.48,51.69
tinker,0.47,51.85
monkey-king,0.46,57.95
lina,0.39,54.84
tusk,0.37,56.46
shadow-demon,0.33,52.98
medusa,0.22,47.82
keeper-of-the-light,0.18,55.34
magnus,0.18,54.09
primal-beast,0.17,54.76
mars,0.16,55.03
invoker,0.14,54.64
leshrac,0.08,52.75
jakiro,0.07,52.15
dazzle,0.05,54.82
slardar,0.01,53.66
alchemist,0.01,52.43
kunkka,-0.01,50.82
earth-spirit,-0.01,53.68
lich,-0.04,48.70
tidehunter,-0.05,54.05
abaddon,-0.06,46.69
zeus,-0.08,51.81
necrophos,-0.22,50.09
legion-commander,-0.24,50.26
hoodwink,-0.27,56.48
mirana,-0.30,56.82
muerta,-0.30,55.39
pangolier,-0.30,56.92
lifestealer,-0.34,52.35
death-prophet,-0.36,54.05
lion,-0.51,53.71
underlord,-0.55,49.66
ringmaster,-0.59,50.93
sand-king,-0.60,50.60
centaur-warrunner,-0.63,50.37
snapfire,-0.63,56.58
ember-spirit,-0.64,56.07
outworld-destroyer,-0.72,51.79
morphling,-0.74,58.58
grimstroke,-0.77,55.23
weaver,-0.86,54.33
pudge,-0.89,52.35
axe,-0.94,51.38
riki,-0.95,51.76
natures-prophet,-0.98,57.21
nyx-assassin,-1.00,52.20
doom,-1.01,57.40
warlock,-1.02,49.03
rubick,-1.09,56.38
oracle,-1.28,50.95
queen-of-pain,-1.30,53.94
pugna,-1.44,55.97
drow-ranger,-1.45,54.06
witch-doctor,-1.48,51.19
ursa,-1.59,55.35
skywrath-mage,-1.65,53.30
earthshaker,-1.69,55.15
silencer,-1.83,51.42
anti-mage,-1.89,55.59
faceless-void,-2.06,58.03
storm-spirit,-2.11,54.74
ancient-apparition,-2.25,52.44
void-spirit,-2.36,52.92
timbersaw,-2.36,54.94
slark,-2.77,55.61
juggernaut,-2.92,53.86
puck,-4.49,58.48
night-stalker,0,50
