hero,disadvantage,winrate
lifestealer,2.93,47.84
chen,2.75,55.45
chaos-knight,2.43,49.58
huskar,2.43,50.81
beastmaster,2.38,53.71
slardar,2.28,50.24
templar-assassin,2.25,55.33
ursa,2.20,50.45
io,2.03,49.57
shadow-shaman,1.97,46.91
ember-spirit,1.89,52.46
visage,1.75,47.99
lion,1.65,50.58
juggernaut,1.63,48.30
broodmother,1.62,49.36
grimstroke,1.59,51.70
meepo,1.58,51.33
dragon-knight,1.55,51.22
wraith-king,1.53,44.46
sven,1.43,54.63
disruptor,1.42,50.08
spectre,1.35,48.44
earth-spirit,1.32,51.18
naga-siren,1.29,52.87
batrider,1.23,57.49
tusk,1.22,54.59
terrorblade,1.17,54.83
kunkka,1.01,48.56
tiny,1.00,53.25
lone-druid,1.00,49.59
pangolier,0.94,54.64
night-stalker,0.92,47.80
axe,0.88,48.41
lycan,0.81,50.28
monkey-king,0.77,56.68
gyrocopter,0.71,53.66
dazzle,0.70,53.05
enigma,0.68,51.26
doom,0.67,54.71
viper,0.65,50.62
skywrath-mage,0.62,49.84
troll-warlord,0.62,50.85
dark-willow,0.62,51.54
bane,0.61,50.93
ogre-magi,0.60,49.17
arc-warden,0.59,48.34
venomancer,0.59,51.36
marci,0.56,50.71
death-prophet,0.54,52.00
magnus,0.50,52.65
pudge,0.48,49.90
vengeful-spirit,0.48,49.27
earthshaker,0.45,51.98
rubick,0.39,53.93
void-spirit,0.39,48.91
elder-titan,0.39,50.59
spirit-breaker,0.38,50.32
dark-seer,0.37,50.69
zeus,0.36,50.20
legion-commander,0.33,48.45
primal-beast,0.32,53.52
faceless-void,0.27,54.69
techies,0.27,54.02
clockwerk,0.22,48.88
bloodseeker,0.21,49.60
slark,0.19,51.58
centaur-warrunner,0.13,48.34
lich,0.11,47.24
undying,0.10,49.35
brewmaster,0.09,52.08
silencer,0.06,48.29
jakiro,0.03,51.00
oracle,0.03,48.37
crystal-maiden,0.01,51.18
phantom-lancer,-0.01,54.87
drow-ranger,-0.01,51.50
omniknight,-0.03,48.54
tidehunter,-0.03,52.92
invoker,-0.03,53.71
alchemist,-0.10,51.36
mars,-0.11,54.21
clinkz,-0.11,50.80
hoodwink,-0.12,55.28
ancient-apparition,-0.22,49.18
witch-doctor,-0.22,48.75
keeper-of-the-light,-0.25,54.73
bounty-hunter,-0.27,50.38
necrophos,-0.29,48.90
underlord,-0.29,48.11
enchantress,-0.31,54.20
treant-protector,-0.42,49.29
leshrac,-0.42,52.11
razor,-0.42,51.40
winter-wyvern,-0.50,52.10
shadow-demon,-0.51,52.67
tinker,-0.51,51.67
lina,-0.55,54.68
snapfire,-0.60,55.51
ringmaster,-0.65,49.75
phoenix,-0.66,52.19
abaddon,-0.67,45.92
bristleback,-0.71,52.96
storm-spirit,-0.74,52.23
medusa,-0.79,47.50
natures-prophet,-0.81,56.02
queen-of-pain,-0.86,52.37
anti-mage,-0.88,53.50
sand-king,-0.89,49.63
dawnbreaker,-1.00,52.01
riki,-1.08,50.67
timbersaw,-1.21,52.66
mirana,-1.21,56.72
pugna,-1.29,54.73
shadow-fiend,-1.30,53.47
luna,-1.46,50.35
muerta,-1.59,55.63
windranger,-1.75,53.15
phantom-assassin,-1.84,52.53
weaver,-1.91,54.27
warlock,-1.98,48.69
sniper,-2.13,54.12
outworld-destroyer,-2.35,52.24
puck,-2.35,55.29
morphling,-2.44,59.27
nyx-assassin,0,50
