hero,disadvantage,winrate
phantom-lancer,4.28,50.96
chaos-knight,3.70,48.57
meepo,2.95,50.28
anti-mage,2.50,50.55
naga-siren,2.22,52.36
beastmaster,2.22,54.45
slark,2.21,49.92
enigma,2.16,50.08
broodmother,1.84,49.43
lone-druid,1.80,49.04
warlock,1.64,45.01
tidehunter,1.59,51.70
terrorblade,1.50,55.16
magnus,1.12,52.47
juggernaut,1.09,49.05
techies,1.08,53.77
oracle,1.08,47.43
legion-commander,1.08,47.89
dark-seer,1.04,50.30
abaddon,0.99,44.18
natures-prophet,0.97,54.88
venomancer,0.96,51.37
invoker,0.95,53.26
doom,0.94,55.00
arc-warden,0.93,48.16
storm-spirit,0.89,50.95
huskar,0.89,52.87
pudge,0.85,49.87
winter-wyvern,0.84,51.07
viper,0.83,50.80
grimstroke,0.82,52.99
shadow-demon,0.80,51.71
chen,0.79,58.31
underlord,0.78,47.13
visage,0.77,49.26
shadow-shaman,0.71,48.32
dark-willow,0.63,51.94
witch-doctor,0.58,48.15
puck,0.57,52.81
elder-titan,0.56,50.74
tusk,0.55,55.90
lich,0.48,46.95
faceless-void,0.47,55.12
necrophos,0.43,48.34
luna,0.38,48.79
lifestealer,0.34,50.80
crystal-maiden,0.34,51.21
mirana,0.31,55.87
morphling,0.29,57.25
mars,0.28,54.33
ember-spirit,0.27,54.64
batrider,0.21,59.33
io,0.19,51.84
lina,0.19,54.52
jakiro,0.18,51.21
dazzle,0.18,54.13
rubick,0.17,54.70
pangolier,0.17,55.92
brewmaster,0.16,52.43
skywrath-mage,0.13,50.65
disruptor,0.13,51.78
lion,0.11,52.43
razor,0.10,51.22
marci,0.09,51.54
ringmaster,0.07,49.28
treant-protector,0.06,49.02
ancient-apparition,0.04,49.11
gyrocopter,0.04,54.95
snapfire,-0.03,55.55
queen-of-pain,-0.04,51.96
lycan,-0.06,51.54
sand-king,-0.08,49.04
bloodseeker,-0.09,50.19
sniper,-0.10,52.70
primal-beast,-0.11,54.46
alchemist,-0.12,51.75
earth-spirit,-0.12,53.11
spectre,-0.15,50.21
templar-assassin,-0.16,58.48
sven,-0.20,57.08
clockwerk,-0.21,49.56
void-spirit,-0.22,49.79
pugna,-0.23,54.18
vengeful-spirit,-0.26,50.29
zeus,-0.29,51.15
bane,-0.29,52.24
tinker,-0.29,51.81
death-prophet,-0.30,53.35
dawnbreaker,-0.32,51.68
tiny,-0.36,55.18
keeper-of-the-light,-0.38,55.46
outworld-destroyer,-0.39,50.53
earthshaker,-0.40,53.27
spirit-breaker,-0.41,51.44
hoodwink,-0.43,56.25
centaur-warrunner,-0.44,49.11
muerta,-0.47,55.06
timbersaw,-0.52,52.38
bounty-hunter,-0.53,50.95
bristleback,-0.53,53.26
nyx-assassin,-0.53,50.83
enchantress,-0.53,55.02
dragon-knight,-0.53,53.76
axe,-0.54,50.01
riki,-0.57,50.42
monkey-king,-0.57,58.80
weaver,-0.61,53.44
leshrac,-0.63,52.74
slardar,-0.67,53.71
undying,-0.67,50.39
medusa,-0.69,47.47
phoenix,-0.72,52.64
clinkz,-0.78,51.85
wraith-king,-0.81,46.78
kunkka,-0.91,50.79
shadow-fiend,-0.99,53.62
drow-ranger,-1.09,53.00
silencer,-1.16,49.70
windranger,-1.32,53.16
troll-warlord,-1.42,53.41
phantom-assassin,-1.43,52.51
night-stalker,-1.63,50.66
omniknight,-1.64,50.45
ursa,-2.16,55.35
ogre-magi,0,50
