hero,disadvantage,winrate
shadow-demon,4.66,48.82
doom,3.54,53.02
keeper-of-the-light,3.09,52.56
pugna,3.01,51.63
ancient-apparition,3.00,47.47
batrider,2.92,56.88
faceless-void,2.57,53.61
phantom-lancer,2.32,53.71
beastmaster,2.26,55.06
monkey-king,2.07,56.47
huskar,2.06,52.48
enigma,2.06,51.24
outworld-destroyer,2.05,49.25
muerta,1.98,53.27
death-prophet,1.95,51.89
leshrac,1.88,51.11
bloodseeker,1.75,49.50
earthshaker,1.69,52.12
undying,1.68,49.24
brewmaster,1.67,51.79
ogre-magi,1.66,49.57
bounty-hunter,1.58,49.94
templar-assassin,1.57,57.04
silencer,1.33,48.55
bane,1.32,51.59
witch-doctor,1.32,48.78
slardar,1.27,52.57
sven,1.24,55.92
tinker,1.22,51.29
natures-prophet,1.20,55.21
primal-beast,1.20,53.90
dark-seer,1.18,51.24
pangolier,1.12,55.63
treant-protector,1.02,49.33
elder-titan,1.00,51.34
warlock,0.96,47.34
venomancer,0.92,52.35
phoenix,0.90,51.97
shadow-fiend,0.89,52.70
lina,0.89,54.51
viper,0.88,51.77
weaver,0.76,52.90
magnus,0.76,53.67
razor,0.76,51.59
winter-wyvern,0.73,52.19
necrophos,0.66,49.46
drow-ranger,0.58,52.28
crystal-maiden,0.54,52.02
chen,0.54,58.81
meepo,0.54,53.71
naga-siren,0.52,54.96
chaos-knight,0.51,52.87
windranger,0.51,52.33
luna,0.51,49.97
io,0.49,52.50
queen-of-pain,0.49,52.42
juggernaut,0.48,50.81
terrorblade,0.45,56.74
dark-willow,0.41,53.09
sand-king,0.38,49.88
bristleback,0.33,53.23
rubick,0.33,55.20
tiny,0.28,55.16
clinkz,0.26,51.82
dawnbreaker,0.24,52.12
dazzle,0.24,54.77
visage,0.23,50.99
medusa,0.22,48.08
enchantress,0.20,54.91
broodmother,0.18,52.24
marci,0.10,52.55
alchemist,0.03,52.58
nyx-assassin,-0.04,51.45
techies,-0.04,55.54
tusk,-0.05,57.00
grimstroke,-0.09,54.68
dragon-knight,-0.11,54.13
riki,-0.20,51.20
arc-warden,-0.20,50.59
zeus,-0.22,52.13
troll-warlord,-0.27,53.12
gyrocopter,-0.28,55.86
underlord,-0.29,49.64
sniper,-0.31,53.76
snapfire,-0.36,56.44
ursa,-0.39,54.33
jakiro,-0.40,52.78
pudge,-0.40,52.11
timbersaw,-0.42,53.21
invoker,-0.43,55.31
lone-druid,-0.47,52.47
ringmaster,-0.49,51.05
lifestealer,-0.52,52.72
anti-mage,-0.52,54.41
earth-spirit,-0.53,54.37
vengeful-spirit,-0.55,51.72
disruptor,-0.58,53.44
morphling,-0.68,58.65
kunkka,-0.75,51.75
hoodwink,-0.75,57.06
night-stalker,-0.79,51.00
axe,-0.81,51.46
spirit-breaker,-0.83,52.86
lich,-0.83,49.71
puck,-0.84,55.04
tidehunter,-0.85,54.99
lycan,-0.92,53.43
mars,-0.95,56.25
ember-spirit,-1.02,56.57
lion,-1.03,54.36
phantom-assassin,-1.09,53.17
mirana,-1.21,57.81
abaddon,-1.22,48.12
centaur-warrunner,-1.29,51.22
shadow-shaman,-1.34,51.60
skywrath-mage,-1.48,53.31
slark,-1.64,54.68
clockwerk,-1.70,52.26
storm-spirit,-1.89,54.69
oracle,-2.01,51.90
wraith-king,-2.07,49.55
void-spirit,-2.14,52.91
spectre,-2.59,53.74
legion-commander,-3.40,53.45
