hero,disadvantage,winrate
marci,3.70,49.07
shadow-demon,3.63,49.93
chen,3.50,55.86
broodmother,3.10,49.39
lycan,3.00,49.55
elder-titan,2.95,49.47
anti-mage,2.91,51.20
razor,2.91,49.56
undying,2.82,48.23
phantom-lancer,2.75,53.35
templar-assassin,2.65,56.05
lone-druid,2.63,49.48
io,2.57,50.53
shadow-fiend,2.33,51.47
outworld-destroyer,2.31,49.08
chaos-knight,2.25,51.22
meepo,2.25,52.07
riki,2.09,49.05
omniknight,2.01,48.10
huskar,1.97,52.66
terrorblade,1.84,55.43
dawnbreaker,1.80,50.64
death-prophet,1.71,52.21
shadow-shaman,1.54,48.95
enigma,1.46,51.92
vengeful-spirit,1.45,49.87
dazzle,1.43,53.69
monkey-king,1.42,57.16
sven,1.34,55.91
night-stalker,1.31,49.05
enchantress,1.29,53.89
tidehunter,1.26,52.98
slardar,1.22,52.71
earthshaker,1.19,52.69
tusk,1.02,56.02
crystal-maiden,1.00,51.69
drow-ranger,0.96,52.01
pangolier,0.93,55.82
alchemist,0.92,51.79
winter-wyvern,0.89,52.13
weaver,0.85,52.91
invoker,0.82,54.23
doom,0.79,55.78
tiny,0.75,54.79
tinker,0.72,51.88
ursa,0.69,53.36
dragon-knight,0.68,53.45
pudge,0.58,51.35
phantom-assassin,0.57,51.75
pugna,0.50,54.22
keeper-of-the-light,0.48,55.22
bristleback,0.48,53.18
visage,0.46,50.86
naga-siren,0.39,55.10
earth-spirit,0.34,53.59
sniper,0.32,53.28
natures-prophet,0.30,56.16
axe,0.29,50.57
hoodwink,0.29,56.13
kunkka,0.24,50.88
mars,0.21,55.19
medusa,0.20,48.22
viper,0.19,52.53
magnus,0.16,54.35
luna,0.16,50.37
lina,0.16,55.29
timbersaw,0.10,52.79
snapfire,0.06,56.10
bane,0.02,52.97
dark-willow,0.02,53.55
silencer,-0.03,49.99
nyx-assassin,-0.11,51.62
windranger,-0.15,53.04
lifestealer,-0.16,52.46
arc-warden,-0.21,50.70
grimstroke,-0.22,54.91
primal-beast,-0.24,55.38
troll-warlord,-0.26,53.19
slark,-0.29,53.46
gyrocopter,-0.29,55.94
witch-doctor,-0.30,50.42
wraith-king,-0.35,48.03
morphling,-0.37,58.41
mirana,-0.43,57.14
ringmaster,-0.45,51.11
leshrac,-0.45,53.54
clockwerk,-0.49,51.16
beastmaster,-0.52,57.92
ancient-apparition,-0.54,51.07
abaddon,-0.55,47.58
sand-king,-0.58,50.89
treant-protector,-0.58,51.01
jakiro,-0.59,53.06
void-spirit,-0.61,51.49
techies,-0.68,56.25
warlock,-0.69,49.07
juggernaut,-0.70,52.04
bounty-hunter,-0.71,52.31
venomancer,-0.73,54.08
puck,-0.73,55.02
faceless-void,-0.77,56.95
underlord,-0.79,50.24
clinkz,-1.00,53.16
lion,-1.14,54.53
rubick,-1.21,56.68
brewmaster,-1.24,54.82
spirit-breaker,-1.24,53.36
batrider,-1.27,61.08
muerta,-1.29,56.59
zeus,-1.35,53.31
phoenix,-1.40,54.34
ogre-magi,-1.40,52.58
disruptor,-1.46,54.40
dark-seer,-1.72,54.25
lich,-1.72,50.68
queen-of-pain,-1.98,54.85
bloodseeker,-2.03,53.38
skywrath-mage,-2.34,54.25
centaur-warrunner,-2.56,52.55
ember-spirit,-2.68,58.30
legion-commander,-2.86,53.03
spectre,-2.99,54.22
storm-spirit,-3.10,55.96
necrophos,-3.91,53.98
