hero,disadvantage,winrate
phantom-lancer,4.11,50.68
templar-assassin,3.73,53.67
broodmother,3.68,47.41
arc-warden,3.65,45.43
chaos-knight,2.83,49.30
pangolier,2.66,52.82
medusa,2.50,44.51
rubick,2.46,52.00
nyx-assassin,2.44,47.76
naga-siren,2.08,52.11
huskar,2.04,51.28
lycan,2.04,49.16
brewmaster,2.01,50.18
visage,1.95,47.97
silencer,1.92,46.69
puck,1.86,51.16
shadow-shaman,1.82,47.28
beastmaster,1.69,54.38
bristleback,1.64,50.71
wraith-king,1.64,44.68
marci,1.61,49.77
keeper-of-the-light,1.53,52.92
phantom-assassin,1.47,49.55
storm-spirit,1.46,50.14
batrider,1.40,57.23
enchantress,1.33,52.54
lone-druid,1.30,49.43
clinkz,1.19,49.62
death-prophet,1.16,51.45
terrorblade,1.08,54.89
anti-mage,1.03,51.67
enigma,1.00,51.04
lifestealer,0.89,50.06
night-stalker,0.73,48.20
meepo,0.72,52.27
magnus,0.72,52.47
luna,0.71,48.47
natures-prophet,0.71,54.48
io,0.66,51.07
warlock,0.65,46.33
crystal-maiden,0.64,50.68
pugna,0.60,52.83
zeus,0.58,50.11
dark-willow,0.56,51.68
ursa,0.56,52.16
chen,0.55,57.57
kunkka,0.52,49.23
grimstroke,0.47,52.89
skywrath-mage,0.47,50.13
mars,0.47,53.63
ogre-magi,0.43,49.49
hoodwink,0.38,54.76
sand-king,0.37,48.59
riki,0.36,49.38
tusk,0.35,55.41
phoenix,0.30,51.30
slardar,0.30,52.30
undying,0.28,49.35
tinker,0.24,51.00
sniper,0.24,52.02
witch-doctor,0.22,48.52
disruptor,0.22,51.40
earthshaker,0.20,52.30
tiny,0.16,54.07
ember-spirit,0.16,54.19
treant-protector,0.13,48.92
venomancer,0.12,51.91
invoker,0.12,53.59
shadow-demon,0.08,52.13
earth-spirit,0.05,52.55
bane,0.04,51.63
sven,0.04,55.97
razor,0.02,51.07
pudge,0.00,50.49
vengeful-spirit,-0.02,49.92
alchemist,-0.02,51.38
queen-of-pain,-0.02,51.65
elder-titan,-0.03,51.13
doom,-0.10,55.41
spirit-breaker,-0.13,50.94
lina,-0.14,54.28
spectre,-0.15,50.09
windranger,-0.17,51.72
muerta,-0.22,54.23
void-spirit,-0.24,49.73
ringmaster,-0.31,49.59
bloodseeker,-0.32,50.30
viper,-0.33,51.71
shadow-fiend,-0.35,52.62
dazzle,-0.48,54.26
jakiro,-0.49,51.62
weaver,-0.50,52.91
dawnbreaker,-0.58,51.69
centaur-warrunner,-0.61,49.27
gyrocopter,-0.63,55.02
techies,-0.66,54.94
bounty-hunter,-0.69,50.93
drow-ranger,-0.75,52.32
faceless-void,-0.77,55.69
lion,-0.80,52.91
dark-seer,-0.82,52.02
snapfire,-0.86,55.73
juggernaut,-0.93,50.90
mirana,-0.98,56.40
monkey-king,-0.99,58.29
lich,-1.01,48.58
clockwerk,-1.02,50.31
dragon-knight,-1.17,53.93
primal-beast,-1.34,55.23
necrophos,-1.37,50.15
legion-commander,-1.51,50.39
slark,-1.73,53.52
morphling,-1.87,58.64
ancient-apparition,-1.87,51.01
winter-wyvern,-1.95,53.65
omniknight,-2.03,50.75
tidehunter,-2.27,55.21
oracle,-2.31,50.93
troll-warlord,-2.62,54.24
leshrac,-2.71,54.53
underlord,-2.73,50.76
abaddon,-2.94,48.47
axe,-3.23,52.45
timbersaw,-4.45,55.92
