hero,disadvantage,winrate
monkey-king,4.07,47.83
huskar,3.57,44.37
winter-wyvern,3.35,42.98
troll-warlord,2.84,43.41
drow-ranger,2.47,43.87
weaver,2.42,44.69
batrider,2.34,50.70
bloodseeker,2.28,42.38
puck,1.94,45.70
gyrocopter,1.91,47.02
silencer,1.88,41.49
morphling,1.88,49.41
shadow-fiend,1.72,45.33
ember-spirit,1.64,47.27
grimstroke,1.56,46.41
shadow-shaman,1.49,42.35
treant-protector,1.48,42.32
spirit-breaker,1.43,44.11
storm-spirit,1.43,44.84
templar-assassin,1.37,50.53
sven,1.30,49.21
slark,1.29,45.25
io,1.23,45.16
chen,1.16,51.43
tinker,1.15,44.76
vengeful-spirit,1.13,43.51
dragon-knight,1.11,46.34
tiny,1.01,47.80
hoodwink,0.95,48.75
slardar,0.94,46.27
clinkz,0.92,44.57
faceless-void,0.91,48.58
phantom-lancer,0.87,48.49
luna,0.79,43.14
muerta,0.77,47.80
axe,0.67,43.52
timbersaw,0.67,45.55
mirana,0.62,49.38
tusk,0.62,49.65
ogre-magi,0.59,44.03
night-stalker,0.57,43.11
bristleback,0.55,46.41
earthshaker,0.38,46.74
leshrac,0.38,45.99
juggernaut,0.37,44.37
alchemist,0.32,45.68
pugna,0.32,47.67
naga-siren,0.27,48.49
mars,0.27,48.39
sand-king,0.25,43.45
bounty-hunter,0.24,44.69
riki,0.19,44.25
ursa,0.18,47.15
snapfire,0.15,49.26
dawnbreaker,0.15,45.60
venomancer,0.08,46.58
techies,0.06,48.80
viper,0.05,45.99
keeper-of-the-light,0.02,48.96
natures-prophet,0.01,49.68
razor,0.01,45.73
earth-spirit,-0.03,47.24
queen-of-pain,-0.05,46.31
meepo,-0.08,47.70
undying,-0.15,44.49
enchantress,-0.23,48.67
dazzle,-0.24,48.60
windranger,-0.25,46.44
magnus,-0.26,48.01
enigma,-0.28,46.94
legion-commander,-0.33,44.00
terrorblade,-0.35,50.86
lion,-0.37,47.15
dark-willow,-0.38,47.22
necrophos,-0.38,43.91
chaos-knight,-0.39,47.16
lina,-0.39,49.08
witch-doctor,-0.39,43.82
rubick,-0.42,49.25
jakiro,-0.44,46.22
underlord,-0.45,43.25
skywrath-mage,-0.52,45.79
nyx-assassin,-0.55,45.36
primal-beast,-0.56,48.95
doom,-0.58,50.36
beastmaster,-0.58,51.20
invoker,-0.59,48.82
zeus,-0.62,45.93
disruptor,-0.63,46.86
phantom-assassin,-0.64,46.18
sniper,-0.66,47.48
phoenix,-0.76,46.96
oracle,-0.78,44.11
clockwerk,-0.78,44.76
crystal-maiden,-0.86,46.78
brewmaster,-0.87,47.73
void-spirit,-0.88,45.07
omniknight,-0.96,44.37
elder-titan,-0.96,46.69
ringmaster,-0.96,44.92
shadow-demon,-0.99,47.81
pudge,-1.03,46.08
spectre,-1.04,45.65
bane,-1.08,47.32
lifestealer,-1.13,46.72
kunkka,-1.16,45.57
death-prophet,-1.23,48.44
anti-mage,-1.26,48.49
dark-seer,-1.29,47.10
marci,-1.42,47.41
visage,-1.44,46.07
warlock,-1.70,43.41
ancient-apparition,-1.71,45.53
wraith-king,-1.76,42.74
lone-druid,-1.77,47.16
centaur-warrunner,-1.89,45.23
abaddon,-2.03,42.40
lich,-2.20,44.49
medusa,-2.27,43.98
tidehunter,-2.31,49.82
lycan,-2.48,48.36
outworld-destroyer,-2.54,47.18
broodmother,-2.76,48.53
arc-warden,-3.46,47.28
