hero,disadvantage,winrate
axe,3.38,44.81
primal-beast,2.98,50.15
morphling,2.38,54.45
tusk,2.30,53.16
tiny,2.28,51.45
pudge,2.06,47.51
templar-assassin,1.92,55.70
earth-spirit,1.84,49.94
timbersaw,1.82,48.79
batrider,1.78,57.01
phoenix,1.77,48.88
doom,1.76,53.17
troll-warlord,1.64,48.96
dawnbreaker,1.55,48.49
nyx-assassin,1.54,47.47
puck,1.49,50.82
tidehunter,1.47,50.76
techies,1.47,52.40
queen-of-pain,1.36,49.43
pangolier,1.35,53.83
razor,1.35,48.73
mirana,1.35,53.92
ogre-magi,1.26,47.49
weaver,1.13,50.57
gyrocopter,1.13,52.84
bane,1.11,49.64
magnus,1.09,51.46
leshrac,1.01,49.86
dragon-knight,1.00,51.15
drow-ranger,0.96,49.78
monkey-king,0.95,56.56
faceless-void,0.93,53.88
storm-spirit,0.91,49.80
pugna,0.91,51.95
death-prophet,0.90,51.01
shadow-fiend,0.84,50.78
spirit-breaker,0.83,48.99
bounty-hunter,0.82,48.31
terrorblade,0.76,55.35
muerta,0.70,52.93
treant-protector,0.64,47.10
jakiro,0.62,49.62
omniknight,0.58,46.83
bristleback,0.56,51.08
dazzle,0.55,52.80
slark,0.54,50.54
meepo,0.53,51.93
centaur-warrunner,0.50,46.85
viper,0.46,50.05
beastmaster,0.46,55.60
clockwerk,0.45,47.64
naga-siren,0.41,53.44
sand-king,0.39,47.30
lich,0.35,45.72
grimstroke,0.35,52.53
bloodseeker,0.32,48.52
ursa,0.30,51.82
luna,0.26,47.62
zeus,0.25,49.44
sven,0.24,55.83
io,0.24,50.73
snapfire,0.22,54.43
vengeful-spirit,0.09,48.71
wraith-king,0.05,44.38
necrophos,0.03,47.47
lion,0.02,51.47
void-spirit,0.01,48.30
spectre,0.00,48.81
ember-spirit,0.00,53.97
shadow-shaman,-0.01,47.79
crystal-maiden,-0.03,50.48
brewmaster,-0.03,51.60
juggernaut,-0.16,49.08
phantom-lancer,-0.21,54.94
dark-willow,-0.22,51.79
windranger,-0.24,51.00
legion-commander,-0.24,47.93
disruptor,-0.27,51.11
hoodwink,-0.31,55.34
slardar,-0.33,52.33
undying,-0.35,48.85
enigma,-0.36,51.73
shadow-demon,-0.39,51.94
chaos-knight,-0.44,51.96
earthshaker,-0.44,52.30
alchemist,-0.45,51.00
marci,-0.46,51.05
medusa,-0.47,45.84
mars,-0.50,54.25
tinker,-0.52,50.96
chen,-0.52,59.20
skywrath-mage,-0.56,50.22
kunkka,-0.58,49.24
winter-wyvern,-0.69,51.66
dark-seer,-0.75,51.14
rubick,-0.80,54.77
lone-druid,-0.87,50.74
riki,-0.88,49.55
oracle,-0.90,48.25
abaddon,-0.90,44.75
sniper,-0.93,52.47
visage,-0.98,49.95
venomancer,-0.99,52.37
arc-warden,-1.16,49.10
natures-prophet,-1.19,56.34
underlord,-1.33,48.10
witch-doctor,-1.35,48.80
ringmaster,-1.40,49.55
outworld-destroyer,-1.40,50.45
keeper-of-the-light,-1.49,55.84
lina,-1.49,55.38
invoker,-1.50,54.81
clinkz,-1.52,51.55
night-stalker,-1.53,49.34
silencer,-1.55,48.88
lifestealer,-1.85,52.06
lycan,-1.95,52.56
broodmother,-2.01,52.50
ancient-apparition,-2.09,50.16
huskar,-2.28,55.32
enchantress,-2.30,56.08
warlock,-2.34,47.81
elder-titan,-3.00,53.54
anti-mage,-4.21,56.61
