hero,disadvantage,winrate
sand-king,7.47,37.09
warlock,5.44,37.01
timbersaw,4.96,41.95
lina,4.23,45.34
necrophos,4.02,40.27
anti-mage,3.66,44.39
crystal-maiden,3.53,43.17
axe,3.50,41.43
beastmaster,3.24,48.00
sven,3.23,47.93
underlord,3.14,40.29
puck,3.06,45.22
earthshaker,3.04,44.89
ember-spirit,3.00,46.55
leshrac,2.89,44.08
windranger,2.84,44.15
tidehunter,2.30,45.85
legion-commander,2.06,42.34
storm-spirit,1.94,44.94
meepo,1.76,46.45
rubick,1.75,47.89
doom,1.69,48.78
bristleback,1.63,45.97
techies,1.62,47.89
tiny,1.58,47.87
naga-siren,1.58,47.81
centaur-warrunner,1.44,42.59
razor,1.33,45.03
magnus,1.30,47.13
phantom-assassin,1.24,45.06
natures-prophet,1.15,49.23
witch-doctor,1.09,43.03
jakiro,1.08,45.38
dark-seer,1.07,45.33
batrider,1.06,52.65
brewmaster,0.98,46.48
grimstroke,0.95,47.63
monkey-king,0.89,51.56
treant-protector,0.72,43.65
pudge,0.64,45.20
faceless-void,0.60,49.51
chen,0.59,52.68
bloodseeker,0.56,44.67
zeus,0.49,45.48
lifestealer,0.44,45.77
juggernaut,0.35,44.98
elder-titan,0.32,45.99
nyx-assassin,0.30,45.13
riki,0.21,44.81
mirana,0.19,50.45
skywrath-mage,0.19,45.68
queen-of-pain,0.14,46.75
alchemist,0.11,46.49
gyrocopter,0.09,49.46
earth-spirit,0.09,47.74
keeper-of-the-light,0.03,49.60
snapfire,0.01,50.05
dragon-knight,-0.05,48.06
phoenix,-0.06,46.90
void-spirit,-0.10,44.90
dazzle,-0.15,49.12
tusk,-0.20,51.12
spectre,-0.26,45.48
slark,-0.26,47.34
lion,-0.33,47.72
lone-druid,-0.41,46.42
muerta,-0.54,49.74
dawnbreaker,-0.58,46.93
sniper,-0.58,48.00
kunkka,-0.58,45.60
disruptor,-0.61,47.46
io,-0.65,47.64
luna,-0.71,45.09
spirit-breaker,-0.73,46.77
medusa,-0.75,43.05
pugna,-0.83,49.44
pangolier,-0.84,51.51
marci,-0.88,47.51
tinker,-0.89,47.40
enchantress,-0.93,50.00
primal-beast,-0.95,49.98
morphling,-0.98,52.89
ringmaster,-1.00,45.54
weaver,-1.02,48.64
enigma,-1.07,48.33
troll-warlord,-1.13,47.95
lich,-1.35,44.24
winter-wyvern,-1.42,48.34
hoodwink,-1.45,51.70
bane,-1.56,48.43
venomancer,-1.56,48.79
bounty-hunter,-1.62,47.10
abaddon,-1.65,42.58
night-stalker,-1.75,45.97
undying,-1.82,46.70
death-prophet,-1.98,49.82
shadow-fiend,-1.99,49.40
broodmother,-2.01,48.40
silencer,-2.02,45.84
mars,-2.07,51.33
omniknight,-2.29,46.29
ancient-apparition,-2.32,46.71
dark-willow,-2.39,49.83
huskar,-2.53,51.01
slardar,-2.56,50.31
lycan,-2.61,49.11
invoker,-2.69,51.44
oracle,-2.72,46.64
clockwerk,-2.80,47.34
chaos-knight,-3.09,50.43
shadow-demon,-3.27,50.71
terrorblade,-3.46,54.65
clinkz,-3.75,49.78
vengeful-spirit,-3.78,48.88
visage,-3.81,49.06
shadow-shaman,-3.81,47.98
drow-ranger,-4.00,50.66
outworld-destroyer,-4.09,49.32
ogre-magi,-4.12,49.03
ursa,-4.28,52.11
templar-assassin,-4.52,57.08
arc-warden,-4.53,48.92
wraith-king,-4.63,46.01
viper,-5.73,52.18
