hero,disadvantage,winrate
lina,3.55,49.15
juggernaut,3.34,45.28
batrider,2.48,54.51
morphling,2.47,52.70
huskar,2.42,49.27
skywrath-mage,2.33,46.70
keeper-of-the-light,2.32,50.48
bloodseeker,2.30,46.07
lifestealer,2.25,47.12
mirana,2.04,51.86
clinkz,1.97,47.24
muerta,1.84,50.51
puck,1.61,49.80
legion-commander,1.60,45.88
tidehunter,1.59,49.71
death-prophet,1.59,49.40
tinker,1.56,48.07
abaddon,1.47,42.57
drow-ranger,1.43,48.61
storm-spirit,1.37,48.63
oracle,1.35,45.66
meepo,1.35,50.04
natures-prophet,1.27,52.31
jakiro,1.20,48.40
silencer,1.10,45.91
ogre-magi,1.01,47.34
faceless-void,1.00,52.32
weaver,0.97,49.85
doom,0.93,52.74
lion,0.91,49.75
marci,0.90,48.89
pangolier,0.87,53.03
grimstroke,0.87,50.87
visage,0.86,47.48
alchemist,0.86,48.90
arc-warden,0.83,46.68
naga-siren,0.82,51.80
io,0.79,49.35
nyx-assassin,0.78,47.79
ursa,0.72,50.40
queen-of-pain,0.72,49.34
void-spirit,0.66,47.25
slark,0.64,49.62
medusa,0.63,44.80
riki,0.56,47.59
ember-spirit,0.55,52.16
primal-beast,0.55,51.70
sniper,0.55,50.14
invoker,0.54,51.57
chen,0.42,56.12
enchantress,0.36,51.90
viper,0.31,49.48
pugna,0.26,51.55
necrophos,0.26,46.98
enigma,0.25,50.19
bane,0.17,49.88
underlord,0.16,46.31
centaur-warrunner,0.15,46.94
snapfire,0.14,53.18
bristleback,0.12,50.59
disruptor,0.12,49.89
phantom-lancer,0.11,53.10
ringmaster,0.10,47.60
leshrac,0.07,50.07
timbersaw,0.00,49.95
earth-spirit,-0.06,51.05
sven,-0.07,54.41
zeus,-0.11,49.17
dark-willow,-0.12,50.75
hoodwink,-0.13,53.63
techies,-0.14,52.80
shadow-shaman,-0.15,47.60
brewmaster,-0.21,50.84
spirit-breaker,-0.24,49.45
shadow-demon,-0.26,50.87
pudge,-0.28,49.15
gyrocopter,-0.28,53.02
outworld-destroyer,-0.29,48.70
earthshaker,-0.34,51.19
beastmaster,-0.35,54.89
witch-doctor,-0.35,47.48
magnus,-0.48,52.05
windranger,-0.52,50.44
terrorblade,-0.53,54.92
ancient-apparition,-0.55,48.10
undying,-0.57,48.60
venomancer,-0.61,51.03
vengeful-spirit,-0.62,48.93
anti-mage,-0.63,51.68
shadow-fiend,-0.64,51.30
dark-seer,-0.66,50.24
broodmother,-0.67,50.23
troll-warlord,-0.67,50.66
luna,-0.67,48.18
clockwerk,-0.77,48.47
winter-wyvern,-0.78,50.86
kunkka,-0.80,48.93
elder-titan,-0.81,50.32
tiny,-0.81,53.40
omniknight,-0.91,48.02
dazzle,-0.94,53.10
bounty-hunter,-0.97,49.61
crystal-maiden,-1.05,50.72
mars,-1.07,53.53
lich,-1.11,47.10
dragon-knight,-1.13,52.27
razor,-1.22,50.69
spectre,-1.23,49.56
slardar,-1.45,52.42
tusk,-1.46,55.56
dawnbreaker,-1.47,50.99
monkey-king,-1.52,57.15
axe,-1.56,49.30
rubick,-1.57,54.12
phantom-assassin,-1.93,51.11
sand-king,-1.95,49.22
lycan,-2.20,51.87
warlock,-2.21,47.57
night-stalker,-2.21,49.55
lone-druid,-2.72,51.87
treant-protector,-2.73,50.17
wraith-king,-2.77,47.36
chaos-knight,-3.11,53.66
templar-assassin,-3.17,58.98
