hero,disadvantage,winrate
underlord,2.77,41.62
faceless-void,2.66,48.48
witch-doctor,2.10,43.03
ember-spirit,1.96,48.54
batrider,1.86,52.84
disruptor,1.78,46.07
sven,1.74,50.38
silencer,1.73,43.16
undying,1.70,44.21
grimstroke,1.67,47.87
sand-king,1.64,43.67
anti-mage,1.61,47.32
lion,1.51,47.01
jakiro,1.47,45.97
outworld-destroyer,1.46,44.80
shadow-shaman,1.44,43.92
weaver,1.39,47.27
juggernaut,1.18,45.15
shadow-demon,1.15,47.27
huskar,1.10,48.40
lone-druid,1.09,45.88
clockwerk,1.06,44.51
doom,1.04,50.39
invoker,1.02,48.92
queen-of-pain,0.99,46.91
lich,0.98,42.95
morphling,0.93,51.96
dragon-knight,0.93,48.08
phantom-lancer,0.93,50.05
dark-willow,0.91,47.53
zeus,0.90,46.04
gyrocopter,0.90,49.61
ringmaster,0.88,44.73
void-spirit,0.86,44.88
naga-siren,0.85,49.52
venomancer,0.84,47.40
visage,0.81,45.39
wraith-king,0.76,41.85
beastmaster,0.76,51.47
storm-spirit,0.72,47.09
leshrac,0.72,47.23
keeper-of-the-light,0.64,49.96
ogre-magi,0.63,45.54
necrophos,0.58,44.53
ursa,0.57,48.34
pangolier,0.55,51.10
slardar,0.53,48.25
centaur-warrunner,0.52,44.45
kunkka,0.50,45.50
earthshaker,0.49,48.21
mars,0.47,49.79
lifestealer,0.45,46.71
puck,0.44,48.73
mirana,0.36,51.24
lina,0.36,49.97
death-prophet,0.33,48.47
enigma,0.32,47.92
tiny,0.26,50.12
monkey-king,0.24,53.16
clinkz,0.23,46.81
oracle,0.21,44.67
crystal-maiden,0.14,47.38
skywrath-mage,-0.03,46.86
night-stalker,-0.07,45.27
magnus,-0.08,49.43
nyx-assassin,-0.09,46.47
meepo,-0.12,49.31
medusa,-0.13,43.42
windranger,-0.16,47.93
rubick,-0.18,50.63
viper,-0.21,47.80
snapfire,-0.21,51.22
lycan,-0.22,47.66
tusk,-0.23,52.09
pudge,-0.25,46.95
chaos-knight,-0.31,48.65
vengeful-spirit,-0.35,46.50
spirit-breaker,-0.45,47.47
dazzle,-0.47,50.41
io,-0.49,48.45
bane,-0.51,48.34
luna,-0.54,45.90
phoenix,-0.54,48.33
dawnbreaker,-0.58,47.90
timbersaw,-0.58,48.33
dark-seer,-0.60,47.99
troll-warlord,-0.60,48.40
riki,-0.62,46.60
tidehunter,-0.63,49.73
templar-assassin,-0.63,54.16
techies,-0.63,51.06
tinker,-0.66,48.12
winter-wyvern,-0.72,48.60
bloodseeker,-0.77,46.98
ancient-apparition,-0.80,46.19
treant-protector,-0.91,46.22
alchemist,-0.92,48.46
arc-warden,-0.97,46.35
warlock,-0.98,44.24
pugna,-1.02,50.61
enchantress,-1.04,51.08
slark,-1.07,49.09
shadow-fiend,-1.09,49.49
muerta,-1.11,51.28
omniknight,-1.17,46.13
bounty-hunter,-1.24,47.71
hoodwink,-1.24,52.46
spectre,-1.33,47.48
marci,-1.36,48.93
legion-commander,-1.42,46.56
earth-spirit,-1.46,50.24
terrorblade,-1.50,53.64
brewmaster,-1.53,50.00
drow-ranger,-1.56,49.31
natures-prophet,-1.58,52.80
elder-titan,-1.63,48.97
chen,-1.76,56.03
broodmother,-2.00,49.35
abaddon,-2.02,43.90
axe,-2.07,47.60
razor,-2.31,49.56
bristleback,-2.68,51.10
sniper,-2.73,50.88
phantom-assassin,-2.96,49.86
primal-beast,0,50
