hero,disadvantage,winrate
night-stalker,4.26,41.52
riki,3.89,42.72
chen,3.32,51.90
broodmother,2.87,45.13
lone-druid,2.83,44.79
dragon-knight,2.42,47.41
nyx-assassin,2.38,44.71
muerta,2.32,48.66
tiny,2.14,49.12
huskar,2.10,48.19
tinker,2.07,46.06
meepo,2.05,47.91
silencer,2.04,43.44
spectre,1.95,44.93
templar-assassin,1.93,52.62
sven,1.83,51.21
void-spirit,1.80,44.48
beastmaster,1.69,51.51
bane,1.61,46.94
wraith-king,1.51,41.60
death-prophet,1.44,48.13
io,1.43,47.26
legion-commander,1.40,44.51
undying,1.31,45.23
lion,1.24,48.03
alchemist,1.19,47.12
monkey-king,1.16,53.32
natures-prophet,1.15,51.12
shadow-fiend,1.07,48.26
rubick,1.01,50.39
sniper,0.98,48.35
axe,0.92,45.46
shadow-shaman,0.92,45.05
abaddon,0.91,41.42
lycan,0.89,47.27
disruptor,0.83,47.74
luna,0.82,45.26
arc-warden,0.80,45.17
earth-spirit,0.75,48.83
medusa,0.74,43.08
tidehunter,0.72,49.20
enigma,0.69,48.32
ursa,0.65,49.07
grimstroke,0.58,49.80
omniknight,0.57,44.97
underlord,0.56,44.33
pugna,0.53,49.91
centaur-warrunner,0.52,45.03
skywrath-mage,0.50,47.06
zeus,0.50,47.13
techies,0.48,50.86
marci,0.48,47.85
gyrocopter,0.47,50.93
faceless-void,0.46,51.54
oracle,0.45,44.97
earthshaker,0.43,49.06
keeper-of-the-light,0.41,51.09
troll-warlord,0.40,48.16
leshrac,0.36,48.36
bounty-hunter,0.33,46.85
bloodseeker,0.31,46.59
doom,0.29,52.11
sand-king,0.22,45.63
dawnbreaker,0.20,47.84
enchantress,0.12,50.80
lifestealer,0.07,47.83
jakiro,0.02,48.09
naga-siren,0.01,51.27
ember-spirit,-0.08,51.51
venomancer,-0.09,49.09
dazzle,-0.14,50.97
lina,-0.16,51.35
batrider,-0.16,56.05
treant-protector,-0.22,46.15
spirit-breaker,-0.26,48.02
chaos-knight,-0.28,49.43
slardar,-0.32,49.92
primal-beast,-0.35,51.26
winter-wyvern,-0.36,49.02
ogre-magi,-0.37,47.19
warlock,-0.40,44.20
clinkz,-0.42,48.20
necrophos,-0.45,46.16
snapfire,-0.54,52.51
drow-ranger,-0.55,49.11
hoodwink,-0.57,52.78
morphling,-0.58,54.53
elder-titan,-0.70,48.78
vengeful-spirit,-0.73,47.55
lich,-0.77,45.21
clockwerk,-0.79,46.97
visage,-0.80,47.66
bristleback,-0.83,50.14
tusk,-0.85,53.73
dark-seer,-0.87,49.03
razor,-0.91,48.96
viper,-1.00,49.35
weaver,-1.04,50.46
terrorblade,-1.05,54.19
kunkka,-1.08,47.72
dark-willow,-1.13,50.37
crystal-maiden,-1.13,49.37
ringmaster,-1.19,47.33
juggernaut,-1.22,48.13
shadow-demon,-1.28,50.52
witch-doctor,-1.35,46.92
windranger,-1.37,49.85
pudge,-1.38,48.68
brewmaster,-1.38,50.68
phantom-assassin,-1.39,49.19
anti-mage,-1.47,51.14
pangolier,-1.59,54.30
phoenix,-1.60,50.20
timbersaw,-1.68,50.20
magnus,-1.76,51.99
mirana,-1.81,54.34
outworld-destroyer,-1.89,48.84
mars,-2.03,53.19
storm-spirit,-2.06,50.61
invoker,-2.14,52.75
slark,-2.17,50.97
ancient-apparition,-2.20,48.26
queen-of-pain,-2.52,50.98
phantom-lancer,-2.82,54.77
puck,0,50
