hero,disadvantage,winrate
batrider,2.91,57.03
beastmaster,2.89,53.96
ursa,2.75,49.77
tusk,2.62,53.72
chen,2.53,57.25
monkey-king,2.49,56.01
terrorblade,2.32,54.46
sven,2.23,54.51
marci,2.16,48.65
magnus,2.14,50.96
pangolier,2.12,53.92
lycan,2.09,48.49
slardar,1.90,50.54
morphling,1.89,55.89
chaos-knight,1.88,49.97
weaver,1.85,50.40
mirana,1.84,54.32
timbersaw,1.81,49.31
doom,1.81,54.03
lone-druid,1.74,48.27
puck,1.64,51.34
grimstroke,1.60,51.86
mars,1.57,52.79
anti-mage,1.47,51.10
meepo,1.47,51.59
broodmother,1.42,49.18
earth-spirit,1.41,51.04
hoodwink,1.31,54.46
snapfire,1.23,54.15
bristleback,1.21,51.00
ember-spirit,1.20,53.53
void-spirit,1.18,47.37
storm-spirit,1.11,50.15
lifestealer,1.07,49.35
primal-beast,1.05,53.06
elder-titan,1.04,49.55
enigma,1.04,50.76
invoker,1.02,52.95
dawnbreaker,1.02,49.59
death-prophet,0.95,51.66
dazzle,0.89,53.24
kunkka,0.86,48.08
tidehunter,0.84,52.17
tiny,0.84,53.67
earthshaker,0.83,51.59
clockwerk,0.83,47.49
templar-assassin,0.81,57.91
disruptor,0.76,50.56
keeper-of-the-light,0.74,54.24
naga-siren,0.74,53.96
dragon-knight,0.74,52.12
queen-of-pain,0.71,50.68
phantom-lancer,0.63,54.80
undying,0.62,48.12
visage,0.58,48.58
shadow-fiend,0.57,51.67
dark-willow,0.52,51.69
phoenix,0.50,50.85
faceless-void,0.49,55.01
io,0.43,51.16
troll-warlord,0.40,50.95
gyrocopter,0.39,54.44
alchemist,0.38,50.66
ringmaster,0.38,48.05
wraith-king,0.38,44.18
natures-prophet,0.38,55.48
skywrath-mage,0.37,49.70
vengeful-spirit,0.37,48.83
night-stalker,0.36,47.64
dark-seer,0.36,50.46
leshrac,0.30,51.27
huskar,0.29,53.28
lina,0.27,54.30
techies,0.27,54.37
slark,0.26,51.45
shadow-demon,0.18,52.03
centaur-warrunner,0.15,47.48
brewmaster,0.11,52.14
silencer,0.08,47.47
juggernaut,0.06,49.33
enchantress,0.00,54.44
outworld-destroyer,-0.13,49.51
lion,-0.13,52.26
luna,-0.14,48.44
rubick,-0.17,55.00
witch-doctor,-0.18,47.92
omniknight,-0.18,47.88
venomancer,-0.21,52.22
spirit-breaker,-0.22,50.65
medusa,-0.25,45.79
razor,-0.26,51.04
windranger,-0.29,51.64
winter-wyvern,-0.32,51.90
jakiro,-0.35,51.22
nyx-assassin,-0.46,50.10
bounty-hunter,-0.54,50.29
ancient-apparition,-0.66,49.00
bane,-0.70,52.31
zeus,-0.71,50.99
treant-protector,-0.73,48.92
bloodseeker,-0.76,50.22
arc-warden,-0.76,49.08
warlock,-0.79,46.21
muerta,-0.79,55.36
clinkz,-0.81,51.34
ogre-magi,-0.82,50.12
sand-king,-0.83,48.90
riki,-0.85,50.02
oracle,-0.95,48.65
lich,-0.98,47.28
spectre,-1.20,50.65
abaddon,-1.25,44.92
tinker,-1.32,52.51
crystal-maiden,-1.34,52.52
shadow-shaman,-1.34,49.60
pugna,-1.45,55.35
underlord,-1.62,48.69
drow-ranger,-1.66,53.20
axe,-1.70,50.47
viper,-1.72,53.07
legion-commander,-1.79,50.01
phantom-assassin,-1.89,52.49
necrophos,-2.19,50.27
sniper,-2.38,54.60
