hero,disadvantage,winrate
pudge,2.82,44.63
silencer,2.70,42.65
huskar,2.62,47.30
anti-mage,2.06,47.29
io,2.00,46.36
spirit-breaker,1.95,45.58
chaos-knight,1.63,47.14
night-stalker,1.62,44.02
medusa,1.61,42.13
sniper,1.55,47.47
nyx-assassin,1.55,45.29
wraith-king,1.53,41.54
magnus,1.52,48.28
sven,1.51,51.02
drow-ranger,1.40,46.87
earthshaker,1.28,47.88
slardar,1.28,47.94
faceless-void,1.19,50.32
vengeful-spirit,1.15,45.44
enigma,1.14,47.52
lina,1.05,49.72
lone-druid,1.05,46.34
primal-beast,1.00,49.42
batrider,0.99,54.12
shadow-fiend,0.98,47.99
snapfire,0.85,50.59
phantom-lancer,0.83,50.56
skywrath-mage,0.78,46.47
ogre-magi,0.78,45.83
visage,0.71,45.89
naga-siren,0.69,50.10
weaver,0.67,48.37
mirana,0.67,51.36
brewmaster,0.65,48.19
beastmaster,0.62,52.02
terrorblade,0.62,51.92
death-prophet,0.58,48.64
centaur-warrunner,0.57,44.81
ancient-apparition,0.54,45.29
lycan,0.54,47.32
natures-prophet,0.50,51.24
ursa,0.49,48.83
dragon-knight,0.48,48.93
enchantress,0.48,49.97
warlock,0.45,43.25
hoodwink,0.44,51.25
dawnbreaker,0.43,47.30
bristleback,0.41,48.53
witch-doctor,0.36,45.09
shadow-shaman,0.35,45.39
tiny,0.34,50.47
marci,0.33,47.68
clockwerk,0.32,45.65
luna,0.32,45.52
zeus,0.31,47.02
doom,0.30,51.54
clinkz,0.28,47.18
bounty-hunter,0.25,46.64
viper,0.24,47.78
riki,0.23,46.18
alchemist,0.09,47.89
arc-warden,0.08,45.71
lion,0.07,48.73
gyrocopter,0.05,50.88
grimstroke,0.03,49.93
leshrac,-0.04,48.40
phoenix,-0.26,48.47
morphling,-0.26,53.54
muerta,-0.26,50.85
invoker,-0.27,50.53
pangolier,-0.28,52.33
keeper-of-the-light,-0.31,51.34
dazzle,-0.36,50.72
dark-seer,-0.39,48.19
lifestealer,-0.43,48.01
oracle,-0.44,45.73
spectre,-0.50,47.09
outworld-destroyer,-0.53,47.17
puck,-0.53,50.10
phantom-assassin,-0.54,48.05
legion-commander,-0.61,46.21
techies,-0.63,51.47
dark-willow,-0.70,49.54
chen,-0.71,55.41
elder-titan,-0.72,48.45
tusk,-0.73,53.01
mars,-0.74,51.39
rubick,-0.74,51.56
bloodseeker,-0.77,47.39
kunkka,-0.80,47.18
bane,-0.83,49.10
broodmother,-0.87,48.64
underlord,-0.91,45.65
razor,-1.00,48.69
sand-king,-1.04,46.62
ringmaster,-1.06,46.97
abaddon,-1.08,43.40
void-spirit,-1.11,47.26
lich,-1.14,45.41
jakiro,-1.15,48.88
juggernaut,-1.17,47.78
crystal-maiden,-1.21,49.08
earth-spirit,-1.23,50.43
ember-spirit,-1.26,52.16
meepo,-1.41,51.04
windranger,-1.43,49.53
tinker,-1.47,49.35
queen-of-pain,-1.53,49.71
axe,-1.55,47.55
undying,-1.58,47.84
treant-protector,-1.81,47.52
slark,-1.83,50.23
disruptor,-1.84,50.05
templar-assassin,-1.89,55.84
venomancer,-1.91,50.52
monkey-king,-1.96,55.72
winter-wyvern,-2.57,50.87
shadow-demon,-2.67,51.49
necrophos,-2.75,48.14
timbersaw,-2.79,50.89
troll-warlord,-2.86,51.07
omniknight,-2.99,48.37
storm-spirit,-3.19,51.34
tidehunter,-3.39,52.89
