hero,disadvantage,winrate
ember-spirit,4.44,48.33
medusa,3.25,41.50
huskar,2.89,48.81
meepo,2.83,48.49
puck,2.42,49.02
templar-assassin,2.38,53.79
chen,1.75,55.23
faceless-void,1.74,51.81
lina,1.72,51.04
riki,1.72,46.14
anti-mage,1.70,49.42
lone-druid,1.65,47.26
pugna,1.58,50.28
legion-commander,1.50,45.60
oracle,1.43,45.15
void-spirit,1.40,46.15
enigma,1.37,49.01
morphling,1.35,54.26
skywrath-mage,1.32,47.52
natures-prophet,1.20,52.67
chaos-knight,1.16,49.34
tinker,1.02,48.50
arc-warden,0.98,46.23
earth-spirit,0.98,50.02
beastmaster,0.97,53.91
shadow-shaman,0.94,46.23
night-stalker,0.94,46.04
witch-doctor,0.91,45.94
clinkz,0.83,48.24
bane,0.82,49.14
sven,0.79,53.92
marci,0.78,48.91
abaddon,0.78,42.48
nyx-assassin,0.72,47.62
tidehunter,0.72,50.66
weaver,0.69,50.15
elder-titan,0.66,48.72
io,0.63,49.46
doom,0.62,53.42
ursa,0.57,50.59
pangolier,0.56,53.68
silencer,0.55,46.07
lion,0.53,50.10
grimstroke,0.48,51.39
viper,0.46,49.25
shadow-fiend,0.45,50.29
visage,0.44,47.66
mirana,0.44,53.80
snapfire,0.39,53.17
disruptor,0.25,49.72
muerta,0.25,52.34
earthshaker,0.23,50.71
dazzle,0.22,52.12
bloodseeker,0.22,47.96
phantom-lancer,0.20,53.25
invoker,0.19,52.08
enchantress,0.19,52.28
broodmother,0.19,49.29
slardar,0.12,50.92
vengeful-spirit,0.11,47.99
troll-warlord,0.07,49.89
ogre-magi,0.06,48.04
kunkka,0.05,47.86
bristleback,0.04,50.70
lycan,0.02,49.54
tusk,0.02,54.56
undying,0.01,47.80
storm-spirit,0.01,49.94
wraith-king,-0.05,44.20
magnus,-0.05,51.77
terrorblade,-0.05,54.79
dawnbreaker,-0.06,49.48
underlord,-0.10,46.11
dragon-knight,-0.10,51.38
gyrocopter,-0.10,53.12
drow-ranger,-0.13,50.10
techies,-0.14,53.04
outworld-destroyer,-0.16,48.35
batrider,-0.17,57.83
crystal-maiden,-0.21,49.85
hoodwink,-0.22,54.05
death-prophet,-0.25,51.35
slark,-0.32,50.56
keeper-of-the-light,-0.40,53.52
treant-protector,-0.41,47.58
spirit-breaker,-0.42,49.54
brewmaster,-0.43,51.11
tiny,-0.46,53.33
rubick,-0.49,53.39
shadow-demon,-0.55,51.23
primal-beast,-0.58,53.06
windranger,-0.59,50.50
warlock,-0.60,45.51
juggernaut,-0.61,48.84
pudge,-0.61,49.32
naga-siren,-0.61,53.47
bounty-hunter,-0.63,49.13
phoenix,-0.65,50.66
venomancer,-0.65,51.12
dark-willow,-0.66,51.36
sniper,-0.67,51.29
ancient-apparition,-0.67,47.97
ringmaster,-0.75,48.16
winter-wyvern,-0.75,50.85
jakiro,-0.75,50.23
centaur-warrunner,-0.76,47.51
luna,-0.77,48.01
monkey-king,-0.78,57.03
omniknight,-0.79,47.60
necrophos,-0.86,47.76
spectre,-0.87,49.05
alchemist,-1.19,50.94
lifestealer,-1.25,50.57
axe,-1.37,48.94
phantom-assassin,-1.40,50.57
lich,-1.48,47.09
dark-seer,-1.55,51.16
zeus,-1.57,50.51
mars,-1.68,54.48
clockwerk,-1.91,49.40
timbersaw,-2.26,52.23
sand-king,-2.29,49.33
leshrac,-2.63,52.96
razor,-3.31,52.85
