hero,disadvantage,winrate
queen-of-pain,3.57,47.13
morphling,3.23,52.53
anti-mage,2.91,48.77
ember-spirit,2.48,50.82
primal-beast,2.32,50.44
mirana,2.29,52.22
weaver,2.28,49.10
batrider,2.09,55.51
storm-spirit,2.07,48.45
witch-doctor,1.97,45.74
enigma,1.76,49.19
bristleback,1.64,49.64
faceless-void,1.64,52.29
timbersaw,1.57,48.93
viper,1.54,48.79
bloodseeker,1.52,47.32
dark-willow,1.45,49.71
elder-titan,1.38,48.60
earth-spirit,1.36,50.14
void-spirit,1.22,47.14
phoenix,1.21,49.29
magnus,1.13,51.01
clockwerk,1.12,47.05
techies,1.10,52.15
terrorblade,1.09,53.85
crystal-maiden,1.08,49.16
pugna,1.06,51.31
dark-seer,1.03,49.04
centaur-warrunner,1.01,46.56
arc-warden,0.90,47.11
puck,0.89,51.05
natures-prophet,0.88,53.30
chaos-knight,0.87,50.20
tusk,0.78,53.96
luna,0.76,47.32
tinker,0.76,49.40
drow-ranger,0.72,49.81
meepo,0.72,51.22
naga-siren,0.71,52.46
muerta,0.71,52.25
ancient-apparition,0.60,47.43
spectre,0.56,48.30
enchantress,0.51,52.34
pudge,0.50,48.96
underlord,0.47,46.45
nyx-assassin,0.45,48.60
lycan,0.42,49.72
necrophos,0.36,47.34
treant-protector,0.36,47.59
undying,0.30,48.21
sand-king,0.27,47.58
sniper,0.26,50.94
doom,0.24,54.05
pangolier,0.23,54.27
marci,0.22,50.08
beastmaster,0.20,54.88
warlock,0.19,45.64
venomancer,0.18,50.78
mars,0.17,52.88
hoodwink,0.16,53.95
shadow-fiend,0.15,51.08
dawnbreaker,0.09,49.93
ringmaster,0.06,48.13
slark,0.03,50.75
jakiro,0.02,50.05
ogre-magi,0.01,48.78
snapfire,-0.05,53.89
legion-commander,-0.05,47.90
outworld-destroyer,-0.06,48.96
keeper-of-the-light,-0.06,53.50
brewmaster,-0.09,51.28
chen,-0.12,57.28
gyrocopter,-0.17,53.52
broodmother,-0.18,50.25
invoker,-0.20,52.85
leshrac,-0.21,50.91
lich,-0.29,46.75
vengeful-spirit,-0.31,49.13
templar-assassin,-0.33,56.76
tiny,-0.37,53.56
spirit-breaker,-0.39,50.10
sven,-0.43,55.49
lina,-0.44,53.54
monkey-king,-0.48,56.81
kunkka,-0.51,49.15
bane,-0.52,51.11
bounty-hunter,-0.53,49.68
earthshaker,-0.56,51.96
shadow-demon,-0.62,51.78
huskar,-0.70,52.98
windranger,-0.73,51.19
io,-0.80,51.49
omniknight,-0.83,48.43
juggernaut,-0.88,49.76
disruptor,-0.92,51.47
zeus,-0.94,50.48
riki,-0.94,49.58
silencer,-0.99,48.42
slardar,-1.02,52.56
medusa,-1.07,46.90
phantom-lancer,-1.13,54.98
dragon-knight,-1.19,52.90
visage,-1.20,50.09
dazzle,-1.31,54.04
abaddon,-1.31,45.71
winter-wyvern,-1.36,51.99
axe,-1.41,49.65
rubick,-1.48,54.65
lone-druid,-1.53,51.20
phantom-assassin,-1.55,51.27
alchemist,-1.63,51.92
skywrath-mage,-1.69,51.20
wraith-king,-1.73,46.78
night-stalker,-1.78,49.60
grimstroke,-1.82,54.16
shadow-shaman,-1.85,49.74
ursa,-1.88,53.52
clinkz,-2.04,51.80
death-prophet,-2.14,53.77
lion,-2.23,53.16
tidehunter,-2.79,54.70
oracle,-2.88,50.42
lifestealer,-2.96,52.83
troll-warlord,-4.19,54.79
razor,0,50
