hero,disadvantage,winrate
bristleback,4.32,48.35
naga-siren,3.61,50.81
underlord,3.53,44.79
spectre,3.38,46.88
bloodseeker,2.91,47.27
sand-king,2.39,46.90
tiny,2.37,52.15
necrophos,2.08,47.04
leshrac,2.05,49.93
drow-ranger,1.91,50.02
beastmaster,1.88,54.46
zeus,1.82,49.19
bounty-hunter,1.77,48.74
techies,1.55,53.03
jakiro,1.55,49.91
wraith-king,1.53,45.04
terrorblade,1.52,54.79
lone-druid,1.48,49.51
batrider,1.36,57.50
natures-prophet,1.34,54.15
luna,1.32,48.15
disruptor,1.27,50.61
nyx-assassin,1.11,49.32
silencer,1.09,47.76
muerta,1.08,53.19
slardar,1.02,51.88
axe,0.97,48.76
doom,0.97,54.59
razor,0.95,50.40
elder-titan,0.94,50.39
night-stalker,0.94,48.25
pudge,0.85,49.99
shadow-fiend,0.84,51.77
phantom-assassin,0.80,50.45
monkey-king,0.80,56.82
sniper,0.76,51.83
lycan,0.75,50.73
troll-warlord,0.73,51.12
dark-seer,0.71,50.72
primal-beast,0.70,53.41
tidehunter,0.70,52.50
gyrocopter,0.67,53.98
venomancer,0.65,51.65
timbersaw,0.64,51.17
lion,0.62,51.89
dark-willow,0.61,51.91
ogre-magi,0.60,49.58
dragon-knight,0.60,52.47
death-prophet,0.58,52.31
clockwerk,0.52,49.03
arc-warden,0.52,48.83
alchemist,0.52,51.10
spirit-breaker,0.44,50.65
windranger,0.42,51.43
centaur-warrunner,0.42,48.52
snapfire,0.39,54.75
bane,0.29,51.63
tinker,0.26,51.25
treant-protector,0.25,49.06
broodmother,0.24,51.17
chaos-knight,0.21,52.21
mirana,0.21,55.53
meepo,0.20,53.10
omniknight,0.17,48.80
grimstroke,0.17,53.47
brewmaster,0.17,52.34
tusk,0.15,55.87
earth-spirit,0.10,52.75
crystal-maiden,0.07,51.51
pangolier,0.03,55.75
lich,0.02,47.83
keeper-of-the-light,0.01,54.74
winter-wyvern,0.01,51.94
io,-0.01,52.03
vengeful-spirit,-0.03,50.20
phantom-lancer,-0.04,55.19
earthshaker,-0.07,52.82
chen,-0.08,58.58
sven,-0.10,56.41
pugna,-0.11,53.82
abaddon,-0.13,45.96
huskar,-0.15,53.75
hoodwink,-0.17,55.58
warlock,-0.21,47.43
rubick,-0.24,54.80
marci,-0.26,51.91
outworld-destroyer,-0.35,50.62
ringmaster,-0.42,49.94
lina,-0.43,54.83
shadow-shaman,-0.49,49.78
kunkka,-0.49,50.49
phoenix,-0.50,52.37
skywrath-mage,-0.50,51.36
dawnbreaker,-0.57,51.94
enchantress,-0.57,54.75
undying,-0.70,50.58
ancient-apparition,-0.73,50.12
faceless-void,-0.77,55.98
ember-spirit,-0.89,55.50
legion-commander,-0.98,50.14
magnus,-0.99,54.43
morphling,-1.15,58.20
templar-assassin,-1.30,59.07
dazzle,-1.32,55.37
lifestealer,-1.57,52.79
viper,-1.59,53.22
enigma,-1.60,53.95
mars,-1.77,56.12
invoker,-1.82,55.68
visage,-1.96,52.20
queen-of-pain,-2.05,53.86
oracle,-2.07,50.95
medusa,-2.15,49.35
weaver,-2.16,54.82
void-spirit,-2.26,52.03
anti-mage,-2.40,55.28
witch-doctor,-2.54,51.38
shadow-demon,-2.69,55.20
slark,-2.79,54.83
juggernaut,-2.79,52.93
ursa,-3.27,56.21
clinkz,-3.36,54.49
storm-spirit,-3.81,55.63
puck,-4.10,57.30
