hero,disadvantage,winrate
bloodseeker,2.54,48.10
elder-titan,2.06,49.78
batrider,2.04,57.98
anti-mage,1.93,51.70
lycan,1.87,50.13
chen,1.85,57.73
bristleback,1.84,51.40
sven,1.71,55.46
tinker,1.65,50.40
pangolier,1.61,55.08
keeper-of-the-light,1.54,53.93
death-prophet,1.53,51.98
windranger,1.48,51.03
bounty-hunter,1.43,49.56
phantom-lancer,1.38,54.44
pugna,1.38,53.02
broodmother,1.37,50.59
puck,1.36,52.68
phantom-assassin,1.36,50.46
brewmaster,1.33,51.80
dazzle,1.30,53.55
alchemist,1.28,50.93
ursa,1.26,52.43
doom,1.24,55.30
natures-prophet,1.22,55.16
juggernaut,1.19,49.61
morphling,1.13,57.10
io,1.11,51.52
templar-assassin,1.11,57.69
shadow-demon,1.06,52.16
enigma,1.05,51.89
weaver,1.01,52.36
snapfire,0.99,55.12
faceless-void,0.99,55.07
magnus,0.93,53.33
gyrocopter,0.92,54.56
earthshaker,0.90,52.58
venomancer,0.89,52.06
invoker,0.87,53.94
techies,0.82,54.59
ancient-apparition,0.81,49.02
huskar,0.80,53.51
undying,0.80,49.56
beastmaster,0.78,56.68
hoodwink,0.78,55.60
earth-spirit,0.77,52.85
lifestealer,0.75,51.03
queen-of-pain,0.73,51.84
bane,0.71,51.81
winter-wyvern,0.67,51.91
nyx-assassin,0.66,50.27
zeus,0.61,50.90
slardar,0.57,52.98
rubick,0.55,54.95
night-stalker,0.51,49.08
clinkz,0.50,51.14
tusk,0.49,56.72
ember-spirit,0.45,55.09
lina,0.44,54.84
timbersaw,0.41,52.04
riki,0.41,50.08
omniknight,0.35,48.96
outworld-destroyer,0.35,50.42
lion,0.33,52.84
terrorblade,0.32,56.93
oracle,0.31,48.89
disruptor,0.26,52.28
dark-seer,0.26,51.79
sniper,0.21,53.01
kunkka,0.19,50.29
tidehunter,0.17,53.77
enchantress,0.17,54.83
vengeful-spirit,0.15,50.53
phoenix,0.14,52.40
viper,0.14,52.12
marci,0.11,52.20
shadow-fiend,0.10,53.19
razor,0.06,51.89
monkey-king,0.04,58.71
dark-willow,0.03,53.19
void-spirit,0.03,50.19
leshrac,0.03,52.69
skywrath-mage,0.02,51.40
abaddon,-0.01,45.93
arc-warden,-0.05,49.88
wraith-king,-0.08,46.83
ogre-magi,-0.09,50.75
crystal-maiden,-0.10,52.29
necrophos,-0.12,49.62
storm-spirit,-0.17,52.69
mirana,-0.20,56.99
sand-king,-0.23,49.87
spirit-breaker,-0.25,51.91
warlock,-0.28,47.78
drow-ranger,-0.30,52.80
primal-beast,-0.30,55.28
tiny,-0.30,55.70
muerta,-0.35,55.51
naga-siren,-0.37,55.74
grimstroke,-0.37,54.86
meepo,-0.40,54.47
clockwerk,-0.40,50.43
witch-doctor,-0.43,49.83
centaur-warrunner,-0.45,49.79
jakiro,-0.50,52.54
spectre,-0.50,51.24
shadow-shaman,-0.52,50.27
chaos-knight,-0.52,53.62
mars,-0.55,55.89
silencer,-0.55,49.79
pudge,-0.69,51.95
medusa,-0.70,48.22
dawnbreaker,-0.75,52.78
visage,-0.75,51.53
treant-protector,-0.76,50.51
luna,-0.79,50.61
underlord,-0.84,49.51
lich,-0.95,49.14
troll-warlord,-1.18,53.72
axe,-1.20,51.34
dragon-knight,-1.50,55.34
legion-commander,-1.54,51.17
slark,-1.85,54.64
lone-druid,-2.13,53.86
