hero,disadvantage,winrate
templar-assassin,2.54,50.92
ember-spirit,1.82,48.08
ursa,1.58,46.47
tusk,1.50,50.12
keeper-of-the-light,1.49,48.51
batrider,1.34,53.40
earth-spirit,1.29,46.59
hoodwink,1.09,49.83
elder-titan,1.07,45.15
lifestealer,1.06,45.00
drow-ranger,1.00,45.85
dazzle,0.94,48.40
monkey-king,0.94,52.50
huskar,0.92,47.86
phoenix,0.91,45.87
meepo,0.91,47.51
phantom-assassin,0.89,45.23
razor,0.89,45.35
legion-commander,0.84,42.96
clinkz,0.82,45.13
axe,0.80,43.59
slark,0.71,46.43
gyrocopter,0.67,49.34
mars,0.66,49.08
pudge,0.66,44.99
storm-spirit,0.58,46.23
chen,0.55,53.78
natures-prophet,0.55,50.43
pangolier,0.55,50.75
earthshaker,0.54,47.34
pugna,0.49,48.44
slardar,0.42,47.58
bristleback,0.38,47.32
tiny,0.33,49.57
brewmaster,0.32,47.25
anti-mage,0.32,47.79
snapfire,0.32,50.35
io,0.31,46.71
terrorblade,0.29,51.64
queen-of-pain,0.28,46.61
skywrath-mage,0.26,45.43
shadow-demon,0.26,47.29
clockwerk,0.19,43.99
juggernaut,0.15,44.94
bane,0.15,46.80
winter-wyvern,0.14,46.79
broodmother,0.13,46.23
invoker,0.13,49.17
enchantress,0.13,49.36
night-stalker,0.12,43.61
primal-beast,0.11,49.35
tinker,0.08,46.35
disruptor,0.01,46.85
oracle,0.00,43.32
dark-willow,-0.01,47.63
visage,-0.01,44.92
alchemist,-0.06,46.65
sniper,-0.06,47.69
grimstroke,-0.08,49.01
lycan,-0.12,46.59
marci,-0.15,46.78
shadow-fiend,-0.15,47.83
faceless-void,-0.15,50.88
spirit-breaker,-0.19,46.16
mirana,-0.24,51.60
death-prophet,-0.24,48.32
spectre,-0.25,45.25
sven,-0.29,52.25
beastmaster,-0.30,52.46
sand-king,-0.30,44.10
muerta,-0.31,49.99
bounty-hunter,-0.35,45.72
necrophos,-0.36,44.05
leshrac,-0.36,47.44
ogre-magi,-0.37,45.29
riki,-0.40,45.20
viper,-0.44,47.12
centaur-warrunner,-0.46,43.95
chaos-knight,-0.46,48.02
dragon-knight,-0.46,48.74
zeus,-0.50,46.30
timbersaw,-0.50,47.34
ancient-apparition,-0.55,44.65
techies,-0.56,50.60
venomancer,-0.60,48.01
windranger,-0.60,47.44
bloodseeker,-0.67,45.83
void-spirit,-0.68,45.10
shadow-shaman,-0.73,44.64
lone-druid,-0.76,46.68
tidehunter,-0.76,49.23
vengeful-spirit,-0.81,45.73
troll-warlord,-0.84,47.80
nyx-assassin,-0.85,46.07
silencer,-0.88,44.31
treant-protector,-0.91,44.87
ringmaster,-0.92,45.05
lina,-0.95,50.80
warlock,-0.96,42.42
dawnbreaker,-0.97,47.34
magnus,-1.00,49.79
naga-siren,-1.03,50.98
puck,-1.06,49.60
dark-seer,-1.13,47.64
morphling,-1.14,54.14
witch-doctor,-1.15,44.68
doom,-1.15,52.39
omniknight,-1.17,44.80
arc-warden,-1.21,45.30
lich,-1.42,43.67
undying,-1.44,46.13
lion,-1.44,48.94
phantom-lancer,-1.46,52.11
luna,-2.04,46.09
kunkka,-2.05,46.90
medusa,-2.28,44.00
abaddon,-2.29,42.36
wraith-king,-2.32,43.16
weaver,-2.53,50.51
crystal-maiden,-2.63,49.27
outworld-destroyer,-2.72,48.00
jakiro,-3.96,50.43
enigma,-4.40,52.23
underlord,-6.90,50.19
