hero,disadvantage,winrate
ember-spirit,3.27,52.53
huskar,2.83,51.80
lina,2.71,52.98
bloodseeker,2.35,48.65
muerta,2.34,53.05
zeus,2.31,49.56
queen-of-pain,2.29,50.67
ancient-apparition,2.26,47.87
phoenix,2.04,50.75
clinkz,1.97,49.96
juggernaut,1.90,49.28
skywrath-mage,1.87,49.87
sniper,1.87,51.83
bristleback,1.77,51.87
storm-spirit,1.56,51.28
faceless-void,1.52,54.96
morphling,1.49,57.06
snapfire,1.47,54.98
shadow-fiend,1.44,52.22
pugna,1.40,53.39
anti-mage,1.40,52.65
lifestealer,1.39,50.71
mirana,1.37,55.80
disruptor,1.36,51.50
doom,1.32,55.73
silencer,1.31,48.24
troll-warlord,1.29,51.51
windranger,1.27,51.63
ursa,1.22,52.84
death-prophet,1.14,52.78
bounty-hunter,1.13,50.24
venomancer,1.06,52.26
gyrocopter,1.06,54.80
keeper-of-the-light,1.02,54.86
centaur-warrunner,1.01,48.64
timbersaw,0.95,51.89
earth-spirit,0.95,53.01
sven,0.95,56.70
monkey-king,0.94,58.20
nyx-assassin,0.92,50.37
techies,0.89,54.90
legion-commander,0.88,49.13
dawnbreaker,0.82,51.49
leshrac,0.81,52.24
elder-titan,0.80,51.50
hoodwink,0.71,56.03
pudge,0.65,51.09
kunkka,0.63,50.21
grimstroke,0.61,54.20
pangolier,0.61,56.54
slardar,0.58,53.39
marci,0.56,52.09
night-stalker,0.54,49.41
viper,0.50,52.14
oracle,0.50,49.08
tidehunter,0.43,53.91
crystal-maiden,0.41,52.14
lich,0.41,48.10
jakiro,0.39,52.01
witch-doctor,0.35,49.42
weaver,0.33,53.45
natures-prophet,0.27,56.55
ringmaster,0.24,50.14
magnus,0.16,54.52
undying,0.12,50.62
puck,0.08,54.37
luna,0.08,50.14
ogre-magi,0.07,50.96
underlord,0.06,48.90
tinker,0.05,52.49
rubick,-0.06,55.91
razor,-0.08,52.42
lion,-0.09,53.60
void-spirit,-0.15,50.74
abaddon,-0.17,46.43
dark-willow,-0.21,53.83
drow-ranger,-0.21,53.10
outworld-destroyer,-0.24,51.41
bane,-0.25,53.19
omniknight,-0.37,50.12
earthshaker,-0.38,54.25
enchantress,-0.47,55.92
dazzle,-0.51,55.78
spectre,-0.51,51.62
brewmaster,-0.52,54.19
phantom-assassin,-0.58,52.69
mars,-0.61,56.35
invoker,-0.62,55.80
enigma,-0.70,54.10
io,-0.72,53.83
vengeful-spirit,-0.90,51.99
visage,-0.90,52.07
clockwerk,-0.91,51.33
lycan,-0.92,53.48
primal-beast,-0.93,56.33
batrider,-0.94,61.51
chen,-1.04,61.27
treant-protector,-1.09,51.25
templar-assassin,-1.12,60.38
alchemist,-1.15,53.83
beastmaster,-1.20,59.17
spirit-breaker,-1.22,53.26
dark-seer,-1.25,53.79
slark,-1.29,54.46
broodmother,-1.42,53.88
tiny,-1.44,57.30
tusk,-1.52,59.14
axe,-1.59,52.08
arc-warden,-1.62,51.90
dragon-knight,-1.70,55.96
necrophos,-1.73,51.61
winter-wyvern,-1.74,54.84
shadow-demon,-1.76,55.52
shadow-shaman,-2.08,52.20
riki,-2.14,53.09
wraith-king,-2.18,49.26
terrorblade,-2.33,60.09
warlock,-2.34,50.24
medusa,-2.42,50.34
meepo,-2.66,57.22
lone-druid,-3.90,56.15
chaos-knight,-4.54,58.24
naga-siren,-4.58,60.58
phantom-lancer,-6.32,62.89
sand-king,0,50
