hero,disadvantage,winrate
phantom-lancer,3.26,49.29
meepo,2.92,47.83
riki,2.79,44.80
enigma,2.70,47.12
pugna,2.66,48.51
sand-king,2.47,44.48
lycan,2.40,46.60
bounty-hunter,2.32,45.76
anti-mage,2.30,48.23
weaver,2.06,48.19
dawnbreaker,2.02,46.86
undying,2.00,45.48
sven,1.90,51.82
ember-spirit,1.87,50.23
earthshaker,1.77,48.60
naga-siren,1.76,50.18
chaos-knight,1.74,48.19
marci,1.59,47.60
brewmaster,1.52,48.47
io,1.43,48.11
tidehunter,1.39,49.31
puck,1.32,49.47
timbersaw,1.32,48.05
magnus,1.24,49.73
faceless-void,1.24,51.45
dark-seer,1.21,47.75
earth-spirit,1.16,49.21
pangolier,1.04,52.19
tinker,1.01,48.03
keeper-of-the-light,0.97,51.21
terrorblade,0.97,52.75
templar-assassin,0.93,54.21
warlock,0.90,43.96
dazzle,0.87,50.69
natures-prophet,0.87,52.07
bloodseeker,0.80,47.00
phantom-assassin,0.72,48.06
queen-of-pain,0.72,48.75
troll-warlord,0.71,48.68
tiny,0.70,51.29
morphling,0.67,53.83
nyx-assassin,0.66,47.32
razor,0.65,48.24
underlord,0.55,45.36
chen,0.53,55.35
snapfire,0.50,52.12
lifestealer,0.49,48.26
arc-warden,0.44,46.50
bane,0.43,49.01
monkey-king,0.42,54.61
pudge,0.40,47.97
clinkz,0.38,48.25
witch-doctor,0.38,46.22
crystal-maiden,0.35,48.76
tusk,0.35,53.14
windranger,0.32,49.06
phoenix,0.29,49.10
techies,0.24,51.81
vengeful-spirit,0.19,47.54
beastmaster,0.18,53.68
juggernaut,0.17,47.67
zeus,0.16,48.33
shadow-shaman,0.11,46.77
jakiro,0.07,48.88
winter-wyvern,0.06,49.40
slardar,0.02,50.35
lone-druid,0.00,48.54
mars,-0.01,51.86
lina,-0.03,51.93
lion,-0.04,50.01
outworld-destroyer,-0.05,47.87
void-spirit,-0.07,47.37
treant-protector,-0.08,46.96
doom,-0.10,53.13
spectre,-0.10,47.86
storm-spirit,-0.10,49.48
alchemist,-0.12,49.27
enchantress,-0.12,51.76
sniper,-0.16,50.17
spirit-breaker,-0.20,48.81
leshrac,-0.23,49.78
dragon-knight,-0.27,50.82
night-stalker,-0.29,47.05
slark,-0.30,49.93
venomancer,-0.32,50.13
kunkka,-0.33,47.88
drow-ranger,-0.42,49.80
ursa,-0.44,50.92
hoodwink,-0.45,53.30
wraith-king,-0.48,44.59
death-prophet,-0.53,50.93
ogre-magi,-0.61,48.30
gyrocopter,-0.64,52.76
ancient-apparition,-0.65,47.62
invoker,-0.69,52.09
elder-titan,-0.72,49.63
rubick,-0.74,52.71
mirana,-0.75,53.90
ringmaster,-0.76,47.84
silencer,-0.80,47.19
clockwerk,-0.83,47.94
centaur-warrunner,-0.88,47.37
batrider,-0.90,57.21
shadow-fiend,-1.00,51.01
broodmother,-1.04,49.99
primal-beast,-1.10,52.70
huskar,-1.18,52.24
axe,-1.18,48.36
grimstroke,-1.25,52.38
dark-willow,-1.29,51.31
luna,-1.33,48.21
necrophos,-1.48,48.08
disruptor,-1.53,50.92
muerta,-1.68,53.45
visage,-1.80,49.57
skywrath-mage,-1.85,50.23
legion-commander,-1.89,48.58
abaddon,-1.99,45.42
lich,-2.09,47.47
bristleback,-2.28,52.32
medusa,-2.42,47.22
viper,-2.59,51.72
oracle,-3.61,50.04
omniknight,-4.67,51.18
