hero,disadvantage,winrate
terrorblade,2.16,52.00
zeus,2.09,46.02
phantom-lancer,2.07,50.60
templar-assassin,2.05,53.91
hoodwink,1.57,51.61
tiny,1.55,50.55
sniper,1.53,48.47
spirit-breaker,1.39,46.90
dragon-knight,1.35,49.15
medusa,1.34,42.62
ursa,1.27,49.13
drow-ranger,1.24,47.92
monkey-king,1.19,54.43
gyrocopter,1.17,51.06
primal-beast,1.17,50.50
batrider,1.15,55.92
troll-warlord,1.12,47.97
mars,1.12,50.86
nyx-assassin,1.03,46.51
sven,0.99,53.08
lina,0.95,51.15
ogre-magi,0.93,46.36
invoker,0.91,50.70
brewmaster,0.89,48.94
techies,0.88,51.35
snapfire,0.88,51.99
shadow-demon,0.83,49.00
wraith-king,0.70,42.43
venomancer,0.68,48.97
kunkka,0.66,46.38
tusk,0.61,53.25
keeper-of-the-light,0.59,51.78
visage,0.54,46.65
shadow-shaman,0.52,45.78
windranger,0.47,48.68
phoenix,0.46,48.70
luna,0.45,45.96
vengeful-spirit,0.43,46.83
bane,0.43,48.80
viper,0.42,48.51
chen,0.38,56.43
lion,0.37,49.51
dark-seer,0.33,48.37
muerta,0.32,51.58
ancient-apparition,0.32,46.13
jakiro,0.27,48.43
mirana,0.26,53.26
bounty-hunter,0.21,47.46
earthshaker,0.21,50.00
slardar,0.20,50.11
faceless-void,0.19,52.73
clinkz,0.19,48.09
winter-wyvern,0.17,49.10
rubick,0.09,52.16
outworld-destroyer,0.01,47.37
weaver,-0.04,50.17
bristleback,-0.06,50.08
doom,-0.07,53.40
enchantress,-0.07,51.87
clockwerk,-0.09,46.72
lich,-0.10,44.79
juggernaut,-0.11,47.53
chaos-knight,-0.11,49.93
natures-prophet,-0.11,53.35
dark-willow,-0.12,50.06
lifestealer,-0.13,48.60
morphling,-0.21,55.45
ringmaster,-0.23,46.81
razor,-0.26,48.90
alchemist,-0.26,49.20
dazzle,-0.32,52.04
skywrath-mage,-0.32,48.40
leshrac,-0.37,49.78
pudge,-0.38,48.33
death-prophet,-0.41,50.79
magnus,-0.44,51.48
queen-of-pain,-0.46,49.70
elder-titan,-0.47,49.15
naga-siren,-0.47,52.68
enigma,-0.47,50.23
grimstroke,-0.47,51.74
treant-protector,-0.51,46.82
beastmaster,-0.51,54.96
tidehunter,-0.57,51.30
spectre,-0.58,47.96
axe,-0.63,47.39
undying,-0.63,47.65
pugna,-0.70,52.01
arc-warden,-0.71,46.93
dawnbreaker,-0.72,49.41
disruptor,-0.72,49.98
witch-doctor,-0.76,46.74
phantom-assassin,-0.80,49.22
crystal-maiden,-0.82,49.72
underlord,-0.88,46.18
bloodseeker,-0.89,48.36
puck,-0.90,51.73
lycan,-0.92,49.79
huskar,-0.95,52.17
centaur-warrunner,-0.96,46.92
pangolier,-0.99,54.67
riki,-1.04,48.22
earth-spirit,-1.06,51.50
slark,-1.07,50.59
storm-spirit,-1.19,50.44
timbersaw,-1.20,50.40
night-stalker,-1.21,47.47
tinker,-1.22,50.11
omniknight,-1.27,47.29
void-spirit,-1.33,48.25
io,-1.34,50.86
legion-commander,-1.35,47.59
silencer,-1.50,47.39
sand-king,-1.52,47.76
marci,-1.68,50.75
necrophos,-1.74,47.88
anti-mage,-1.78,52.27
ember-spirit,-1.83,54.22
broodmother,-2.00,50.87
lone-druid,-2.13,50.51
abaddon,-2.50,45.06
warlock,-2.52,46.65
oracle,-2.56,48.53
meepo,-3.46,54.63
