hero,disadvantage,winrate
phantom-lancer,4.02,52.02
lone-druid,2.92,48.78
meepo,2.82,51.31
silencer,2.70,46.74
dark-seer,2.59,49.55
spectre,2.32,48.61
terrorblade,2.18,55.23
sand-king,2.13,47.79
razor,1.86,50.27
chaos-knight,1.82,51.46
necrophos,1.81,47.93
medusa,1.75,46.01
warlock,1.61,46.11
alchemist,1.53,50.89
luna,1.52,48.62
naga-siren,1.41,54.03
gyrocopter,1.38,54.29
dawnbreaker,1.32,50.82
pudge,1.26,50.41
beastmaster,1.24,56.23
omniknight,1.22,48.39
tidehunter,1.18,52.95
sniper,1.03,52.46
abaddon,0.98,45.31
tiny,0.97,54.58
arc-warden,0.93,49.08
drow-ranger,0.90,51.83
tusk,0.85,56.30
enchantress,0.84,54.31
axe,0.83,49.61
treant-protector,0.77,49.22
mars,0.76,54.63
snapfire,0.75,55.47
hoodwink,0.70,55.84
dragon-knight,0.67,53.33
brewmaster,0.64,52.74
witch-doctor,0.60,49.10
muerta,0.57,54.71
vengeful-spirit,0.57,50.34
wraith-king,0.57,46.44
monkey-king,0.57,58.26
underlord,0.56,48.37
grimstroke,0.54,54.11
mirana,0.53,56.30
ringmaster,0.53,49.73
jakiro,0.52,51.75
doom,0.51,56.11
riki,0.51,50.22
io,0.50,52.39
techies,0.48,55.17
visage,0.45,50.50
clockwerk,0.42,49.84
undying,0.41,50.20
spirit-breaker,0.41,51.50
enigma,0.33,52.89
phoenix,0.32,52.39
rubick,0.28,55.36
natures-prophet,0.25,56.32
batrider,0.22,59.89
kunkka,0.22,50.52
dazzle,0.22,54.90
ancient-apparition,0.15,49.96
shadow-demon,0.15,53.23
winter-wyvern,0.13,52.68
marci,0.10,52.39
pugna,0.08,54.61
venomancer,0.08,53.12
magnus,-0.03,54.45
zeus,-0.08,51.82
timbersaw,-0.08,52.76
chen,-0.12,59.97
disruptor,-0.13,52.89
death-prophet,-0.13,53.98
centaur-warrunner,-0.17,49.78
slark,-0.19,53.21
windranger,-0.20,52.88
lifestealer,-0.21,52.26
phantom-assassin,-0.21,52.21
earthshaker,-0.22,53.91
leshrac,-0.23,53.14
invoker,-0.24,55.22
bloodseeker,-0.28,51.30
lina,-0.32,55.78
legion-commander,-0.32,50.22
lich,-0.33,48.77
void-spirit,-0.34,50.83
morphling,-0.37,58.60
lycan,-0.39,52.76
dark-willow,-0.46,53.91
night-stalker,-0.46,50.36
clinkz,-0.53,52.46
elder-titan,-0.56,52.78
lion,-0.56,53.89
keeper-of-the-light,-0.61,56.42
sven,-0.62,58.16
huskar,-0.67,55.27
ember-spirit,-0.67,56.34
skywrath-mage,-0.69,52.38
templar-assassin,-0.70,59.82
earth-spirit,-0.73,54.56
tinker,-0.74,53.13
shadow-fiend,-0.75,54.21
puck,-0.76,54.96
pangolier,-0.77,57.66
bane,-0.77,53.59
ogre-magi,-0.79,51.69
crystal-maiden,-0.79,53.23
weaver,-0.88,54.53
viper,-0.90,53.43
faceless-void,-0.94,57.27
primal-beast,-0.94,56.09
anti-mage,-0.95,54.86
queen-of-pain,-1.02,53.77
juggernaut,-1.05,52.07
broodmother,-1.12,53.42
slardar,-1.12,54.96
bristleback,-1.15,54.69
troll-warlord,-1.37,54.18
oracle,-1.45,51.04
outworld-destroyer,-1.65,52.72
storm-spirit,-1.83,54.57
nyx-assassin,-1.88,53.08
bounty-hunter,-2.13,53.48
ursa,-2.36,56.34
