hero,disadvantage,winrate
lycan,4.04,48.57
broodmother,3.28,49.29
lone-druid,3.28,48.89
spectre,2.83,48.61
tidehunter,2.73,51.77
enchantress,2.46,53.01
arc-warden,2.42,48.07
abaddon,2.42,44.43
naga-siren,2.38,53.37
sniper,2.33,51.68
phantom-lancer,2.31,54.16
wraith-king,2.31,45.32
chen,2.19,57.61
legion-commander,2.07,48.41
morphling,1.90,56.55
night-stalker,1.77,48.58
slark,1.67,51.77
spirit-breaker,1.55,50.81
centaur-warrunner,1.49,48.63
mirana,1.49,55.73
phantom-assassin,1.41,51.12
shadow-fiend,1.30,52.61
tusk,1.27,56.16
natures-prophet,1.25,55.65
terrorblade,1.25,56.44
clockwerk,1.22,49.52
chaos-knight,1.15,52.55
ogre-magi,1.14,50.29
invoker,1.05,54.32
techies,1.05,54.90
dragon-knight,1.04,53.38
razor,1.04,51.58
muerta,1.02,54.62
anti-mage,0.97,53.33
shadow-demon,0.95,52.81
medusa,0.94,47.37
alchemist,0.92,51.96
luna,0.89,49.75
venomancer,0.88,52.73
brewmaster,0.87,52.91
huskar,0.85,54.10
bounty-hunter,0.67,51.07
void-spirit,0.65,50.29
hoodwink,0.61,56.21
ringmaster,0.55,50.20
templar-assassin,0.55,58.67
dark-seer,0.55,52.15
beastmaster,0.54,57.23
dark-willow,0.52,53.30
mars,0.47,55.25
io,0.45,52.82
viper,0.45,52.50
windranger,0.45,52.69
marci,0.42,52.48
underlord,0.31,49.14
disruptor,0.31,52.87
vengeful-spirit,0.30,51.10
rubick,0.28,55.69
kunkka,0.20,51.01
gyrocopter,0.20,55.86
lina,0.16,55.65
winter-wyvern,0.11,53.13
magnus,0.05,54.74
oracle,0.02,50.01
monkey-king,0.00,59.10
tiny,-0.03,55.94
warlock,-0.04,48.36
nyx-assassin,-0.05,51.70
bloodseeker,-0.05,51.53
tinker,-0.06,52.84
zeus,-0.10,52.30
doom,-0.16,57.20
keeper-of-the-light,-0.16,56.27
jakiro,-0.19,52.88
visage,-0.27,51.71
snapfire,-0.30,56.86
clinkz,-0.31,52.66
meepo,-0.31,54.94
crystal-maiden,-0.33,53.18
treant-protector,-0.34,50.85
dazzle,-0.35,55.79
lifestealer,-0.40,52.88
ember-spirit,-0.45,56.48
grimstroke,-0.47,55.49
slardar,-0.49,54.70
troll-warlord,-0.54,53.72
earth-spirit,-0.57,54.76
drow-ranger,-0.58,53.74
pudge,-0.59,52.53
weaver,-0.71,54.72
sven,-0.72,58.55
queen-of-pain,-0.76,53.93
undying,-0.76,51.87
elder-titan,-0.91,53.57
lich,-0.92,49.90
phoenix,-0.93,54.09
juggernaut,-0.97,52.45
riki,-0.99,52.24
batrider,-1.00,61.37
lion,-1.04,54.72
skywrath-mage,-1.13,53.27
earthshaker,-1.13,55.17
omniknight,-1.26,51.45
enigma,-1.32,55.07
pangolier,-1.33,58.51
primal-beast,-1.35,56.86
axe,-1.39,52.22
sand-king,-1.40,51.76
faceless-void,-1.54,58.19
ursa,-1.73,56.03
witch-doctor,-1.75,51.86
outworld-destroyer,-1.77,53.31
storm-spirit,-1.78,54.93
ancient-apparition,-1.85,52.48
leshrac,-1.95,55.34
bristleback,-1.97,55.89
puck,-1.97,56.55
death-prophet,-1.98,56.30
pugna,-2.20,57.35
dawnbreaker,-2.55,55.26
necrophos,-2.57,52.81
shadow-shaman,-2.80,53.26
bane,-2.84,56.16
timbersaw,-4.03,57.12
