hero,disadvantage,winrate
lycan,3.39,47.15
medusa,2.64,43.67
wraith-king,2.43,43.21
abaddon,2.34,42.54
lone-druid,2.27,47.84
chaos-knight,2.18,49.37
oracle,2.17,45.73
broodmother,2.16,48.34
tidehunter,1.99,50.37
templar-assassin,1.96,55.06
dragon-knight,1.92,50.36
sven,1.89,53.61
shadow-demon,1.84,49.77
razor,1.69,48.80
marci,1.61,49.17
night-stalker,1.58,46.70
meepo,1.42,51.03
omniknight,1.37,46.69
bristleback,1.27,50.50
anti-mage,1.26,50.91
spirit-breaker,1.25,49.00
silencer,1.20,46.73
slardar,1.12,50.91
void-spirit,1.09,47.75
dazzle,1.04,52.23
centaur-warrunner,1.04,47.01
vengeful-spirit,1.03,48.27
io,1.02,50.14
tiny,0.91,52.81
huskar,0.91,51.85
mars,0.83,52.75
shadow-shaman,0.82,47.62
batrider,0.78,57.31
tusk,0.78,54.48
pangolier,0.73,54.21
natures-prophet,0.71,53.98
windranger,0.64,50.37
kunkka,0.61,48.51
phantom-assassin,0.60,49.78
naga-siren,0.59,53.08
dark-willow,0.59,51.09
visage,0.59,48.73
mirana,0.59,54.38
beastmaster,0.58,55.03
chen,0.57,57.20
bane,0.52,50.54
riki,0.47,48.64
grimstroke,0.47,52.36
snapfire,0.40,53.96
lina,0.39,53.25
arc-warden,0.36,48.09
warlock,0.34,45.95
enchantress,0.27,53.10
magnus,0.24,52.39
lion,0.20,51.44
dark-seer,0.18,50.40
primal-beast,0.16,53.16
shadow-fiend,0.15,51.60
legion-commander,0.14,48.19
terrorblade,0.12,55.45
ringmaster,0.07,48.59
viper,0.05,50.76
phantom-lancer,0.01,54.32
luna,-0.02,48.52
undying,-0.02,49.03
underlord,-0.02,47.43
sniper,-0.03,51.70
enigma,-0.04,51.53
clinkz,-0.05,50.28
ogre-magi,-0.07,49.36
death-prophet,-0.07,52.14
crystal-maiden,-0.09,50.80
dawnbreaker,-0.10,50.61
invoker,-0.11,53.27
hoodwink,-0.19,54.83
ursa,-0.20,52.36
jakiro,-0.26,50.82
clockwerk,-0.27,48.94
lich,-0.27,47.20
disruptor,-0.30,51.34
drow-ranger,-0.34,51.35
bounty-hunter,-0.34,49.98
troll-warlord,-0.37,51.39
alchemist,-0.42,51.19
pudge,-0.44,50.29
slark,-0.47,51.74
tinker,-0.47,51.15
treant-protector,-0.47,48.90
outworld-destroyer,-0.47,49.87
techies,-0.49,54.28
venomancer,-0.49,51.96
brewmaster,-0.51,52.21
puck,-0.52,52.95
gyrocopter,-0.55,54.41
earthshaker,-0.57,52.48
pugna,-0.60,53.53
morphling,-0.61,56.91
nyx-assassin,-0.62,50.16
spectre,-0.67,50.00
weaver,-0.69,52.54
winter-wyvern,-0.69,51.81
monkey-king,-0.70,57.56
rubick,-0.84,54.57
witch-doctor,-0.85,48.92
axe,-0.86,49.63
ember-spirit,-0.87,54.71
doom,-0.95,55.74
earth-spirit,-1.05,53.12
ancient-apparition,-1.14,49.67
elder-titan,-1.28,51.83
keeper-of-the-light,-1.32,55.27
leshrac,-1.35,52.56
lifestealer,-1.37,51.74
faceless-void,-1.38,55.79
muerta,-1.48,54.99
queen-of-pain,-1.48,52.49
bloodseeker,-1.53,50.93
storm-spirit,-1.54,52.55
zeus,-1.62,51.64
sand-king,-1.88,50.13
phoenix,-2.24,53.30
juggernaut,-2.25,51.57
timbersaw,-2.45,53.41
necrophos,-4.32,52.44
