hero,disadvantage,winrate
tidehunter,3.31,46.99
luna,3.19,43.51
terrorblade,3.13,50.26
batrider,2.73,53.31
phantom-lancer,2.55,49.69
medusa,2.32,42.03
troll-warlord,2.28,46.66
naga-siren,2.22,49.37
muerta,2.10,49.29
arc-warden,1.95,44.51
beastmaster,1.80,51.71
chaos-knight,1.67,47.85
drow-ranger,1.66,47.38
lone-druid,1.53,46.59
mirana,1.45,51.47
juggernaut,1.45,46.03
shadow-shaman,1.42,45.04
phoenix,1.42,47.57
dark-willow,1.37,48.27
windranger,1.31,47.71
tusk,1.26,51.93
doom,1.07,51.65
ogre-magi,1.05,46.28
razor,1.04,47.43
huskar,1.00,49.71
tiny,0.93,50.73
jakiro,0.91,47.67
elder-titan,0.90,47.55
enigma,0.86,48.57
winter-wyvern,0.77,48.29
venomancer,0.73,48.70
techies,0.70,51.01
phantom-assassin,0.70,47.67
zeus,0.69,47.40
hoodwink,0.66,51.92
abaddon,0.65,42.29
silencer,0.65,45.30
slark,0.62,48.64
gyrocopter,0.57,51.22
sniper,0.47,49.22
monkey-king,0.42,54.35
treant-protector,0.39,46.03
crystal-maiden,0.36,48.35
dragon-knight,0.35,49.85
storm-spirit,0.34,48.65
necrophos,0.34,45.86
puck,0.32,50.08
vengeful-spirit,0.30,47.00
magnus,0.29,50.30
lion,0.26,49.35
brewmaster,0.25,49.38
disruptor,0.23,48.77
axe,0.20,46.62
underlord,0.18,45.24
lich,0.17,44.79
enchantress,0.15,51.15
visage,0.13,47.21
grimstroke,0.07,50.71
chen,0.06,55.54
dazzle,0.02,51.18
shadow-demon,-0.03,49.65
night-stalker,-0.03,46.34
queen-of-pain,-0.04,49.07
viper,-0.06,48.84
dark-seer,-0.07,48.63
clockwerk,-0.17,46.84
shadow-fiend,-0.19,49.88
mars,-0.27,51.78
keeper-of-the-light,-0.27,52.17
spirit-breaker,-0.27,48.46
witch-doctor,-0.28,46.37
natures-prophet,-0.29,52.89
sand-king,-0.30,46.61
earthshaker,-0.31,50.19
outworld-destroyer,-0.32,47.70
ringmaster,-0.37,47.02
primal-beast,-0.45,51.74
morphling,-0.45,54.66
legion-commander,-0.50,46.81
bane,-0.51,49.57
meepo,-0.55,50.99
bloodseeker,-0.56,47.91
bristleback,-0.65,50.36
rubick,-0.73,52.42
pangolier,-0.75,53.73
undying,-0.75,47.75
snapfire,-0.79,53.09
templar-assassin,-0.82,55.74
io,-0.83,49.99
dawnbreaker,-0.90,49.40
timbersaw,-0.90,49.83
earth-spirit,-0.97,50.99
death-prophet,-0.98,51.03
ancient-apparition,-1.01,47.52
wraith-king,-1.01,44.59
leshrac,-1.03,50.20
riki,-1.03,48.12
marci,-1.09,49.87
invoker,-1.09,52.15
skywrath-mage,-1.11,49.09
weaver,-1.14,50.94
pugna,-1.21,52.06
lina,-1.23,52.75
kunkka,-1.23,48.34
oracle,-1.26,47.26
alchemist,-1.30,50.05
warlock,-1.32,45.63
omniknight,-1.33,47.43
bounty-hunter,-1.39,48.99
ember-spirit,-1.44,53.22
centaur-warrunner,-1.46,47.48
faceless-void,-1.50,53.84
sven,-1.52,55.01
ursa,-1.62,51.73
void-spirit,-1.67,48.56
pudge,-1.77,49.47
broodmother,-1.78,50.36
tinker,-2.08,50.76
lycan,-2.20,50.88
nyx-assassin,-2.26,49.75
clinkz,-2.37,50.59
spectre,-2.62,49.91
lifestealer,-3.56,51.91
anti-mage,-4.00,53.99
