hero,disadvantage,winrate
disruptor,4.24,45.40
leshrac,3.80,45.91
grimstroke,3.76,47.70
mars,3.04,49.29
elder-titan,2.73,46.35
techies,2.67,49.85
riki,2.51,45.17
night-stalker,2.49,44.38
earthshaker,2.48,48.25
muerta,2.42,49.76
bloodseeker,2.29,45.43
dawnbreaker,2.27,46.85
enigma,2.24,47.89
puck,2.14,49.03
necrophos,2.13,44.65
clockwerk,2.08,45.18
tusk,2.05,52.05
ringmaster,1.96,45.36
lion,1.96,48.52
timbersaw,1.90,47.76
pugna,1.81,49.77
tiny,1.60,50.90
outworld-destroyer,1.52,46.48
crystal-maiden,1.43,47.99
doom,1.43,52.18
sand-king,1.43,45.54
naga-siren,1.34,51.08
invoker,1.33,50.67
omniknight,1.32,45.33
gyrocopter,1.19,51.44
magnus,1.18,50.21
primal-beast,1.12,50.94
shadow-fiend,1.10,49.41
ancient-apparition,1.08,46.05
lone-druid,1.07,47.72
legion-commander,0.79,46.17
snapfire,0.78,52.40
chaos-knight,0.76,49.53
drow-ranger,0.68,49.05
dark-willow,0.65,49.75
beastmaster,0.55,53.90
dark-seer,0.54,48.73
zeus,0.52,48.24
huskar,0.49,51.05
phantom-lancer,0.48,52.66
mirana,0.47,53.35
skywrath-mage,0.41,48.26
visage,0.39,47.62
axe,0.34,47.11
queen-of-pain,0.34,49.44
shadow-demon,0.30,50.07
hoodwink,0.30,53.16
tinker,0.25,49.11
shadow-shaman,0.23,46.79
windranger,0.22,49.48
kunkka,0.21,47.56
natures-prophet,0.17,53.35
broodmother,0.14,49.13
oracle,0.04,46.53
pudge,0.03,48.55
razor,-0.04,49.23
spirit-breaker,-0.06,48.95
monkey-king,-0.18,55.99
nyx-assassin,-0.23,48.43
sven,-0.24,54.71
death-prophet,-0.26,51.09
marci,-0.31,49.82
spectre,-0.36,48.33
ursa,-0.46,51.40
lina,-0.46,52.89
phantom-assassin,-0.47,49.46
vengeful-spirit,-0.47,48.43
centaur-warrunner,-0.48,47.12
clinkz,-0.48,49.41
io,-0.50,50.42
slardar,-0.55,51.36
underlord,-0.57,46.55
alchemist,-0.58,50.07
anti-mage,-0.61,51.49
phoenix,-0.62,50.37
weaver,-0.64,51.26
witch-doctor,-0.66,47.35
luna,-0.66,47.77
lich,-0.68,46.19
morphling,-0.70,55.94
arc-warden,-0.76,47.91
jakiro,-0.76,50.01
viper,-0.82,50.34
void-spirit,-0.82,48.35
keeper-of-the-light,-0.85,53.63
terrorblade,-0.89,55.33
batrider,-0.89,58.04
pangolier,-0.91,54.75
faceless-void,-0.97,54.32
lifestealer,-0.98,50.05
rubick,-1.02,53.57
earth-spirit,-1.05,51.88
enchantress,-1.05,53.23
juggernaut,-1.11,49.13
undying,-1.11,48.78
meepo,-1.18,52.47
lycan,-1.24,50.65
winter-wyvern,-1.34,51.22
warlock,-1.45,46.31
dazzle,-1.50,53.58
sniper,-1.51,51.81
storm-spirit,-1.70,51.45
silencer,-1.70,48.23
treant-protector,-1.79,48.88
venomancer,-1.83,52.06
dragon-knight,-1.83,52.84
brewmaster,-1.84,52.34
templar-assassin,-1.90,57.91
chen,-2.07,58.86
abaddon,-2.17,45.52
ogre-magi,-2.21,50.08
tidehunter,-2.26,53.52
bane,-2.38,52.27
bounty-hunter,-2.50,50.85
troll-warlord,-2.62,52.46
wraith-king,-3.33,47.37
medusa,-3.92,48.82
ember-spirit,-3.94,56.73
bristleback,-4.79,55.35
