hero,disadvantage,winrate
sven,1.47,49.64
windranger,1.25,45.49
weaver,1.21,46.34
templar-assassin,1.19,51.39
faceless-void,1.14,48.92
bounty-hunter,1.04,44.31
huskar,0.89,47.53
lycan,0.88,45.44
lifestealer,0.88,45.17
clinkz,0.85,45.08
outworld-destroyer,0.82,44.27
slardar,0.80,46.91
ursa,0.78,47.05
nyx-assassin,0.76,44.50
mirana,0.68,49.92
bloodseeker,0.65,44.44
puck,0.61,47.50
ogre-magi,0.59,44.44
night-stalker,0.58,43.45
silencer,0.54,43.14
centaur-warrunner,0.51,43.26
phantom-assassin,0.49,45.57
juggernaut,0.47,44.68
dazzle,0.44,48.47
doom,0.38,50.03
enigma,0.37,46.78
bristleback,0.34,47.10
spirit-breaker,0.34,45.59
enchantress,0.31,48.68
morphling,0.30,51.62
batrider,0.30,53.41
keeper-of-the-light,0.27,49.29
void-spirit,0.24,44.33
magnus,0.24,48.06
omniknight,0.23,43.56
zeus,0.20,45.59
bane,0.19,46.58
undying,0.17,44.45
primal-beast,0.16,48.80
anti-mage,0.16,47.65
tinker,0.12,46.23
razor,0.10,46.09
earthshaker,0.09,47.51
brewmaster,0.09,47.26
kunkka,0.07,44.76
witch-doctor,0.04,43.79
earth-spirit,0.03,47.67
ancient-apparition,0.01,44.24
phantom-lancer,-0.01,49.95
viper,-0.01,46.50
chen,-0.02,53.34
dragon-knight,-0.02,47.92
troll-warlord,-0.03,46.73
wraith-king,-0.04,41.38
alchemist,-0.05,46.51
dawnbreaker,-0.06,46.25
axe,-0.06,44.59
chaos-knight,-0.07,47.33
techies,-0.08,49.49
terrorblade,-0.09,51.23
queen-of-pain,-0.09,46.83
lich,-0.10,42.78
mars,-0.10,49.32
gyrocopter,-0.11,49.60
pangolier,-0.12,50.74
legion-commander,-0.15,44.20
storm-spirit,-0.16,46.85
lina,-0.17,49.43
dark-seer,-0.17,46.46
leshrac,-0.17,47.04
timbersaw,-0.18,46.82
disruptor,-0.19,46.91
oracle,-0.21,43.89
phoenix,-0.23,46.82
ember-spirit,-0.25,49.72
crystal-maiden,-0.26,46.66
pudge,-0.26,45.84
rubick,-0.26,49.65
spectre,-0.29,45.33
lion,-0.29,47.56
death-prophet,-0.32,48.05
broodmother,-0.32,46.58
elder-titan,-0.33,46.54
skywrath-mage,-0.34,46.04
meepo,-0.36,48.51
dark-willow,-0.37,47.72
invoker,-0.38,49.17
vengeful-spirit,-0.38,45.37
riki,-0.39,45.25
tiny,-0.40,49.75
shadow-shaman,-0.40,44.53
grimstroke,-0.45,48.94
marci,-0.47,46.95
hoodwink,-0.53,50.77
ringmaster,-0.54,44.89
shadow-demon,-0.55,47.88
natures-prophet,-0.56,50.85
venomancer,-0.56,47.70
drow-ranger,-0.57,47.26
jakiro,-0.62,46.85
shadow-fiend,-0.63,48.01
slark,-0.65,47.60
sniper,-0.69,47.99
winter-wyvern,-0.77,47.56
necrophos,-0.77,44.66
io,-0.85,47.72
pugna,-0.87,49.41
treant-protector,-0.88,45.01
monkey-king,-0.88,53.32
visage,-0.88,45.93
tidehunter,-0.91,48.96
tusk,-0.92,51.80
abaddon,-0.92,41.57
luna,-1.01,45.18
medusa,-1.02,43.08
sand-king,-1.02,45.02
muerta,-1.18,50.32
naga-siren,-1.25,50.61
lone-druid,-1.33,47.17
warlock,-1.48,43.51
beastmaster,-1.51,52.80
clockwerk,-1.53,45.92
underlord,-1.72,44.84
arc-warden,-2.03,46.26
