hero,disadvantage,winrate
morphling,3.49,51.74
primal-beast,2.52,49.12
pudge,2.48,45.41
earth-spirit,2.44,47.65
chen,2.43,54.55
storm-spirit,2.37,46.44
meepo,2.10,48.54
mars,1.89,50.20
spectre,1.89,44.62
enchantress,1.73,50.09
centaur-warrunner,1.71,43.63
lycan,1.50,47.02
mirana,1.44,52.45
nyx-assassin,1.38,45.87
natures-prophet,1.36,52.17
batrider,1.25,56.31
pangolier,1.21,52.52
slark,1.21,48.19
timbersaw,1.17,47.87
snapfire,1.13,52.01
phantom-lancer,1.04,51.99
clockwerk,0.95,45.27
tusk,0.95,53.27
weaver,0.92,49.20
ursa,0.92,49.56
axe,0.92,45.56
spirit-breaker,0.82,47.30
tiny,0.80,51.59
phantom-assassin,0.79,47.52
chaos-knight,0.69,49.10
techies,0.68,51.80
zeus,0.67,47.26
brewmaster,0.66,49.24
doom,0.64,53.00
void-spirit,0.62,45.78
faceless-void,0.55,52.78
magnus,0.53,50.56
queen-of-pain,0.48,48.71
sven,0.42,54.25
hoodwink,0.35,53.19
naga-siren,0.27,52.05
invoker,0.26,51.54
terrorblade,0.24,54.36
rubick,0.23,52.30
anti-mage,0.22,50.29
dragon-knight,0.20,50.46
dark-seer,0.19,48.46
arc-warden,0.18,45.87
dazzle,0.14,51.75
shadow-demon,0.10,49.85
muerta,0.02,52.19
monkey-king,0.00,56.21
keeper-of-the-light,-0.02,52.74
dark-willow,-0.08,50.08
gyrocopter,-0.11,52.72
bane,-0.18,49.46
windranger,-0.22,49.39
ember-spirit,-0.22,52.87
ogre-magi,-0.23,47.30
lifestealer,-0.28,48.72
troll-warlord,-0.30,49.53
slardar,-0.30,50.76
skywrath-mage,-0.32,48.30
bloodseeker,-0.34,47.56
kunkka,-0.38,47.33
templar-assassin,-0.44,56.89
razor,-0.46,49.06
bounty-hunter,-0.47,48.03
omniknight,-0.49,46.25
juggernaut,-0.51,47.78
alchemist,-0.51,49.47
vengeful-spirit,-0.53,47.68
legion-commander,-0.54,46.49
beastmaster,-0.54,55.32
marci,-0.55,49.54
phoenix,-0.57,49.83
tinker,-0.59,49.43
ringmaster,-0.61,47.00
lion,-0.61,50.53
clinkz,-0.63,48.91
grimstroke,-0.64,52.12
io,-0.64,50.12
broodmother,-0.68,49.43
outworld-destroyer,-0.68,47.98
puck,-0.69,51.65
lina,-0.73,53.17
viper,-0.76,49.76
tidehunter,-0.81,51.75
ancient-apparition,-0.90,47.12
elder-titan,-0.92,49.65
treant-protector,-0.96,47.12
pugna,-0.97,52.55
winter-wyvern,-0.98,50.40
crystal-maiden,-1.00,49.90
death-prophet,-1.01,51.61
jakiro,-1.02,49.74
visage,-1.05,48.36
dawnbreaker,-1.06,49.78
oracle,-1.06,46.68
huskar,-1.10,52.56
lone-druid,-1.12,49.40
lich,-1.14,45.47
leshrac,-1.16,50.70
drow-ranger,-1.18,50.47
riki,-1.20,48.16
night-stalker,-1.21,47.26
undying,-1.22,48.08
venomancer,-1.22,51.09
bristleback,-1.33,51.55
shadow-fiend,-1.38,51.50
shadow-shaman,-1.42,47.54
wraith-king,-1.44,44.16
earthshaker,-1.48,51.86
luna,-1.59,47.84
abaddon,-1.61,43.53
witch-doctor,-1.74,47.47
enigma,-1.77,51.74
disruptor,-1.79,51.22
sand-king,-2.10,48.17
underlord,-2.14,47.20
warlock,-2.17,45.76
necrophos,-2.31,48.28
silencer,-2.65,48.31
medusa,-3.73,47.66
sniper,0,50
