hero,disadvantage,winrate
meepo,4.71,48.29
lone-druid,4.12,46.61
undying,4.05,45.58
beastmaster,3.93,52.29
necrophos,3.82,45.03
abaddon,3.68,41.76
ember-spirit,3.54,50.96
enchantress,2.93,51.07
lifestealer,2.91,48.07
underlord,2.87,45.11
oracle,2.75,45.78
slardar,2.63,50.09
io,2.61,49.17
tinker,2.55,48.73
viper,2.53,48.96
dawnbreaker,2.49,48.63
lycan,2.48,48.77
omniknight,2.42,46.26
chen,2.33,56.08
warlock,1.96,44.93
earth-spirit,1.91,50.78
juggernaut,1.84,48.31
morphling,1.83,55.22
tidehunter,1.79,51.27
witch-doctor,1.78,47.03
venomancer,1.77,50.37
dazzle,1.76,52.22
brewmaster,1.70,50.61
dark-seer,1.50,49.72
primal-beast,1.46,52.54
keeper-of-the-light,1.43,53.16
pudge,1.32,49.35
pangolier,1.32,54.35
phoenix,1.24,50.44
alchemist,1.11,50.34
sven,1.07,55.20
jakiro,1.07,50.20
leshrac,1.04,50.80
treant-protector,0.98,48.08
crystal-maiden,0.96,50.46
centaur-warrunner,0.95,47.73
invoker,0.90,53.03
marci,0.83,50.65
queen-of-pain,0.82,50.95
wraith-king,0.80,45.38
void-spirit,0.79,48.72
death-prophet,0.76,51.98
lina,0.73,53.65
visage,0.72,49.27
anti-mage,0.71,52.14
pugna,0.69,52.89
skywrath-mage,0.67,50.00
weaver,0.63,51.94
sand-king,0.60,48.38
tusk,0.57,55.45
ringmaster,0.56,48.76
naga-siren,0.56,53.80
phantom-lancer,0.54,54.52
timbersaw,0.54,51.12
bristleback,0.53,51.93
terrorblade,0.51,55.76
broodmother,0.47,50.76
medusa,0.45,46.44
snapfire,0.44,54.67
shadow-fiend,0.42,52.04
bounty-hunter,0.39,49.91
kunkka,0.38,49.40
disruptor,0.37,51.36
clockwerk,0.37,48.95
magnus,0.35,53.01
slark,0.32,51.67
elder-titan,0.31,50.87
troll-warlord,0.29,51.41
batrider,0.28,58.60
legion-commander,0.28,48.71
monkey-king,0.24,57.42
huskar,0.24,53.25
shadow-demon,0.19,52.16
ogre-magi,0.18,49.78
storm-spirit,0.16,51.55
bloodseeker,0.15,49.88
outworld-destroyer,0.13,49.92
hoodwink,-0.13,55.51
phantom-assassin,-0.17,51.18
dark-willow,-0.23,52.62
rubick,-0.24,54.75
dragon-knight,-0.28,53.25
gyrocopter,-0.35,54.96
grimstroke,-0.36,53.93
chaos-knight,-0.38,52.68
techies,-0.41,54.93
lich,-0.42,47.98
arc-warden,-0.51,49.66
razor,-0.53,51.72
tiny,-0.56,55.03
vengeful-spirit,-0.76,50.73
doom,-0.77,56.37
lion,-0.83,53.09
night-stalker,-0.86,49.82
mirana,-0.96,56.70
mars,-1.03,55.35
luna,-1.24,50.35
ursa,-1.27,54.16
earthshaker,-1.30,53.89
winter-wyvern,-1.31,53.16
nyx-assassin,-1.34,51.55
ancient-apparition,-1.59,50.78
faceless-void,-1.60,56.81
zeus,-1.68,52.39
spirit-breaker,-1.68,52.56
windranger,-1.74,53.35
enigma,-1.78,54.01
muerta,-1.86,56.16
templar-assassin,-1.89,59.71
puck,-1.89,55.05
axe,-2.34,51.71
shadow-shaman,-2.37,51.39
bane,-2.44,54.30
drow-ranger,-2.57,54.27
clinkz,-2.70,53.67
silencer,-2.84,51.40
natures-prophet,-3.04,58.49
riki,-3.24,53.09
sniper,-3.40,55.37
