hero,disadvantage,winrate
underlord,3.25,43.70
meepo,2.68,49.53
necrophos,2.55,45.29
clockwerk,2.28,46.05
tiny,2.13,51.49
morphling,1.95,54.40
lone-druid,1.94,47.91
mars,1.83,51.64
naga-siren,1.73,51.79
tusk,1.71,53.52
enchantress,1.64,51.56
spectre,1.62,47.43
tidehunter,1.46,50.75
beastmaster,1.38,54.18
venomancer,1.36,49.91
jakiro,1.34,49.03
timbersaw,1.34,49.43
dark-willow,1.33,50.15
sand-king,1.30,46.74
dawnbreaker,1.24,49.01
crystal-maiden,1.19,49.33
chaos-knight,1.17,50.22
lich,1.10,45.46
chen,1.07,56.72
ember-spirit,1.06,52.67
phantom-lancer,1.05,53.23
disruptor,0.99,49.83
wraith-king,0.98,44.14
oracle,0.97,46.64
techies,0.86,52.85
invoker,0.80,52.30
enigma,0.76,50.53
monkey-king,0.70,56.25
leshrac,0.69,50.28
witch-doctor,0.68,47.13
primal-beast,0.64,52.55
omniknight,0.63,47.14
treant-protector,0.63,47.48
dark-seer,0.56,49.80
winter-wyvern,0.55,50.34
faceless-void,0.55,53.87
ogre-magi,0.48,48.55
centaur-warrunner,0.44,47.28
templar-assassin,0.44,56.68
queen-of-pain,0.41,50.47
razor,0.38,49.89
dazzle,0.38,52.79
viper,0.38,50.22
slardar,0.36,51.54
brewmaster,0.36,51.15
puck,0.34,51.98
terrorblade,0.33,55.27
pudge,0.32,49.36
visage,0.30,48.78
io,0.30,50.69
shadow-demon,0.29,51.19
ringmaster,0.28,48.10
phoenix,0.27,50.56
warlock,0.26,45.62
lion,0.17,51.30
sven,0.17,55.43
tinker,0.15,50.31
grimstroke,0.14,52.58
dragon-knight,0.13,51.98
troll-warlord,0.12,50.71
alchemist,0.11,50.46
weaver,0.11,51.61
gyrocopter,0.11,53.70
kunkka,0.10,48.75
outworld-destroyer,0.07,49.06
ursa,0.07,51.97
slark,0.07,51.05
abaddon,0.04,44.41
zeus,0.02,49.82
undying,0.00,48.72
muerta,-0.02,53.44
doom,-0.05,54.82
arc-warden,-0.06,48.24
snapfire,-0.08,54.41
earth-spirit,-0.12,52.02
rubick,-0.13,53.83
earthshaker,-0.20,51.99
huskar,-0.21,52.90
vengeful-spirit,-0.25,49.29
luna,-0.28,48.49
medusa,-0.31,46.22
batrider,-0.35,58.59
magnus,-0.36,52.89
void-spirit,-0.36,48.96
nyx-assassin,-0.39,49.68
shadow-shaman,-0.40,48.50
mirana,-0.42,55.36
riki,-0.48,49.35
storm-spirit,-0.49,51.33
drow-ranger,-0.66,51.49
clinkz,-0.71,50.74
natures-prophet,-0.71,55.39
marci,-0.72,51.35
axe,-0.74,49.24
death-prophet,-0.75,52.73
bloodseeker,-0.82,49.95
pangolier,-0.94,55.89
phantom-assassin,-0.94,51.01
bounty-hunter,-0.99,50.40
anti-mage,-1.00,52.99
bristleback,-1.04,52.67
lina,-1.04,54.58
lifestealer,-1.11,51.30
skywrath-mage,-1.20,51.00
keeper-of-the-light,-1.21,55.13
sniper,-1.27,52.69
hoodwink,-1.28,55.91
ancient-apparition,-1.40,49.66
windranger,-1.46,52.22
pugna,-1.57,54.42
shadow-fiend,-1.57,53.11
silencer,-1.57,49.19
juggernaut,-1.58,50.70
bane,-1.81,52.79
lycan,-1.94,52.50
night-stalker,-2.01,50.09
legion-commander,-2.02,49.99
elder-titan,-2.08,52.49
broodmother,-2.93,53.42
