hero,disadvantage,winrate
meepo,4.93,46.37
anti-mage,4.55,46.65
lone-druid,3.95,45.11
riki,3.70,44.37
pugna,3.14,48.66
oracle,2.82,44.04
ember-spirit,2.59,50.23
troll-warlord,2.18,47.78
puck,2.06,49.40
night-stalker,2.03,45.25
shadow-shaman,2.02,45.43
grimstroke,2.00,49.78
silencer,1.87,45.07
slark,1.74,48.55
omniknight,1.72,45.31
lion,1.69,49.05
tidehunter,1.68,49.66
dazzle,1.68,50.57
beastmaster,1.59,52.99
enigma,1.57,48.87
crystal-maiden,1.56,48.18
skywrath-mage,1.53,47.45
huskar,1.43,50.32
axe,1.42,46.45
arc-warden,1.41,46.02
io,1.33,48.80
legion-commander,1.29,46.07
shadow-fiend,1.23,49.56
abaddon,1.15,42.68
disruptor,1.05,48.97
tiny,0.91,51.80
tinker,0.90,48.72
death-prophet,0.88,50.15
medusa,0.85,44.44
nyx-assassin,0.78,47.76
bane,0.78,49.27
lycan,0.77,48.85
marci,0.73,49.05
muerta,0.71,51.75
naga-siren,0.71,51.94
treant-protector,0.69,46.71
dragon-knight,0.61,50.64
dark-willow,0.58,50.08
spirit-breaker,0.55,48.67
underlord,0.53,45.84
leshrac,0.47,49.69
earthshaker,0.47,50.47
morphling,0.40,54.93
clinkz,0.35,48.86
ringmaster,0.34,47.31
centaur-warrunner,0.31,46.70
windranger,0.31,49.68
chaos-knight,0.30,50.27
wraith-king,0.29,44.27
templar-assassin,0.29,55.68
sven,0.28,54.24
witch-doctor,0.26,46.84
dawnbreaker,0.25,49.25
broodmother,0.25,49.30
tusk,0.25,54.03
snapfire,0.22,53.15
luna,0.22,47.29
hoodwink,0.21,53.43
dark-seer,0.16,49.41
void-spirit,0.15,47.69
invoker,0.14,52.03
terrorblade,0.13,54.40
shadow-demon,0.13,50.52
earth-spirit,0.10,50.94
necrophos,0.08,47.08
faceless-void,0.07,53.36
lina,0.05,52.58
queen-of-pain,-0.01,50.05
gyrocopter,-0.02,52.87
weaver,-0.10,50.95
techies,-0.11,52.88
spectre,-0.12,48.43
mirana,-0.13,54.10
doom,-0.15,53.97
magnus,-0.16,51.80
winter-wyvern,-0.26,50.35
lich,-0.26,46.17
alchemist,-0.28,50.04
kunkka,-0.30,48.41
slardar,-0.32,51.35
visage,-0.38,48.71
monkey-king,-0.45,56.33
vengeful-spirit,-0.52,48.80
viper,-0.54,50.33
primal-beast,-0.58,52.91
ursa,-0.65,51.80
undying,-0.71,48.71
jakiro,-0.78,50.31
enchantress,-0.81,53.17
ogre-magi,-0.82,49.06
natures-prophet,-0.83,54.50
chen,-0.90,57.69
phantom-assassin,-0.94,50.20
brewmaster,-1.06,51.77
rubick,-1.06,53.77
pudge,-1.08,49.85
pangolier,-1.13,55.16
lifestealer,-1.19,50.55
bounty-hunter,-1.21,49.84
batrider,-1.27,58.46
phoenix,-1.33,51.37
sand-king,-1.46,48.71
outworld-destroyer,-1.47,49.86
drow-ranger,-1.56,51.54
juggernaut,-1.57,49.90
timbersaw,-1.65,51.60
phantom-lancer,-1.73,55.06
mars,-1.76,54.34
warlock,-1.85,47.12
venomancer,-2.01,52.48
razor,-2.04,51.53
elder-titan,-2.09,51.66
bristleback,-2.38,53.12
clockwerk,-2.56,50.23
keeper-of-the-light,-2.74,55.74
zeus,-2.77,51.74
bloodseeker,-2.80,51.22
sniper,-3.26,53.55
ancient-apparition,-3.33,50.84
