hero,disadvantage,winrate
troll-warlord,3.11,42.56
bristleback,2.57,43.92
templar-assassin,2.26,49.16
enchantress,1.98,45.96
slardar,1.70,44.99
wraith-king,1.59,38.98
shadow-shaman,1.43,41.84
huskar,1.38,45.99
silencer,1.33,41.45
dragon-knight,1.31,45.61
ogre-magi,1.21,42.91
crystal-maiden,1.11,44.34
monkey-king,1.09,50.22
faceless-void,1.03,47.94
doom,1.02,48.30
phantom-assassin,0.95,44.17
alchemist,0.93,44.55
muerta,0.89,47.15
techies,0.87,47.47
batrider,0.84,51.68
witch-doctor,0.76,42.20
weaver,0.75,45.76
dark-willow,0.73,45.61
slark,0.67,45.29
razor,0.66,44.53
sniper,0.66,45.74
rubick,0.65,47.75
vengeful-spirit,0.64,43.43
treant-protector,0.62,42.60
necrophos,0.62,42.38
undying,0.62,43.16
natures-prophet,0.56,48.65
jakiro,0.55,44.74
clinkz,0.53,44.40
lifestealer,0.53,44.53
lich,0.47,41.33
terrorblade,0.46,49.55
viper,0.40,45.09
spirit-breaker,0.37,44.57
dazzle,0.34,47.50
venomancer,0.32,45.79
riki,0.29,43.59
winter-wyvern,0.22,45.54
legion-commander,0.22,42.92
bounty-hunter,0.22,44.15
ursa,0.21,46.57
mirana,0.21,49.27
kunkka,0.20,43.68
enigma,0.16,45.97
lion,0.13,46.15
phoenix,0.13,45.58
outworld-destroyer,0.11,44.03
gyrocopter,0.10,48.30
disruptor,0.03,45.68
clockwerk,-0.02,43.47
marci,-0.04,45.53
storm-spirit,-0.08,45.76
bloodseeker,-0.11,44.20
medusa,-0.13,41.32
timbersaw,-0.14,45.78
hoodwink,-0.15,49.30
axe,-0.19,43.75
sand-king,-0.21,43.31
ancient-apparition,-0.27,43.56
windranger,-0.28,45.93
earthshaker,-0.29,46.83
tiny,-0.31,48.57
luna,-0.32,43.59
beastmaster,-0.32,50.43
queen-of-pain,-0.36,46.08
grimstroke,-0.46,47.89
magnus,-0.48,47.73
invoker,-0.49,48.22
juggernaut,-0.50,44.62
night-stalker,-0.51,43.60
shadow-fiend,-0.54,46.89
morphling,-0.57,51.33
bane,-0.58,46.33
drow-ranger,-0.59,46.25
zeus,-0.61,45.37
spectre,-0.72,44.78
mars,-0.73,48.86
dawnbreaker,-0.80,46.01
tusk,-0.89,50.63
lina,-0.91,49.05
pudge,-0.98,45.48
underlord,-1.05,43.27
nyx-assassin,-1.14,45.38
ringmaster,-1.17,44.55
omniknight,-1.19,44.08
chaos-knight,-1.20,47.37
death-prophet,-1.22,47.91
warlock,-1.27,42.41
pangolier,-1.29,50.79
oracle,-1.30,44.08
lone-druid,-1.35,46.20
arc-warden,-1.36,44.63
abaddon,-1.38,41.18
dark-seer,-1.40,46.69
naga-siren,-1.40,49.67
tidehunter,-1.43,48.40
ember-spirit,-1.44,49.81
snapfire,-1.48,50.36
pugna,-1.51,48.98
visage,-1.54,45.64
leshrac,-1.57,47.42
primal-beast,-1.70,49.59
skywrath-mage,-1.72,46.39
puck,-1.78,48.80
shadow-demon,-1.89,48.18
centaur-warrunner,-1.99,44.77
keeper-of-the-light,-2.01,50.50
chen,-2.25,54.44
earth-spirit,-2.25,48.93
io,-2.30,48.15
anti-mage,-2.35,49.02
tinker,-2.37,47.72
elder-titan,-2.57,47.80
void-spirit,-2.62,46.24
lycan,-2.63,47.99
broodmother,-2.76,48.02
brewmaster,-2.83,49.19
phantom-lancer,-3.23,52.07
meepo,-5.36,52.51
