hero,disadvantage,winrate
medusa,2.23,40.33
templar-assassin,2.23,50.99
bristleback,1.87,46.14
lifestealer,1.74,44.81
juggernaut,1.72,44.00
leshrac,1.69,45.68
wraith-king,1.47,40.37
jakiro,1.04,45.78
timbersaw,1.00,46.21
tidehunter,0.99,47.60
mars,0.88,48.93
brewmaster,0.79,47.08
magnus,0.70,48.17
dazzle,0.68,48.81
rubick,0.65,49.40
kunkka,0.64,44.72
warlock,0.63,41.90
primal-beast,0.59,48.95
outworld-destroyer,0.57,45.06
pugna,0.57,48.53
pudge,0.56,45.63
dragon-knight,0.56,47.93
necrophos,0.56,43.87
void-spirit,0.54,44.55
batrider,0.53,53.83
underlord,0.52,43.13
spectre,0.51,45.07
undying,0.51,44.72
skywrath-mage,0.50,45.72
lion,0.49,47.40
grimstroke,0.45,48.60
zeus,0.44,45.88
lich,0.44,42.74
oracle,0.44,43.72
tiny,0.43,49.51
enigma,0.40,47.29
queen-of-pain,0.34,46.97
lina,0.34,49.53
centaur-warrunner,0.32,43.97
faceless-void,0.28,50.37
visage,0.25,45.30
chen,0.19,53.82
witch-doctor,0.18,44.17
bane,0.17,47.14
disruptor,0.13,47.14
storm-spirit,0.12,47.12
gyrocopter,0.11,49.97
drow-ranger,0.10,47.15
vengeful-spirit,0.10,45.43
snapfire,0.09,50.51
mirana,0.09,51.11
phoenix,0.07,47.19
ancient-apparition,0.05,44.70
death-prophet,0.03,48.26
luna,0.02,44.74
pangolier,0.00,51.21
invoker,-0.02,49.40
natures-prophet,-0.12,51.02
omniknight,-0.13,44.46
axe,-0.14,45.18
doom,-0.16,51.17
crystal-maiden,-0.16,47.11
shadow-shaman,-0.20,44.84
nyx-assassin,-0.21,45.98
tinker,-0.22,47.11
hoodwink,-0.22,51.08
clockwerk,-0.27,45.19
keeper-of-the-light,-0.29,50.45
anti-mage,-0.29,48.64
shadow-demon,-0.30,48.19
tusk,-0.31,51.80
sniper,-0.31,48.19
beastmaster,-0.34,52.21
dawnbreaker,-0.38,47.13
ursa,-0.44,48.83
muerta,-0.46,50.18
puck,-0.48,49.15
earth-spirit,-0.51,48.79
ringmaster,-0.52,45.41
sand-king,-0.55,45.10
bounty-hunter,-0.58,46.45
alchemist,-0.59,47.60
huskar,-0.62,49.63
lycan,-0.65,47.55
treant-protector,-0.66,45.31
enchantress,-0.69,50.28
venomancer,-0.69,48.38
slardar,-0.71,48.99
dark-seer,-0.71,47.56
winter-wyvern,-0.72,48.06
spirit-breaker,-0.72,47.15
weaver,-0.72,48.81
shadow-fiend,-0.73,48.65
ogre-magi,-0.75,46.24
sven,-0.76,52.53
bloodseeker,-0.81,46.44
viper,-0.85,47.88
earthshaker,-0.86,48.98
abaddon,-0.90,42.03
silencer,-0.94,45.10
morphling,-0.94,53.49
troll-warlord,-1.08,48.34
phantom-assassin,-1.11,47.60
razor,-1.12,47.87
dark-willow,-1.19,49.11
clinkz,-1.27,47.74
night-stalker,-1.27,45.84
legion-commander,-1.30,45.81
ember-spirit,-1.33,51.40
monkey-king,-1.34,54.41
io,-1.37,48.80
chaos-knight,-1.40,49.24
arc-warden,-1.40,46.09
elder-titan,-1.41,48.20
broodmother,-1.49,48.31
phantom-lancer,-1.53,52.11
windranger,-1.53,48.68
riki,-1.60,46.97
naga-siren,-1.94,51.92
terrorblade,-1.98,53.84
marci,-2.15,49.21
lone-druid,-2.29,48.70
slark,-2.68,50.15
meepo,-3.28,52.11
