hero,disadvantage,winrate
phantom-lancer,4.50,42.93
batrider,3.75,47.31
leshrac,3.48,40.93
phoenix,3.26,41.04
troll-warlord,3.12,41.13
chaos-knight,2.69,42.13
terrorblade,2.69,45.88
slark,2.54,42.08
spectre,2.46,40.28
arc-warden,2.37,39.43
naga-siren,2.27,44.54
sand-king,2.17,39.62
sniper,2.02,43.11
viper,1.96,42.15
venomancer,1.95,42.78
pugna,1.87,44.18
medusa,1.81,38.00
clinkz,1.73,41.78
dragon-knight,1.73,43.79
shadow-shaman,1.64,40.21
treant-protector,1.57,40.24
riki,1.56,40.91
dark-seer,1.53,42.32
meepo,1.45,44.18
crystal-maiden,1.39,42.65
drow-ranger,1.30,43.02
jakiro,1.28,42.62
pudge,1.27,42.08
alchemist,1.17,42.87
ogre-magi,1.16,41.52
axe,1.13,41.12
necrophos,1.12,40.47
dark-willow,1.07,43.85
slardar,1.03,44.23
bristleback,0.87,44.14
mars,0.82,45.92
bounty-hunter,0.76,42.20
faceless-void,0.70,46.85
morphling,0.70,48.65
enchantress,0.68,45.83
monkey-king,0.62,49.26
primal-beast,0.60,45.87
razor,0.57,43.22
wraith-king,0.57,38.52
dawnbreaker,0.49,43.29
underlord,0.44,40.39
dazzle,0.41,46.01
undying,0.35,42.00
hoodwink,0.28,47.46
io,0.23,44.17
chen,0.23,50.50
visage,0.22,42.42
lich,0.22,40.15
lycan,0.22,43.70
bloodseeker,0.19,42.50
winter-wyvern,0.19,44.15
spirit-breaker,0.19,43.33
bane,0.19,44.14
vengeful-spirit,0.10,42.53
enigma,0.09,44.61
tinker,0.04,43.89
luna,0.03,41.84
brewmaster,0.01,44.89
tidehunter,0.01,45.56
tiny,0.00,46.84
silencer,-0.01,41.33
windranger,-0.02,44.27
gyrocopter,-0.02,47.00
huskar,-0.05,45.99
storm-spirit,-0.06,44.33
doom,-0.17,48.06
clockwerk,-0.18,42.21
muerta,-0.19,46.82
warlock,-0.27,40.01
broodmother,-0.28,44.10
ringmaster,-0.32,42.33
kunkka,-0.34,42.79
earth-spirit,-0.38,45.62
witch-doctor,-0.56,42.00
magnus,-0.59,46.41
mirana,-0.61,48.67
weaver,-0.62,45.69
death-prophet,-0.65,45.92
lone-druid,-0.69,44.12
phantom-assassin,-0.74,44.29
zeus,-0.76,44.09
natures-prophet,-0.79,48.54
beastmaster,-0.81,49.51
abaddon,-0.87,39.25
tusk,-0.87,49.19
shadow-demon,-0.93,45.82
lion,-0.96,45.70
disruptor,-1.05,45.33
keeper-of-the-light,-1.12,48.18
grimstroke,-1.13,47.13
snapfire,-1.15,48.61
void-spirit,-1.25,43.45
shadow-fiend,-1.30,46.10
lifestealer,-1.30,44.91
pangolier,-1.37,49.46
marci,-1.39,45.43
legion-commander,-1.42,43.02
omniknight,-1.49,42.94
juggernaut,-1.63,44.27
ancient-apparition,-1.64,43.49
invoker,-1.66,47.82
skywrath-mage,-1.69,44.94
centaur-warrunner,-1.76,43.13
puck,-1.79,47.38
night-stalker,-1.87,43.52
nyx-assassin,-1.89,44.68
earthshaker,-1.93,46.93
elder-titan,-1.94,45.75
anti-mage,-1.94,47.20
ursa,-1.96,47.25
queen-of-pain,-1.97,46.19
ember-spirit,-2.07,49.02
timbersaw,-2.17,46.33
techies,-2.20,49.03
sven,-2.27,50.86
rubick,-2.38,49.09
lina,-2.47,49.08
oracle,-2.64,43.97
outworld-destroyer,-3.66,46.35
templar-assassin,0,50
