hero,disadvantage,winrate
axe,4.68,39.30
warlock,4.13,37.25
sand-king,3.52,39.83
phantom-lancer,3.51,45.37
brewmaster,2.69,43.64
lich,2.44,39.52
windranger,2.30,43.56
legion-commander,2.25,41.10
earthshaker,2.20,44.55
techies,2.20,46.19
jakiro,2.03,43.38
lina,2.02,46.30
timbersaw,1.85,43.91
underlord,1.70,40.65
primal-beast,1.58,46.33
witch-doctor,1.55,41.54
winter-wyvern,1.55,44.27
crystal-maiden,1.49,44.03
bristleback,1.40,45.08
slark,1.39,44.65
leshrac,1.34,44.55
puck,1.31,45.82
gyrocopter,0.92,47.50
sniper,0.83,45.63
lion,0.79,45.60
necrophos,0.72,42.36
ember-spirit,0.69,47.71
phoenix,0.67,45.08
queen-of-pain,0.60,45.21
mirana,0.53,48.99
troll-warlord,0.50,45.22
tiny,0.47,47.81
phantom-assassin,0.47,44.67
ringmaster,0.45,43.07
zeus,0.37,44.49
pangolier,0.37,49.12
juggernaut,0.30,43.93
dazzle,0.28,47.57
spirit-breaker,0.25,44.74
skywrath-mage,0.22,44.56
centaur-warrunner,0.18,42.74
kunkka,0.17,43.78
hoodwink,0.17,48.97
storm-spirit,0.16,45.57
snapfire,0.15,48.76
drow-ranger,0.10,45.63
ancient-apparition,0.08,43.29
enchantress,0.07,47.86
rubick,0.01,48.35
dark-seer,-0.03,45.36
magnus,-0.05,47.32
arc-warden,-0.07,43.37
undying,-0.08,43.91
spectre,-0.10,44.24
keeper-of-the-light,-0.12,48.60
bounty-hunter,-0.12,44.55
lifestealer,-0.12,45.23
tinker,-0.14,45.53
beastmaster,-0.15,50.24
naga-siren,-0.15,48.41
dawnbreaker,-0.19,45.44
treant-protector,-0.19,43.47
enigma,-0.23,46.38
dark-willow,-0.25,46.60
omniknight,-0.32,43.27
muerta,-0.34,48.40
monkey-king,-0.40,51.63
luna,-0.41,43.75
grimstroke,-0.42,47.86
mars,-0.44,48.59
sven,-0.48,50.46
faceless-void,-0.49,49.43
disruptor,-0.53,46.28
chaos-knight,-0.57,46.83
weaver,-0.57,47.08
alchemist,-0.57,46.07
pugna,-0.58,48.07
venomancer,-0.65,46.79
doom,-0.70,50.00
silencer,-0.74,43.53
ogre-magi,-0.78,44.83
nyx-assassin,-0.82,45.13
abaddon,-0.84,40.75
razor,-0.87,46.10
tidehunter,-0.90,47.90
shadow-demon,-0.91,47.24
outworld-destroyer,-0.93,45.11
earth-spirit,-0.95,47.64
pudge,-0.98,45.53
vengeful-spirit,-1.12,45.19
medusa,-1.13,42.38
natures-prophet,-1.17,50.30
tusk,-1.17,50.89
invoker,-1.19,48.84
morphling,-1.19,51.89
dragon-knight,-1.24,48.08
riki,-1.28,45.20
io,-1.31,47.17
batrider,-1.49,53.99
shadow-shaman,-1.57,44.76
clockwerk,-1.57,45.06
bloodseeker,-1.61,45.77
death-prophet,-1.62,48.34
huskar,-1.65,49.00
marci,-1.71,47.20
oracle,-1.75,44.57
shadow-fiend,-1.77,48.01
void-spirit,-1.82,45.50
ursa,-1.96,48.71
meepo,-2.04,49.15
wraith-king,-2.07,42.56
elder-titan,-2.26,47.52
lone-druid,-2.36,47.23
anti-mage,-2.70,49.33
templar-assassin,-2.79,54.14
clinkz,-2.99,47.92
slardar,-3.13,49.76
visage,-3.23,47.35
viper,-4.03,49.41
bane,-4.10,49.88
chen,-4.28,56.44
night-stalker,-4.29,47.38
broodmother,-4.46,49.74
lycan,-4.47,49.86
