hero,disadvantage,winrate
chen,6.32,48.76
leshrac,3.63,45.18
pugna,3.36,47.11
elder-titan,3.23,44.91
razor,2.93,45.28
death-prophet,2.75,46.92
juggernaut,2.70,44.59
slark,2.56,46.48
outworld-destroyer,2.33,44.79
pangolier,2.32,50.18
timbersaw,2.09,46.59
bristleback,1.98,47.48
clockwerk,1.86,44.57
ursa,1.85,47.97
bloodseeker,1.80,45.26
necrophos,1.80,44.19
muerta,1.80,49.25
tinker,1.69,46.65
witch-doctor,1.69,44.29
huskar,1.52,48.87
sven,1.45,51.60
brewmaster,1.43,47.86
dark-seer,1.37,46.88
grimstroke,1.35,49.08
beastmaster,1.35,51.78
clinkz,1.34,46.57
weaver,1.33,48.20
monkey-king,1.32,53.05
sniper,1.23,48.23
anti-mage,1.18,48.61
io,1.04,47.79
terrorblade,0.93,52.11
alchemist,0.90,47.56
snapfire,0.90,51.04
omniknight,0.84,45.01
dawnbreaker,0.82,47.37
tusk,0.80,52.01
lich,0.74,44.02
shadow-fiend,0.73,48.70
underlord,0.72,44.46
undying,0.71,46.03
primal-beast,0.68,50.23
rubick,0.65,50.77
natures-prophet,0.61,51.63
enchantress,0.60,50.35
mirana,0.50,52.02
disruptor,0.42,48.28
venomancer,0.37,48.74
legion-commander,0.35,45.76
viper,0.30,48.18
hoodwink,0.27,51.93
abaddon,0.25,42.50
luna,0.20,46.06
morphling,0.18,53.63
ringmaster,0.17,46.24
doom,0.17,52.18
nyx-assassin,0.16,47.09
meepo,0.16,49.93
night-stalker,0.12,45.94
mars,0.11,51.06
lifestealer,0.06,47.99
kunkka,0.05,46.81
templar-assassin,0.03,54.44
sand-king,0.00,46.08
lina,-0.01,51.22
enigma,-0.01,49.14
ancient-apparition,-0.04,46.31
tiny,-0.14,51.43
windranger,-0.21,48.85
keeper-of-the-light,-0.24,51.74
lycan,-0.24,48.57
axe,-0.25,46.78
pudge,-0.27,47.84
broodmother,-0.29,48.54
gyrocopter,-0.31,51.74
zeus,-0.39,48.14
dark-willow,-0.40,49.72
marci,-0.47,48.95
troll-warlord,-0.48,49.17
treant-protector,-0.49,46.66
dragon-knight,-0.49,50.34
invoker,-0.51,51.26
earthshaker,-0.54,50.08
queen-of-pain,-0.64,49.34
riki,-0.66,47.50
drow-ranger,-0.66,49.32
visage,-0.73,47.80
puck,-0.74,50.79
arc-warden,-0.84,47.08
crystal-maiden,-0.90,49.26
shadow-shaman,-0.92,47.05
magnus,-0.95,51.19
ember-spirit,-1.04,52.45
techies,-1.07,52.40
batrider,-1.09,56.69
naga-siren,-1.10,52.39
vengeful-spirit,-1.16,48.16
lone-druid,-1.27,49.11
lion,-1.29,50.43
jakiro,-1.29,49.48
oracle,-1.29,47.03
phantom-assassin,-1.33,49.24
shadow-demon,-1.38,50.69
ogre-magi,-1.39,48.31
spirit-breaker,-1.40,49.25
centaur-warrunner,-1.54,47.30
winter-wyvern,-1.56,50.33
phoenix,-1.58,50.28
void-spirit,-1.65,48.26
storm-spirit,-1.70,50.34
spectre,-1.72,48.72
bane,-1.77,50.53
skywrath-mage,-1.97,49.63
dazzle,-2.00,52.83
warlock,-2.06,46.12
phantom-lancer,-2.25,54.15
medusa,-2.34,46.42
earth-spirit,-2.39,52.08
silencer,-2.62,48.23
faceless-void,-2.67,54.59
bounty-hunter,-2.67,49.99
chaos-knight,-2.91,52.14
wraith-king,-2.94,46.23
slardar,-3.38,53.01
