hero,disadvantage,winrate
outworld-destroyer,4.23,44.08
silencer,4.07,42.87
medusa,3.62,41.65
grimstroke,2.79,49.01
pugna,2.74,49.11
doom,2.63,51.20
faceless-void,2.45,51.02
death-prophet,2.41,48.60
templar-assassin,2.41,53.67
skywrath-mage,2.40,46.61
queen-of-pain,2.39,47.76
ursa,2.26,48.95
night-stalker,2.20,45.06
mirana,2.11,51.95
batrider,1.93,55.25
weaver,1.89,49.00
witch-doctor,1.69,45.47
puck,1.68,49.80
bloodseeker,1.65,46.68
storm-spirit,1.64,48.38
chen,1.63,55.17
lina,1.60,51.13
lion,1.42,49.33
leshrac,1.30,48.87
shadow-fiend,1.26,49.56
nyx-assassin,1.21,47.34
magnus,1.21,50.47
mars,1.19,51.45
luna,1.19,46.38
beastmaster,1.14,53.56
marci,1.11,48.69
windranger,1.08,48.98
tinker,1.06,48.59
gyrocopter,1.05,51.82
keeper-of-the-light,0.98,51.95
bane,0.94,49.12
slardar,0.90,50.16
lifestealer,0.84,48.51
vengeful-spirit,0.81,47.49
muerta,0.74,51.79
bristleback,0.69,50.11
ogre-magi,0.69,47.63
primal-beast,0.67,51.69
bounty-hunter,0.66,47.99
enigma,0.66,49.83
clinkz,0.64,48.58
disruptor,0.61,49.45
visage,0.59,47.71
enchantress,0.58,51.82
invoker,0.56,51.69
troll-warlord,0.53,49.50
broodmother,0.50,49.06
crystal-maiden,0.43,49.31
io,0.43,49.76
sven,0.39,54.22
earthshaker,0.33,50.64
viper,0.29,49.53
clockwerk,0.29,47.37
snapfire,0.26,53.19
elder-titan,0.25,49.28
omniknight,0.23,46.78
ancient-apparition,0.23,47.30
earth-spirit,0.21,50.88
rubick,0.19,52.65
shadow-shaman,0.18,47.23
juggernaut,0.18,48.24
lycan,0.17,49.50
abaddon,0.10,43.71
arc-warden,0.07,47.37
dark-willow,0.06,50.65
phoenix,0.00,50.05
jakiro,-0.05,49.63
legion-commander,-0.09,47.40
dazzle,-0.15,52.46
ember-spirit,-0.22,53.11
oracle,-0.27,47.22
ringmaster,-0.31,47.97
natures-prophet,-0.34,54.10
zeus,-0.38,49.46
pangolier,-0.39,54.47
venomancer,-0.43,50.92
void-spirit,-0.49,48.37
brewmaster,-0.53,51.27
spectre,-0.54,48.89
drow-ranger,-0.57,50.60
necrophos,-0.57,47.74
riki,-0.68,48.83
sand-king,-0.82,48.10
morphling,-0.84,56.28
tusk,-0.84,55.24
monkey-king,-0.87,56.85
techies,-0.95,53.79
warlock,-1.04,46.32
wraith-king,-1.21,45.72
shadow-demon,-1.21,51.93
dawnbreaker,-1.27,50.84
dragon-knight,-1.32,52.59
lone-druid,-1.33,50.52
spirit-breaker,-1.36,50.57
lich,-1.38,47.29
terrorblade,-1.41,56.09
tiny,-1.43,54.24
kunkka,-1.50,49.63
undying,-1.53,49.53
sniper,-1.53,52.13
razor,-1.54,51.07
centaur-warrunner,-1.60,48.60
anti-mage,-1.65,52.80
alchemist,-1.69,51.51
hoodwink,-1.87,55.57
underlord,-1.90,48.29
tidehunter,-1.94,53.39
slark,-1.96,52.24
pudge,-1.99,50.68
phantom-assassin,-1.99,51.21
huskar,-2.10,53.96
treant-protector,-2.12,49.51
chaos-knight,-2.47,53.15
naga-siren,-2.65,55.47
dark-seer,-2.77,52.49
axe,-2.83,50.49
winter-wyvern,-3.24,53.47
meepo,-4.54,56.27
phantom-lancer,-4.60,58.03
timbersaw,0,50
