hero,disadvantage,winrate
anti-mage,3.58,47.97
sven,2.36,52.29
enigma,2.30,48.48
death-prophet,2.18,49.15
faceless-void,2.17,51.49
slardar,2.14,49.21
pudge,2.03,47.49
marci,1.90,48.26
elder-titan,1.86,47.98
leshrac,1.85,48.63
batrider,1.79,55.39
io,1.74,48.75
chaos-knight,1.67,49.22
lina,1.64,51.29
meepo,1.47,50.26
pugna,1.46,50.67
crystal-maiden,1.41,48.70
clinkz,1.37,48.22
shadow-fiend,1.23,49.89
earthshaker,1.21,50.08
invoker,1.17,51.31
broodmother,1.12,48.78
drow-ranger,1.04,49.35
naga-siren,1.02,51.88
shadow-shaman,1.00,46.88
visage,0.98,47.73
juggernaut,0.98,47.87
phantom-lancer,0.91,52.59
magnus,0.90,51.02
lion,0.85,50.15
witch-doctor,0.84,46.75
troll-warlord,0.81,49.54
dawnbreaker,0.77,49.08
bane,0.77,49.62
phantom-assassin,0.68,49.06
primal-beast,0.66,51.90
huskar,0.65,51.38
enchantress,0.65,51.94
nyx-assassin,0.64,48.30
dazzle,0.56,51.94
necrophos,0.56,47.07
skywrath-mage,0.53,48.85
ogre-magi,0.49,48.20
bristleback,0.48,50.59
tiny,0.47,52.47
muerta,0.47,52.23
sniper,0.47,50.56
ancient-apparition,0.45,47.49
lich,0.45,46.00
bounty-hunter,0.42,48.61
lifestealer,0.40,49.32
lycan,0.33,49.66
grimstroke,0.32,51.76
beastmaster,0.28,54.52
sand-king,0.26,47.51
luna,0.24,47.72
terrorblade,0.23,54.47
vengeful-spirit,0.23,48.47
silencer,0.22,47.16
windranger,0.19,50.12
arc-warden,0.18,47.71
viper,0.12,50.01
techies,0.08,52.90
alchemist,0.03,50.08
ursa,-0.01,51.45
monkey-king,-0.01,55.96
templar-assassin,-0.02,56.11
keeper-of-the-light,-0.06,53.19
spirit-breaker,-0.12,49.69
snapfire,-0.20,53.75
riki,-0.21,48.74
dark-willow,-0.22,51.19
dark-seer,-0.22,50.16
outworld-destroyer,-0.24,49.02
jakiro,-0.28,50.17
doom,-0.28,54.25
legion-commander,-0.29,48.03
slark,-0.31,50.89
undying,-0.33,48.74
zeus,-0.38,49.80
chen,-0.39,57.24
night-stalker,-0.42,48.15
morphling,-0.50,55.92
hoodwink,-0.52,54.31
lone-druid,-0.53,50.03
gyrocopter,-0.61,53.66
oracle,-0.71,48.12
rubick,-0.73,53.65
razor,-0.74,50.57
winter-wyvern,-0.77,51.20
mirana,-0.83,54.91
treant-protector,-0.83,48.66
weaver,-0.90,52.02
brewmaster,-0.91,51.89
axe,-0.92,49.07
venomancer,-0.94,51.70
bloodseeker,-0.97,49.73
storm-spirit,-0.98,51.29
tusk,-0.99,55.39
warlock,-1.03,46.82
shadow-demon,-1.04,51.99
clockwerk,-1.07,49.15
dragon-knight,-1.09,52.57
pangolier,-1.11,55.28
earth-spirit,-1.12,52.45
timbersaw,-1.14,51.40
underlord,-1.15,48.00
natures-prophet,-1.15,54.95
queen-of-pain,-1.19,51.50
omniknight,-1.24,48.74
kunkka,-1.29,49.78
disruptor,-1.35,51.69
medusa,-1.42,47.21
mars,-1.48,54.24
centaur-warrunner,-1.58,49.01
phoenix,-1.59,51.93
ringmaster,-1.60,49.60
tidehunter,-1.70,53.34
wraith-king,-1.93,46.96
void-spirit,-1.98,50.25
abaddon,-2.05,46.46
puck,-2.28,53.92
spectre,-2.63,51.27
ember-spirit,-3.08,56.10
