hero,disadvantage,winrate
necrophos,3.75,40.82
undying,2.22,43.12
viper,2.21,44.91
huskar,2.12,46.92
lifestealer,2.03,44.61
sand-king,2.01,42.71
venomancer,1.97,45.80
leshrac,1.80,45.64
elder-titan,1.66,45.11
doom,1.59,49.47
timbersaw,1.53,45.75
underlord,1.50,42.22
alchemist,1.32,45.75
treant-protector,1.07,43.66
luna,1.06,43.83
warlock,0.97,41.68
clockwerk,0.95,44.04
chen,0.84,53.14
ogre-magi,0.84,44.80
wraith-king,0.82,41.12
gyrocopter,0.79,49.33
bristleback,0.78,47.29
phoenix,0.74,46.60
queen-of-pain,0.72,46.67
witch-doctor,0.71,43.75
ringmaster,0.70,44.30
monkey-king,0.70,52.44
spectre,0.69,44.97
lich,0.69,42.60
muerta,0.64,49.11
enchantress,0.63,49.00
ancient-apparition,0.60,44.23
death-prophet,0.47,47.88
juggernaut,0.46,45.29
winter-wyvern,0.42,46.97
dragon-knight,0.42,48.13
razor,0.41,46.39
snapfire,0.39,50.26
grimstroke,0.38,48.74
sven,0.37,51.43
ember-spirit,0.37,49.74
dazzle,0.32,49.23
dark-willow,0.32,47.65
centaur-warrunner,0.32,44.05
earth-spirit,0.24,48.09
crystal-maiden,0.23,46.80
silencer,0.20,44.05
mars,0.20,49.67
faceless-void,0.19,50.52
kunkka,0.18,45.25
zeus,0.13,46.26
templar-assassin,0.12,53.16
tidehunter,0.09,48.58
jakiro,0.05,46.82
lone-druid,0.05,46.40
bloodseeker,0.04,45.64
dawnbreaker,0.04,46.78
enigma,-0.06,47.84
weaver,-0.07,48.22
pudge,-0.12,46.33
dark-seer,-0.14,47.04
natures-prophet,-0.17,51.13
meepo,-0.18,48.96
brewmaster,-0.20,48.17
outworld-destroyer,-0.23,45.94
io,-0.23,47.73
primal-beast,-0.24,49.85
troll-warlord,-0.27,47.59
invoker,-0.29,49.73
batrider,-0.29,54.72
abaddon,-0.30,41.53
disruptor,-0.30,47.64
tusk,-0.31,51.86
beastmaster,-0.32,52.26
terrorblade,-0.34,52.18
lina,-0.36,50.26
pugna,-0.37,49.55
rubick,-0.40,50.43
omniknight,-0.41,44.82
magnus,-0.42,49.36
mirana,-0.43,51.67
techies,-0.45,50.51
lion,-0.45,48.33
bounty-hunter,-0.45,46.40
sniper,-0.47,48.41
visage,-0.50,46.16
vengeful-spirit,-0.53,46.14
marci,-0.54,47.66
anti-mage,-0.55,48.96
tinker,-0.56,47.53
medusa,-0.57,43.22
ursa,-0.66,49.10
shadow-shaman,-0.69,45.41
clinkz,-0.70,47.24
keeper-of-the-light,-0.72,50.94
night-stalker,-0.74,45.35
shadow-demon,-0.75,48.70
bane,-0.81,48.22
earthshaker,-0.86,49.04
skywrath-mage,-0.89,47.19
storm-spirit,-0.90,48.21
nyx-assassin,-0.92,46.74
oracle,-0.92,45.21
pangolier,-0.92,52.22
slardar,-0.93,49.27
arc-warden,-0.98,45.79
windranger,-1.16,48.38
morphling,-1.22,53.82
hoodwink,-1.27,52.16
void-spirit,-1.28,46.48
lycan,-1.43,48.43
shadow-fiend,-1.49,49.45
naga-siren,-1.50,51.51
chaos-knight,-1.51,49.41
phantom-lancer,-1.52,52.16
slark,-1.56,49.11
axe,-1.65,46.69
drow-ranger,-1.79,49.09
legion-commander,-1.98,46.53
spirit-breaker,-2.05,48.52
phantom-assassin,-2.06,48.55
puck,-2.16,50.88
riki,-2.40,47.85
broodmother,-2.60,49.54
