hero,disadvantage,winrate
ancient-apparition,2.83,47.28
phoenix,2.70,49.85
juggernaut,2.39,48.69
huskar,2.24,52.02
keeper-of-the-light,2.18,53.17
timbersaw,2.09,50.50
pugna,1.87,52.48
leshrac,1.84,50.84
viper,1.77,50.59
slark,1.73,51.12
death-prophet,1.62,51.92
earth-spirit,1.52,52.03
dark-willow,1.36,51.85
chen,1.28,57.87
faceless-void,1.27,54.63
sand-king,1.21,48.75
enigma,1.20,51.79
necrophos,1.20,48.59
muerta,1.15,53.80
morphling,1.14,56.66
magnus,1.09,53.07
ursa,1.08,52.61
dawnbreaker,1.08,50.97
brewmaster,1.05,52.12
primal-beast,1.03,53.78
doom,1.02,55.24
invoker,0.91,53.80
grimstroke,0.87,53.45
snapfire,0.86,54.99
tinker,0.85,51.35
ringmaster,0.81,49.48
lina,0.80,54.35
weaver,0.79,52.60
witch-doctor,0.78,48.95
bristleback,0.76,52.53
dark-seer,0.66,51.46
bloodseeker,0.64,50.28
lich,0.63,47.93
venomancer,0.61,52.38
techies,0.58,54.69
oracle,0.56,48.97
anti-mage,0.55,53.10
tidehunter,0.53,53.34
crystal-maiden,0.49,51.78
terrorblade,0.49,56.50
zeus,0.47,51.17
skywrath-mage,0.45,51.10
undying,0.45,50.13
pudge,0.44,51.08
bounty-hunter,0.43,50.77
beastmaster,0.43,56.70
gyrocopter,0.42,54.91
nyx-assassin,0.39,50.72
silencer,0.37,49.15
sniper,0.35,52.88
alchemist,0.34,51.97
jakiro,0.26,51.85
troll-warlord,0.24,52.30
mars,0.21,54.87
winter-wyvern,0.19,52.45
queen-of-pain,0.18,52.42
shadow-demon,0.15,53.04
rubick,0.14,55.13
drow-ranger,0.13,52.42
puck,0.11,53.85
shadow-fiend,0.10,53.16
warlock,0.03,47.88
disruptor,0.02,52.55
monkey-king,-0.02,58.32
hoodwink,-0.04,56.15
abaddon,-0.06,46.57
clockwerk,-0.06,50.31
underlord,-0.07,49.07
luna,-0.09,50.17
elder-titan,-0.10,52.16
outworld-destroyer,-0.12,51.08
kunkka,-0.13,50.82
dazzle,-0.15,54.90
ogre-magi,-0.17,51.00
batrider,-0.19,59.79
arc-warden,-0.20,50.25
io,-0.21,52.94
riki,-0.25,50.94
earthshaker,-0.29,53.72
broodmother,-0.31,52.42
lifestealer,-0.33,52.23
razor,-0.40,52.43
slardar,-0.42,53.97
sven,-0.44,57.40
tusk,-0.45,57.20
bane,-0.50,53.11
clinkz,-0.53,52.30
visage,-0.54,51.46
phantom-lancer,-0.57,56.35
lion,-0.58,53.67
ember-spirit,-0.64,55.95
naga-siren,-0.68,55.89
marci,-0.69,53.04
enchantress,-0.73,55.58
storm-spirit,-0.76,53.29
void-spirit,-0.77,51.21
spirit-breaker,-0.78,52.52
shadow-shaman,-0.82,50.78
windranger,-0.92,53.39
meepo,-0.96,54.98
lycan,-0.98,53.19
omniknight,-1.00,50.67
centaur-warrunner,-1.01,50.62
spectre,-1.03,51.91
vengeful-spirit,-1.07,51.93
phantom-assassin,-1.11,52.90
tiny,-1.15,56.34
legion-commander,-1.20,51.04
pangolier,-1.22,57.68
templar-assassin,-1.31,59.76
mirana,-1.34,57.73
lone-druid,-1.45,53.17
chaos-knight,-1.46,54.57
axe,-1.52,51.81
dragon-knight,-1.60,55.31
night-stalker,-1.63,51.52
medusa,-1.73,49.64
natures-prophet,-1.81,57.90
wraith-king,-1.91,49.05
