hero,disadvantage,winrate
axe,5.39,42.84
razor,4.38,45.20
muerta,3.12,49.23
pugna,2.85,48.94
slark,2.81,47.55
outworld-destroyer,2.70,45.77
winter-wyvern,2.66,47.41
necrophos,2.50,44.87
ogre-magi,1.86,46.59
doom,1.84,51.79
shadow-shaman,1.78,45.81
bristleback,1.62,49.15
lion,1.61,49.12
crystal-maiden,1.57,48.22
ringmaster,1.51,46.28
bane,1.43,48.62
mirana,1.42,52.42
invoker,1.33,50.82
medusa,1.30,44.21
underlord,1.27,45.29
mars,1.14,51.33
ancient-apparition,1.11,46.51
phantom-lancer,1.11,52.08
windranger,1.10,48.93
techies,1.03,51.63
jakiro,1.00,48.61
naga-siren,0.99,51.57
leshrac,0.96,49.19
lina,0.94,51.61
abaddon,0.92,43.22
centaur-warrunner,0.90,46.27
kunkka,0.86,47.34
lich,0.79,45.33
silencer,0.78,46.29
disruptor,0.70,49.32
primal-beast,0.68,51.52
phoenix,0.68,49.34
dark-willow,0.65,49.99
batrider,0.63,56.19
luna,0.54,47.08
witch-doctor,0.52,46.72
natures-prophet,0.52,53.00
rubick,0.49,52.20
tidehunter,0.49,50.82
enchantress,0.42,51.83
skywrath-mage,0.40,48.63
vengeful-spirit,0.37,47.99
clockwerk,0.36,47.40
gyrocopter,0.31,52.40
omniknight,0.27,46.90
oracle,0.27,46.81
tusk,0.19,53.88
sniper,0.19,50.46
hoodwink,0.18,53.29
tiny,0.17,52.41
zeus,0.07,49.03
dragon-knight,0.06,51.12
alchemist,0.01,49.75
visage,0.00,48.39
wraith-king,-0.02,44.83
spirit-breaker,-0.04,49.28
queen-of-pain,-0.08,50.11
snapfire,-0.08,53.29
drow-ranger,-0.09,50.09
pudge,-0.14,49.05
dazzle,-0.17,52.31
death-prophet,-0.17,51.18
treant-protector,-0.19,47.69
grimstroke,-0.19,51.92
spectre,-0.20,48.59
weaver,-0.27,51.06
keeper-of-the-light,-0.30,53.09
viper,-0.35,50.13
lone-druid,-0.39,49.55
terrorblade,-0.41,54.77
puck,-0.49,51.85
timbersaw,-0.54,50.48
nyx-assassin,-0.57,49.13
monkey-king,-0.59,56.16
brewmaster,-0.60,51.23
warlock,-0.68,46.14
riki,-0.68,48.86
shadow-demon,-0.70,51.30
dawnbreaker,-0.81,50.32
tinker,-0.81,50.46
clinkz,-0.84,50.06
juggernaut,-0.85,49.26
earthshaker,-0.92,51.73
venomancer,-0.97,51.38
beastmaster,-1.00,55.43
undying,-1.02,49.07
sand-king,-1.11,48.46
legion-commander,-1.15,48.52
morphling,-1.26,56.32
enigma,-1.27,51.71
shadow-fiend,-1.44,52.03
bounty-hunter,-1.44,50.10
arc-warden,-1.46,49.02
magnus,-1.51,53.04
huskar,-1.52,53.19
faceless-void,-1.57,54.79
broodmother,-1.71,51.29
dark-seer,-1.87,51.48
phantom-assassin,-1.90,51.04
earth-spirit,-1.99,52.97
lifestealer,-2.11,51.45
chaos-knight,-2.18,52.71
storm-spirit,-2.27,52.21
slardar,-2.41,53.35
bloodseeker,-2.67,51.09
ursa,-2.76,53.77
pangolier,-2.77,56.58
ember-spirit,-2.82,55.49
night-stalker,-2.83,50.19
chen,-3.05,59.57
sven,-3.10,57.44
marci,-3.15,52.91
templar-assassin,-3.22,58.96
io,-3.31,53.48
void-spirit,-3.49,51.41
lycan,-3.81,53.49
anti-mage,-4.37,55.23
meepo,-5.92,57.41
elder-titan,-5.96,55.55
