hero,disadvantage,winrate
sand-king,2.27,40.86
ember-spirit,2.17,46.34
muerta,2.05,46.11
batrider,2.01,50.83
dark-willow,1.88,44.50
winter-wyvern,1.37,44.42
phoenix,1.29,44.44
necrophos,1.24,41.70
underlord,1.22,40.84
monkey-king,1.21,50.39
terrorblade,1.12,49.11
dark-seer,1.10,44.18
luna,1.00,42.30
timbersaw,0.95,44.73
venomancer,0.94,45.26
templar-assassin,0.92,50.80
snapfire,0.91,48.18
puck,0.89,46.27
faceless-void,0.88,48.27
undying,0.88,42.87
sven,0.86,49.37
enigma,0.84,45.36
leshrac,0.83,45.03
earthshaker,0.80,45.89
elder-titan,0.76,44.46
windranger,0.75,44.99
tinker,0.74,44.61
weaver,0.68,45.92
lich,0.68,41.01
pugna,0.62,46.99
jakiro,0.55,44.76
gyrocopter,0.49,48.08
witch-doctor,0.42,42.44
bloodseeker,0.38,43.76
queen-of-pain,0.35,45.44
death-prophet,0.34,46.45
drow-ranger,0.34,45.45
techies,0.32,48.18
beastmaster,0.32,50.06
tiny,0.30,48.13
treant-protector,0.30,42.81
dawnbreaker,0.29,44.93
crystal-maiden,0.29,45.18
lina,0.22,48.15
doom,0.21,49.31
hoodwink,0.20,49.17
primal-beast,0.18,47.86
phantom-lancer,0.18,48.87
magnus,0.08,47.28
ringmaster,0.07,43.28
kunkka,0.06,43.77
medusa,0.03,41.02
axe,-0.06,43.62
ogre-magi,-0.07,44.10
mirana,-0.12,49.80
lion,-0.16,46.51
bane,-0.19,46.02
grimstroke,-0.20,47.76
storm-spirit,-0.23,45.96
dragon-knight,-0.23,47.19
riki,-0.23,44.12
omniknight,-0.24,43.00
marci,-0.25,45.76
earth-spirit,-0.25,47.01
viper,-0.26,45.81
disruptor,-0.26,46.02
shadow-fiend,-0.28,46.75
centaur-warrunner,-0.29,43.03
ancient-apparition,-0.30,43.57
juggernaut,-0.30,44.46
sniper,-0.31,46.71
natures-prophet,-0.33,49.72
troll-warlord,-0.34,46.12
alchemist,-0.36,45.85
lone-druid,-0.38,45.24
morphling,-0.39,51.46
dazzle,-0.41,48.41
anti-mage,-0.43,47.31
outworld-destroyer,-0.46,44.59
spectre,-0.47,44.55
chen,-0.49,52.98
huskar,-0.50,48.01
shadow-demon,-0.50,46.85
mars,-0.50,48.79
night-stalker,-0.51,43.56
naga-siren,-0.52,48.96
shadow-shaman,-0.55,43.69
warlock,-0.55,41.60
pangolier,-0.56,50.32
visage,-0.59,44.64
meepo,-0.60,47.83
vengeful-spirit,-0.60,44.62
bounty-hunter,-0.66,45.04
zeus,-0.67,45.47
brewmaster,-0.68,47.09
bristleback,-0.71,47.20
invoker,-0.74,48.60
keeper-of-the-light,-0.74,49.41
arc-warden,-0.75,44.01
broodmother,-0.75,46.09
skywrath-mage,-0.78,45.52
razor,-0.79,46.02
io,-0.79,46.73
void-spirit,-0.80,44.38
ursa,-0.86,47.74
tidehunter,-0.86,47.99
clinkz,-0.90,45.91
clockwerk,-0.98,44.36
enchantress,-1.09,49.20
nyx-assassin,-1.16,45.41
silencer,-1.16,43.84
chaos-knight,-1.21,47.55
slardar,-1.27,48.06
oracle,-1.28,43.97
rubick,-1.46,49.86
spirit-breaker,-1.55,46.48
lifestealer,-1.66,46.78
pudge,-1.81,46.28
legion-commander,-1.83,44.83
wraith-king,-1.86,42.15
phantom-assassin,-1.87,46.83
slark,-1.98,47.95
abaddon,-2.50,42.10
lycan,-2.76,48.24
