hero,disadvantage,winrate
rubick,6.93,49.81
ursa,3.52,51.22
elder-titan,3.39,49.60
juggernaut,3.23,48.90
lifestealer,2.72,50.20
outworld-destroyer,2.71,49.24
morphling,2.17,56.63
doom,2.12,55.22
lina,1.98,54.25
timbersaw,1.84,51.72
anti-mage,1.83,52.86
snapfire,1.75,55.15
huskar,1.73,53.56
monkey-king,1.59,57.77
chen,1.58,58.55
bristleback,1.57,52.76
sniper,1.56,52.80
earth-spirit,1.54,53.03
ancient-apparition,1.46,49.65
windranger,1.41,52.20
invoker,1.35,54.42
pudge,1.30,51.31
sven,1.25,56.75
broodmother,1.23,51.86
tinker,1.21,52.00
witch-doctor,1.18,49.56
enigma,1.17,52.82
clinkz,1.14,51.63
magnus,1.14,54.06
viper,1.09,52.28
phantom-assassin,1.05,51.90
pugna,1.02,54.37
alchemist,0.96,52.37
ringmaster,0.80,50.49
oracle,0.78,49.76
pangolier,0.76,56.74
faceless-void,0.75,56.18
bounty-hunter,0.75,51.46
leshrac,0.69,53.04
keeper-of-the-light,0.68,55.73
death-prophet,0.67,53.92
hoodwink,0.67,56.48
legion-commander,0.66,50.29
drow-ranger,0.57,53.03
night-stalker,0.55,50.34
undying,0.50,51.10
shadow-fiend,0.48,53.82
batrider,0.43,60.16
slark,0.40,53.44
earthshaker,0.39,54.10
omniknight,0.29,50.37
muerta,0.29,55.72
grimstroke,0.25,55.11
nyx-assassin,0.22,51.91
mirana,0.20,57.30
marci,0.18,53.18
venomancer,0.13,53.89
crystal-maiden,0.12,53.16
dark-willow,0.11,54.12
lich,0.08,49.47
winter-wyvern,0.07,53.59
treant-protector,0.06,50.94
bloodseeker,0.02,51.92
weaver,0.00,54.40
skywrath-mage,-0.01,52.57
warlock,-0.07,48.98
enchantress,-0.09,55.99
phoenix,-0.10,53.69
sand-king,-0.18,51.11
slardar,-0.19,54.77
templar-assassin,-0.20,59.63
dazzle,-0.23,55.99
dark-seer,-0.24,53.40
jakiro,-0.26,53.38
queen-of-pain,-0.27,53.89
lion,-0.33,54.47
silencer,-0.35,50.87
shadow-demon,-0.40,54.64
bane,-0.42,54.04
mars,-0.46,56.59
razor,-0.50,53.57
tidehunter,-0.59,55.53
storm-spirit,-0.59,54.16
dawnbreaker,-0.59,53.69
techies,-0.59,56.88
gyrocopter,-0.60,56.99
natures-prophet,-0.61,57.79
shadow-shaman,-0.65,51.63
ember-spirit,-0.66,57.04
puck,-0.69,55.68
beastmaster,-0.88,59.06
disruptor,-0.89,54.50
kunkka,-0.90,52.60
arc-warden,-0.94,52.01
axe,-0.98,52.32
ogre-magi,-1.05,52.86
troll-warlord,-1.14,54.71
zeus,-1.14,53.74
visage,-1.24,53.19
abaddon,-1.25,48.74
vengeful-spirit,-1.29,53.16
tusk,-1.35,59.16
terrorblade,-1.35,59.35
brewmaster,-1.51,55.78
tiny,-1.54,57.78
clockwerk,-1.57,52.84
dragon-knight,-1.59,56.34
lycan,-1.66,54.91
necrophos,-1.67,52.40
luna,-2.15,53.11
medusa,-2.26,51.16
centaur-warrunner,-2.33,52.92
primal-beast,-2.55,58.43
void-spirit,-2.56,54.04
chaos-knight,-2.67,56.82
io,-2.83,56.59
phantom-lancer,-2.86,59.70
spectre,-3.02,54.89
riki,-3.50,55.21
naga-siren,-3.52,59.78
spirit-breaker,-3.63,56.32
meepo,-4.02,59.11
wraith-king,-4.58,52.64
lone-druid,-4.99,57.79
