hero,disadvantage,winrate
medusa,4.06,43.24
luna,3.15,46.54
gyrocopter,2.02,52.79
phantom-lancer,1.96,53.30
elder-titan,1.93,49.50
ancient-apparition,1.84,47.67
clinkz,1.79,49.40
pugna,1.66,52.16
witch-doctor,1.66,47.54
venomancer,1.59,50.86
timbersaw,1.52,50.46
meepo,1.46,51.96
anti-mage,1.40,51.72
bounty-hunter,1.27,49.35
morphling,1.21,56.07
ember-spirit,1.17,53.60
dawnbreaker,1.16,50.31
lycan,1.10,50.51
enchantress,1.09,53.22
weaver,1.08,51.78
slark,1.06,51.22
troll-warlord,1.03,50.95
bloodseeker,0.98,49.36
legion-commander,0.97,48.40
rubick,0.93,53.88
broodmother,0.84,50.69
sniper,0.83,51.91
earthshaker,0.82,52.13
marci,0.81,50.97
silencer,0.81,48.13
muerta,0.81,53.65
faceless-void,0.80,54.60
slardar,0.78,52.24
magnus,0.77,52.85
monkey-king,0.77,57.06
dark-seer,0.74,50.81
ogre-magi,0.72,49.60
storm-spirit,0.71,51.29
riki,0.70,49.42
keeper-of-the-light,0.65,54.22
alchemist,0.65,51.11
void-spirit,0.61,49.25
phoenix,0.60,51.40
warlock,0.59,46.70
beastmaster,0.52,56.07
bristleback,0.49,52.27
terrorblade,0.43,56.07
jakiro,0.42,51.15
lion,0.40,52.24
pangolier,0.40,55.51
tinker,0.39,51.25
shadow-fiend,0.38,52.36
natures-prophet,0.32,55.33
grimstroke,0.30,53.51
doom,0.26,55.50
necrophos,0.24,48.94
lina,0.23,54.38
invoker,0.23,53.93
juggernaut,0.21,50.20
naga-siren,0.21,54.44
phantom-assassin,0.17,51.15
lone-druid,0.17,50.97
axe,0.10,49.71
lifestealer,0.08,51.27
chen,0.04,58.66
enigma,0.04,52.43
chaos-knight,0.02,52.55
skywrath-mage,0.02,50.97
snapfire,-0.05,55.55
templar-assassin,-0.06,58.02
spirit-breaker,-0.07,51.28
sand-king,-0.08,49.39
hoodwink,-0.10,55.71
nyx-assassin,-0.14,50.67
mirana,-0.18,56.11
queen-of-pain,-0.18,52.21
bane,-0.18,52.24
disruptor,-0.19,52.21
drow-ranger,-0.20,52.20
arc-warden,-0.20,49.68
outworld-destroyer,-0.27,50.65
vengeful-spirit,-0.28,50.57
razor,-0.30,51.78
sven,-0.34,56.84
shadow-shaman,-0.40,49.80
treant-protector,-0.46,49.88
dark-willow,-0.46,53.13
io,-0.47,52.65
underlord,-0.51,48.91
techies,-0.52,55.28
tidehunter,-0.59,53.97
crystal-maiden,-0.65,52.34
brewmaster,-0.69,53.39
earth-spirit,-0.71,53.75
viper,-0.76,52.55
night-stalker,-0.79,50.10
dazzle,-0.80,55.04
zeus,-0.82,51.86
ringmaster,-0.83,50.45
windranger,-0.84,52.77
huskar,-0.86,54.62
tusk,-0.90,57.13
mars,-0.93,55.47
lich,-0.94,48.87
dragon-knight,-0.97,54.17
death-prophet,-0.99,54.06
pudge,-1.11,51.88
visage,-1.29,51.66
puck,-1.36,54.76
batrider,-1.49,60.60
primal-beast,-1.49,55.80
winter-wyvern,-1.49,53.62
clockwerk,-1.60,51.27
omniknight,-1.65,50.76
ursa,-1.71,54.85
shadow-demon,-1.86,54.52
kunkka,-2.02,52.14
centaur-warrunner,-2.16,51.16
tiny,-2.19,56.88
abaddon,-2.38,48.26
wraith-king,-2.51,49.02
oracle,-2.75,51.76
leshrac,-2.98,55.20
spectre,-4.14,54.42
