hero,disadvantage,winrate
phantom-lancer,4.18,47.89
riki,3.13,43.79
shadow-shaman,2.63,43.66
ogre-magi,2.55,44.66
troll-warlord,2.54,46.21
naga-siren,2.53,48.92
bristleback,2.51,47.11
weaver,2.41,47.29
chaos-knight,2.19,47.19
clinkz,2.14,45.87
broodmother,2.14,46.20
templar-assassin,2.09,52.76
terrorblade,2.06,51.29
venomancer,1.90,47.39
wraith-king,1.86,41.56
razor,1.84,46.48
death-prophet,1.82,48.02
silencer,1.81,43.97
disruptor,1.72,47.14
undying,1.66,45.15
brewmaster,1.65,47.80
slardar,1.59,48.27
enigma,1.47,47.81
night-stalker,1.45,44.66
windranger,1.37,47.51
spectre,1.32,45.84
muerta,1.28,50.01
necrophos,1.25,44.77
winter-wyvern,1.23,47.67
arc-warden,1.01,45.23
keeper-of-the-light,0.97,50.76
dazzle,0.96,50.14
tusk,0.87,52.27
beastmaster,0.83,52.63
hoodwink,0.81,51.69
lion,0.80,48.72
viper,0.78,47.86
drow-ranger,0.76,48.11
visage,0.70,46.45
dark-willow,0.68,48.83
tiny,0.67,50.90
storm-spirit,0.65,48.20
mirana,0.62,52.21
grimstroke,0.59,50.07
zeus,0.55,47.37
slark,0.51,48.60
crystal-maiden,0.46,48.10
techies,0.45,51.17
huskar,0.41,50.20
shadow-demon,0.41,49.08
lone-druid,0.40,47.56
io,0.38,48.61
batrider,0.37,55.61
vengeful-spirit,0.36,46.77
bounty-hunter,0.35,47.12
meepo,0.34,49.97
alchemist,0.30,48.29
earthshaker,0.29,49.49
natures-prophet,0.27,52.26
omniknight,0.22,45.67
dragon-knight,0.20,49.88
skywrath-mage,0.19,47.64
doom,0.08,52.55
spirit-breaker,0.02,48.03
invoker,-0.01,51.03
pangolier,-0.02,52.85
phantom-assassin,-0.02,48.18
sven,-0.04,53.43
tinker,-0.04,48.54
faceless-void,-0.05,52.34
lich,-0.11,44.86
gyrocopter,-0.11,51.82
mars,-0.13,51.55
lycan,-0.14,48.63
jakiro,-0.25,48.64
chen,-0.25,55.90
monkey-king,-0.27,55.01
enchantress,-0.35,51.55
pugna,-0.44,51.17
primal-beast,-0.50,51.67
abaddon,-0.53,43.23
queen-of-pain,-0.53,49.41
morphling,-0.58,54.78
void-spirit,-0.58,47.27
marci,-0.61,49.25
outworld-destroyer,-0.61,47.84
puck,-0.66,50.94
clockwerk,-0.69,47.20
snapfire,-0.72,52.96
phoenix,-0.75,49.61
magnus,-0.78,51.27
luna,-0.82,47.11
witch-doctor,-0.83,46.71
oracle,-0.83,46.61
lifestealer,-0.85,49.04
ember-spirit,-0.88,52.57
legion-commander,-0.96,47.05
sniper,-0.98,50.43
bane,-1.03,49.98
sand-king,-1.04,47.16
kunkka,-1.05,48.00
ringmaster,-1.12,47.57
lina,-1.14,52.58
treant-protector,-1.14,47.39
axe,-1.17,47.73
warlock,-1.20,45.31
bloodseeker,-1.21,48.44
dawnbreaker,-1.24,49.62
centaur-warrunner,-1.26,47.10
shadow-fiend,-1.37,50.87
ancient-apparition,-1.49,47.84
medusa,-1.53,45.68
earth-spirit,-1.60,51.53
juggernaut,-1.74,48.90
tidehunter,-1.77,52.03
elder-titan,-1.77,50.17
anti-mage,-1.79,51.73
leshrac,-1.87,50.94
dark-seer,-1.93,50.42
rubick,-2.02,53.53
nyx-assassin,-2.19,49.55
timbersaw,-2.26,51.03
pudge,-2.80,50.22
underlord,-3.55,48.79
