hero,disadvantage,winrate
phantom-lancer,3.82,51.14
chaos-knight,2.28,49.97
winter-wyvern,1.50,50.28
terrorblade,1.45,54.81
meepo,1.32,51.85
tidehunter,1.24,51.84
muerta,1.23,52.96
underlord,1.23,46.84
lich,1.22,46.41
brewmaster,1.18,51.18
kunkka,1.12,48.70
treant-protector,1.03,48.06
sand-king,1.03,48.02
dark-willow,1.00,51.39
dark-seer,0.96,50.31
luna,0.94,48.32
medusa,0.92,46.05
windranger,0.91,50.83
jakiro,0.89,50.41
warlock,0.89,46.08
naga-siren,0.83,53.55
beastmaster,0.82,55.57
ember-spirit,0.82,53.74
lone-druid,0.80,50.04
necrophos,0.78,48.10
spectre,0.77,49.27
puck,0.73,52.46
phoenix,0.66,51.07
tusk,0.65,55.38
crystal-maiden,0.64,50.80
tiny,0.59,53.86
gyrocopter,0.58,54.00
primal-beast,0.56,53.47
storm-spirit,0.52,51.21
anti-mage,0.51,52.35
snapfire,0.51,54.62
omniknight,0.49,48.26
juggernaut,0.44,49.69
slark,0.42,51.58
leshrac,0.42,51.47
death-prophet,0.40,52.37
marci,0.40,51.12
arc-warden,0.38,48.78
dazzle,0.35,53.65
axe,0.34,49.18
razor,0.32,50.88
broodmother,0.32,50.95
templar-assassin,0.31,57.47
ogre-magi,0.30,49.70
undying,0.29,49.42
rubick,0.27,54.26
drow-ranger,0.26,51.47
venomancer,0.25,51.93
dragon-knight,0.24,52.73
spirit-breaker,0.21,50.72
clockwerk,0.21,49.16
enigma,0.20,52.00
enchantress,0.20,53.89
magnus,0.19,53.19
mars,0.19,54.14
visage,0.17,49.86
viper,0.17,51.35
bloodseeker,0.13,49.94
mirana,0.11,55.60
sniper,0.10,52.31
abaddon,0.10,45.43
witch-doctor,0.09,48.72
riki,0.02,49.81
outworld-destroyer,0.01,50.08
monkey-king,-0.01,57.63
lifestealer,-0.01,51.08
elder-titan,-0.02,51.24
techies,-0.03,54.55
lycan,-0.04,51.41
earth-spirit,-0.08,52.87
shadow-demon,-0.09,52.48
invoker,-0.10,53.99
ringmaster,-0.11,49.47
dawnbreaker,-0.13,51.37
tinker,-0.14,51.53
wraith-king,-0.15,46.39
void-spirit,-0.16,49.72
morphling,-0.16,57.28
weaver,-0.19,52.78
earthshaker,-0.20,52.84
slardar,-0.24,53.00
queen-of-pain,-0.24,52.01
disruptor,-0.24,52.01
bounty-hunter,-0.26,50.61
troll-warlord,-0.27,52.01
phantom-assassin,-0.28,51.30
grimstroke,-0.28,53.87
silencer,-0.29,48.91
sven,-0.29,56.56
keeper-of-the-light,-0.33,54.99
ursa,-0.35,53.23
doom,-0.35,55.90
centaur-warrunner,-0.38,49.10
natures-prophet,-0.46,55.87
nyx-assassin,-0.46,50.70
alchemist,-0.49,51.98
lina,-0.51,54.86
shadow-shaman,-0.55,49.65
lion,-0.56,52.86
hoodwink,-0.59,55.98
faceless-void,-0.60,55.75
pudge,-0.63,51.17
zeus,-0.65,51.41
huskar,-0.66,54.16
bristleback,-0.69,53.16
pangolier,-0.70,56.46
shadow-fiend,-0.75,53.17
clinkz,-0.77,51.72
io,-0.81,52.74
bane,-0.82,52.64
timbersaw,-0.84,52.52
batrider,-0.87,59.83
pugna,-0.94,54.58
ancient-apparition,-0.95,50.17
skywrath-mage,-1.00,51.72
night-stalker,-1.03,50.04
chen,-1.12,59.73
oracle,-1.45,50.13
legion-commander,-1.56,50.52
