hero,disadvantage,winrate
dark-seer,2.31,46.76
weaver,2.29,48.12
legion-commander,2.05,44.94
storm-spirit,2.04,47.52
slark,1.93,47.94
pugna,1.89,49.49
natures-prophet,1.82,51.41
windranger,1.79,47.83
phantom-lancer,1.61,51.21
juggernaut,1.58,46.46
sniper,1.46,48.90
lycan,1.46,47.70
enchantress,1.44,50.42
enigma,1.44,48.56
phantom-assassin,1.35,47.63
muerta,1.33,50.65
morphling,1.12,53.70
viper,1.07,48.29
clinkz,1.00,47.76
mirana,0.98,52.53
anti-mage,0.92,49.76
troll-warlord,0.92,48.62
tinker,0.89,48.31
terrorblade,0.82,53.21
pudge,0.76,47.78
queen-of-pain,0.75,48.88
faceless-void,0.72,52.23
brewmaster,0.71,49.49
naga-siren,0.70,51.49
huskar,0.68,50.61
techies,0.68,51.62
oracle,0.60,45.90
phoenix,0.60,48.96
snapfire,0.58,52.30
ancient-apparition,0.57,46.50
broodmother,0.56,48.55
bane,0.56,49.05
lina,0.56,51.61
earth-spirit,0.55,50.02
witch-doctor,0.54,46.15
beastmaster,0.54,53.57
skywrath-mage,0.51,48.04
timbersaw,0.44,49.07
magnus,0.42,50.75
void-spirit,0.40,47.02
crystal-maiden,0.37,48.91
abaddon,0.34,43.09
rubick,0.33,51.99
shadow-demon,0.32,49.87
warlock,0.19,44.67
dawnbreaker,0.18,48.88
lifestealer,0.17,48.73
hoodwink,0.17,52.99
arc-warden,0.14,46.90
medusa,0.14,44.73
shadow-shaman,0.10,46.88
puck,0.09,50.89
pangolier,0.07,53.42
marci,0.03,49.32
underlord,-0.14,46.09
outworld-destroyer,-0.15,48.09
sven,-0.16,54.21
chen,-0.16,56.40
razor,-0.19,49.23
invoker,-0.20,51.89
vengeful-spirit,-0.22,48.07
ember-spirit,-0.26,52.61
chaos-knight,-0.27,50.39
jakiro,-0.28,49.39
necrophos,-0.29,47.02
tidehunter,-0.34,51.26
keeper-of-the-light,-0.41,52.86
zeus,-0.43,49.03
bloodseeker,-0.44,48.37
dark-willow,-0.44,50.67
drow-ranger,-0.45,50.00
lich,-0.47,45.97
doom,-0.51,53.83
lion,-0.53,50.64
death-prophet,-0.54,51.15
nyx-assassin,-0.55,48.63
batrider,-0.62,57.26
treant-protector,-0.63,47.62
disruptor,-0.65,50.23
riki,-0.67,48.35
slardar,-0.72,51.30
alchemist,-0.73,50.05
primal-beast,-0.74,52.59
ringmaster,-0.74,47.94
grimstroke,-0.75,52.12
gyrocopter,-0.79,53.18
shadow-fiend,-0.79,51.03
silencer,-0.80,47.27
ogre-magi,-0.82,48.63
sand-king,-0.89,47.73
winter-wyvern,-0.92,50.58
tusk,-0.96,54.74
luna,-0.97,47.98
earthshaker,-0.98,51.41
omniknight,-0.99,47.65
bounty-hunter,-1.00,49.19
visage,-1.06,48.98
leshrac,-1.08,50.83
io,-1.19,50.93
mars,-1.22,53.31
meepo,-1.27,52.31
centaur-warrunner,-1.32,47.90
spirit-breaker,-1.36,50.09
dazzle,-1.38,53.16
elder-titan,-1.39,50.49
undying,-1.58,49.14
monkey-king,-1.59,56.93
templar-assassin,-1.74,57.24
spectre,-1.77,49.64
dragon-knight,-1.78,52.52
wraith-king,-1.81,45.91
bristleback,-1.83,52.10
kunkka,-1.86,49.54
ursa,-1.93,52.61
tiny,-1.98,54.22
clockwerk,-2.00,49.24
night-stalker,-2.17,49.05
lone-druid,-2.77,51.50
axe,-2.78,50.00
