hero,disadvantage,winrate
phantom-lancer,5.59,47.83
chaos-knight,4.18,46.51
terrorblade,4.08,50.59
dark-seer,3.78,45.86
brewmaster,3.54,47.19
morphling,3.11,52.40
windranger,3.06,47.25
shadow-demon,2.50,48.30
pudge,2.39,46.93
witch-doctor,2.35,45.03
naga-siren,2.02,50.82
medusa,1.95,43.47
juggernaut,1.95,46.72
legion-commander,1.93,45.64
weaver,1.89,49.18
drow-ranger,1.81,48.45
arc-warden,1.50,46.10
riki,1.48,46.78
lycan,1.40,48.40
invoker,1.38,51.07
mars,1.15,51.64
shadow-shaman,1.02,46.58
muerta,1.00,51.70
puck,1.00,50.65
enigma,0.90,49.76
techies,0.88,52.12
broodmother,0.86,48.88
slark,0.83,49.66
mirana,0.82,53.40
bane,0.78,49.48
wraith-king,0.77,43.95
undying,0.72,47.46
sniper,0.71,50.24
marci,0.71,49.28
clinkz,0.67,48.71
crystal-maiden,0.67,49.26
warlock,0.67,44.77
grimstroke,0.64,51.40
magnus,0.62,51.22
enchantress,0.61,51.99
hoodwink,0.57,53.30
storm-spirit,0.54,49.67
natures-prophet,0.48,53.44
meepo,0.47,51.21
centaur-warrunner,0.47,46.74
chen,0.42,56.57
lina,0.36,52.52
primal-beast,0.35,52.18
troll-warlord,0.34,49.87
visage,0.33,48.19
tusk,0.30,54.19
dark-willow,0.28,50.60
outworld-destroyer,0.25,48.30
pangolier,0.18,54.00
faceless-void,0.15,53.52
rubick,0.13,52.88
death-prophet,0.13,51.16
keeper-of-the-light,0.13,53.03
snapfire,0.12,53.48
anti-mage,0.10,51.24
slardar,0.08,51.17
jakiro,0.01,49.75
ringmaster,-0.04,47.88
skywrath-mage,-0.06,49.25
sven,-0.06,54.89
earth-spirit,-0.06,51.31
pugna,-0.10,52.22
tinker,-0.12,49.99
bounty-hunter,-0.13,48.95
void-spirit,-0.13,48.20
vengeful-spirit,-0.17,48.65
kunkka,-0.19,48.50
tidehunter,-0.20,51.81
ancient-apparition,-0.24,47.93
lich,-0.26,46.36
phoenix,-0.29,50.52
timbersaw,-0.30,50.47
oracle,-0.31,47.47
alchemist,-0.33,50.31
spirit-breaker,-0.37,49.78
sand-king,-0.38,47.85
silencer,-0.42,47.50
abaddon,-0.45,44.47
phantom-assassin,-0.46,49.95
dawnbreaker,-0.47,50.20
queen-of-pain,-0.51,50.75
shadow-fiend,-0.56,51.49
luna,-0.57,48.22
nyx-assassin,-0.65,49.37
dazzle,-0.75,53.24
ursa,-0.76,52.14
ogre-magi,-0.77,49.21
ember-spirit,-0.86,53.92
zeus,-0.88,50.12
lion,-0.93,51.69
omniknight,-0.93,48.21
doom,-0.97,55.01
leshrac,-0.97,51.39
axe,-1.02,48.96
venomancer,-1.04,51.72
underlord,-1.14,47.72
disruptor,-1.19,51.44
elder-titan,-1.19,50.95
beastmaster,-1.21,56.10
io,-1.33,51.76
gyrocopter,-1.44,54.57
templar-assassin,-1.46,57.84
razor,-1.51,51.21
lifestealer,-1.54,51.12
earthshaker,-1.58,52.67
monkey-king,-1.61,57.73
bloodseeker,-1.62,50.20
winter-wyvern,-1.71,52.07
clockwerk,-1.79,49.67
treant-protector,-1.79,49.41
batrider,-1.81,59.29
night-stalker,-2.05,49.56
tiny,-2.12,55.09
lone-druid,-2.22,51.60
spectre,-2.53,51.04
necrophos,-2.56,49.87
dragon-knight,-3.34,54.75
bristleback,-5.33,56.29
huskar,-6.85,59.10
