hero,disadvantage,winrate
bristleback,3.82,48.61
phantom-lancer,3.80,50.94
windranger,3.79,48.07
terrorblade,3.25,52.64
naga-siren,3.12,51.01
medusa,3.01,44.19
dark-seer,2.55,48.62
brewmaster,2.53,49.67
marci,2.31,49.13
dark-willow,2.29,49.97
winter-wyvern,2.22,49.46
axe,2.20,47.46
lycan,2.11,49.13
riki,2.03,47.80
beastmaster,1.88,54.13
chaos-knight,1.82,50.33
shadow-demon,1.79,50.43
chen,1.79,56.21
weaver,1.78,50.67
warlock,1.74,45.41
clinkz,1.69,49.17
earthshaker,1.62,50.95
sven,1.52,54.36
pangolier,1.46,53.93
underlord,1.38,46.81
enchantress,1.38,52.45
undying,1.37,48.34
bounty-hunter,1.35,48.96
disruptor,1.34,50.29
ember-spirit,1.32,52.97
broodmother,1.27,49.90
magnus,1.24,51.94
sand-king,1.23,47.90
razor,1.22,49.90
enigma,1.16,50.88
meepo,1.16,51.83
io,1.13,50.63
venomancer,1.01,51.02
phantom-assassin,0.98,50.04
ringmaster,0.97,48.47
jakiro,0.89,50.32
snapfire,0.73,54.07
tidehunter,0.70,52.20
crystal-maiden,0.66,50.68
sniper,0.66,51.64
puck,0.64,52.33
hoodwink,0.63,54.43
monkey-king,0.62,56.56
treant-protector,0.60,48.54
keeper-of-the-light,0.56,53.79
muerta,0.53,53.42
lina,0.47,53.63
silencer,0.37,48.29
dazzle,0.37,53.37
tiny,0.35,53.82
mars,0.34,53.70
storm-spirit,0.31,51.29
tusk,0.31,55.34
anti-mage,0.29,52.37
death-prophet,0.28,52.30
lone-druid,0.21,50.56
alchemist,0.21,51.17
gyrocopter,0.13,54.16
earth-spirit,0.12,52.46
luna,0.07,49.17
leshrac,0.03,51.73
troll-warlord,0.02,51.58
mirana,0.00,55.35
abaddon,-0.10,45.86
vengeful-spirit,-0.17,50.13
omniknight,-0.22,49.01
slardar,-0.23,52.79
dawnbreaker,-0.30,51.41
templar-assassin,-0.31,57.61
faceless-void,-0.35,55.18
dragon-knight,-0.35,53.10
spirit-breaker,-0.40,51.22
shadow-shaman,-0.41,49.50
viper,-0.41,51.78
void-spirit,-0.42,49.97
kunkka,-0.46,50.25
oracle,-0.49,49.17
techies,-0.50,54.70
drow-ranger,-0.50,52.08
huskar,-0.51,53.77
batrider,-0.54,58.95
natures-prophet,-0.55,55.60
slark,-0.56,52.38
arc-warden,-0.57,49.75
legion-commander,-0.63,49.62
skywrath-mage,-0.65,51.27
invoker,-0.74,54.31
pugna,-0.74,54.11
clockwerk,-0.75,50.10
queen-of-pain,-0.75,52.34
timbersaw,-0.76,52.29
spectre,-0.78,50.74
primal-beast,-0.82,54.60
ogre-magi,-0.84,50.73
ursa,-0.89,53.55
bane,-0.93,52.58
phoenix,-0.94,52.53
rubick,-0.95,55.08
doom,-0.96,56.14
tinker,-1.00,52.26
pudge,-1.02,51.42
centaur-warrunner,-1.12,49.85
ancient-apparition,-1.13,50.33
shadow-fiend,-1.17,53.34
witch-doctor,-1.33,50.06
morphling,-1.34,57.94
lich,-1.43,49.09
bloodseeker,-1.44,51.46
grimstroke,-1.72,55.04
nyx-assassin,-1.89,52.02
wraith-king,-1.90,48.22
lion,-1.98,53.95
outworld-destroyer,-2.01,52.03
night-stalker,-2.08,51.06
elder-titan,-2.16,53.29
zeus,-2.33,52.90
lifestealer,-2.62,53.55
necrophos,-3.01,51.79
juggernaut,-3.28,53.16
