hero,disadvantage,winrate
meepo,5.08,48.33
lone-druid,4.65,46.58
huskar,4.32,49.47
troll-warlord,3.47,48.59
monkey-king,3.12,54.69
sven,2.70,53.72
underlord,2.64,45.96
night-stalker,2.36,47.10
riki,2.31,47.94
lycan,2.31,49.39
broodmother,2.20,49.42
omniknight,2.15,47.07
ember-spirit,2.07,52.74
tinker,1.97,49.75
io,1.96,50.27
enchantress,1.94,52.39
terrorblade,1.94,54.50
anti-mage,1.91,51.30
naga-siren,1.78,52.85
elder-titan,1.76,49.81
tidehunter,1.65,51.74
slardar,1.64,51.44
beastmaster,1.61,54.95
dragon-knight,1.60,51.71
chaos-knight,1.53,51.09
necrophos,1.35,48.01
templar-assassin,1.32,56.56
bloodseeker,1.30,49.17
gyrocopter,1.26,53.56
medusa,1.25,46.29
luna,1.22,48.52
chen,1.21,57.36
tiny,1.18,53.52
death-prophet,1.14,51.93
pugna,1.13,52.75
axe,1.11,48.90
bane,1.10,51.02
shadow-fiend,1.10,51.75
enigma,1.09,51.43
marci,1.08,50.80
pangolier,1.01,54.93
earthshaker,0.93,52.08
bounty-hunter,0.84,49.90
alchemist,0.81,51.04
treant-protector,0.81,48.75
winter-wyvern,0.79,51.37
dazzle,0.78,53.48
slark,0.73,51.62
abaddon,0.68,45.46
dawnbreaker,0.65,50.94
crystal-maiden,0.65,51.17
oracle,0.60,48.51
tusk,0.60,55.62
wraith-king,0.52,46.30
legion-commander,0.50,49.00
lion,0.49,52.22
ursa,0.47,52.72
visage,0.44,50.01
timbersaw,0.41,51.63
shadow-shaman,0.41,49.16
morphling,0.37,56.85
muerta,0.30,54.16
doom,0.29,55.45
spirit-breaker,0.28,51.03
dark-seer,0.28,51.38
outworld-destroyer,0.23,50.27
windranger,0.23,51.83
sand-king,0.22,49.26
disruptor,0.19,51.91
centaur-warrunner,0.19,49.00
ogre-magi,0.19,50.21
phantom-lancer,0.16,55.10
vengeful-spirit,0.14,50.27
earth-spirit,0.13,52.95
shadow-demon,0.11,52.60
viper,0.06,51.80
ringmaster,-0.01,49.81
mirana,-0.04,55.94
grimstroke,-0.05,53.88
lich,-0.06,48.19
keeper-of-the-light,-0.08,54.96
lina,-0.10,54.70
jakiro,-0.10,51.74
hoodwink,-0.15,55.72
rubick,-0.16,54.89
batrider,-0.17,59.16
faceless-void,-0.19,55.56
lifestealer,-0.23,51.67
magnus,-0.23,53.89
storm-spirit,-0.25,52.32
leshrac,-0.28,52.52
phantom-assassin,-0.31,51.69
snapfire,-0.37,55.70
warlock,-0.43,47.93
nyx-assassin,-0.44,51.08
kunkka,-0.45,50.68
venomancer,-0.46,52.96
dark-willow,-0.55,53.26
undying,-0.62,50.75
silencer,-0.64,49.71
phoenix,-0.67,52.75
techies,-0.68,55.42
natures-prophet,-0.71,56.30
brewmaster,-0.77,53.50
witch-doctor,-0.78,49.98
primal-beast,-0.85,55.16
spectre,-0.85,51.28
weaver,-1.00,53.87
skywrath-mage,-1.17,52.25
drow-ranger,-1.18,53.22
clockwerk,-1.19,50.99
razor,-1.31,52.86
arc-warden,-1.41,51.04
bristleback,-1.42,54.18
clinkz,-1.46,52.77
sniper,-1.67,54.20
invoker,-1.80,55.80
queen-of-pain,-1.84,53.85
pudge,-1.86,52.63
zeus,-2.05,53.12
puck,-2.13,55.55
mars,-2.22,56.74
ancient-apparition,-2.25,51.88
juggernaut,-2.30,52.70
