hero,disadvantage,winrate
bristleback,2.91,52.62
weaver,2.45,53.18
sand-king,2.36,49.75
phoenix,2.30,52.42
morphling,2.24,57.82
shadow-fiend,2.23,53.34
tidehunter,2.22,53.88
windranger,2.13,52.68
pangolier,2.07,56.59
phantom-assassin,2.01,52.20
nyx-assassin,1.97,51.31
storm-spirit,1.87,52.88
sven,1.69,57.59
snapfire,1.63,56.49
jakiro,1.54,52.82
natures-prophet,1.52,56.95
bounty-hunter,1.48,51.87
slardar,1.41,54.37
slark,1.35,53.70
clinkz,1.34,52.60
sniper,1.30,54.24
keeper-of-the-light,1.30,56.32
earthshaker,1.30,54.42
primal-beast,1.26,55.77
ursa,1.21,54.69
earth-spirit,1.21,54.54
tinker,1.19,53.18
lycan,1.10,53.26
mirana,1.06,57.70
night-stalker,1.06,50.96
timbersaw,1.02,53.67
anti-mage,0.95,54.93
faceless-void,0.95,57.25
magnus,0.95,55.43
ember-spirit,0.92,56.63
troll-warlord,0.90,53.85
monkey-king,0.89,59.74
lina,0.81,56.60
templar-assassin,0.76,59.98
oracle,0.74,50.92
marci,0.73,53.79
lifestealer,0.73,53.36
alchemist,0.69,53.81
brewmaster,0.68,54.72
legion-commander,0.66,51.42
tusk,0.62,58.40
batrider,0.58,61.28
crystal-maiden,0.58,53.91
invoker,0.56,56.38
void-spirit,0.49,52.10
chen,0.46,61.05
io,0.43,54.47
puck,0.40,55.78
huskar,0.40,56.11
abaddon,0.36,48.21
queen-of-pain,0.32,54.49
enchantress,0.31,56.81
riki,0.28,52.57
gyrocopter,0.28,57.36
hoodwink,0.27,58.14
zeus,0.25,53.58
dawnbreaker,0.21,54.04
ringmaster,0.16,52.23
elder-titan,0.14,54.10
ancient-apparition,0.13,52.12
witch-doctor,0.13,51.72
underlord,0.09,51.02
leshrac,0.08,54.83
juggernaut,0.06,53.09
drow-ranger,0.03,54.74
treant-protector,0.03,52.12
silencer,0.02,51.64
disruptor,0.01,54.78
doom,-0.01,58.55
rubick,-0.04,57.58
broodmother,-0.10,54.38
venomancer,-0.11,55.33
pugna,-0.11,56.75
dragon-knight,-0.12,56.11
razor,-0.13,54.36
pudge,-0.16,53.79
mars,-0.19,57.50
dazzle,-0.23,57.27
skywrath-mage,-0.31,54.05
death-prophet,-0.32,56.15
bloodseeker,-0.32,53.43
lich,-0.36,51.01
dark-seer,-0.40,54.75
spirit-breaker,-0.43,54.38
clockwerk,-0.49,52.89
outworld-destroyer,-0.54,53.67
undying,-0.55,53.30
techies,-0.55,58.10
lion,-0.57,55.88
shadow-demon,-0.63,56.04
dark-willow,-0.64,56.09
viper,-0.69,55.24
muerta,-0.70,57.97
bane,-0.77,55.59
tiny,-0.85,58.32
omniknight,-0.85,52.67
vengeful-spirit,-0.88,53.92
grimstroke,-0.90,57.54
winter-wyvern,-1.03,55.92
luna,-1.16,53.33
kunkka,-1.22,54.07
necrophos,-1.25,53.14
medusa,-1.27,51.29
centaur-warrunner,-1.45,53.19
visage,-1.49,54.59
shadow-shaman,-1.78,53.89
spectre,-2.00,55.06
ogre-magi,-2.05,54.99
beastmaster,-2.25,61.72
meepo,-2.29,58.56
axe,-2.35,54.77
enigma,-2.61,57.88
wraith-king,-2.68,51.90
naga-siren,-2.94,60.44
arc-warden,-3.05,55.33
terrorblade,-3.39,62.76
lone-druid,-4.09,58.06
chaos-knight,-4.18,59.61
phantom-lancer,-4.80,62.99
