hero,disadvantage,winrate
faceless-void,3.02,49.59
rubick,2.58,49.48
dark-willow,2.10,47.68
naga-siren,2.05,49.71
riki,1.99,45.19
drow-ranger,1.98,47.19
nyx-assassin,1.94,45.72
luna,1.90,44.82
legion-commander,1.83,44.68
axe,1.83,45.18
muerta,1.78,49.80
bounty-hunter,1.66,46.07
morphling,1.44,53.03
arc-warden,1.23,45.33
clinkz,1.18,47.13
lion,1.16,48.68
medusa,1.12,43.25
phantom-lancer,1.10,51.35
slardar,1.10,49.07
crystal-maiden,1.09,47.77
shadow-shaman,1.08,45.46
dragon-knight,1.07,49.33
puck,1.05,49.53
natures-prophet,1.03,51.82
bane,0.96,48.21
broodmother,0.95,47.71
bristleback,0.90,49.00
ogre-magi,0.87,46.56
templar-assassin,0.84,54.33
void-spirit,0.84,46.11
clockwerk,0.81,45.97
tinker,0.80,47.97
gyrocopter,0.78,51.20
necrophos,0.77,45.52
silencer,0.75,45.28
terrorblade,0.74,52.95
night-stalker,0.74,45.67
techies,0.74,51.19
chaos-knight,0.71,48.99
bloodseeker,0.71,46.72
slark,0.68,48.74
skywrath-mage,0.66,47.46
huskar,0.66,50.25
zeus,0.58,47.63
mirana,0.54,52.61
earthshaker,0.44,49.64
outworld-destroyer,0.41,47.10
mars,0.32,51.40
vengeful-spirit,0.21,47.21
troll-warlord,0.19,48.95
enchantress,0.17,51.34
anti-mage,0.12,50.15
storm-spirit,0.11,49.03
tiny,0.10,51.76
shadow-fiend,0.08,49.79
grimstroke,0.04,50.93
wraith-king,-0.03,43.67
spirit-breaker,-0.04,48.37
enigma,-0.04,49.66
lone-druid,-0.07,48.33
earth-spirit,-0.10,50.27
underlord,-0.12,45.62
sand-king,-0.13,46.55
disruptor,-0.16,49.33
meepo,-0.18,50.80
lina,-0.23,52.01
witch-doctor,-0.24,46.43
hoodwink,-0.28,53.07
io,-0.47,49.79
sven,-0.51,54.26
pugna,-0.56,51.61
invoker,-0.59,51.88
doom,-0.59,53.56
alchemist,-0.59,49.50
jakiro,-0.61,49.29
spectre,-0.61,48.06
monkey-king,-0.61,55.66
tusk,-0.64,54.07
queen-of-pain,-0.68,49.84
chen,-0.77,56.76
treant-protector,-0.86,47.41
elder-titan,-0.88,49.56
ringmaster,-0.88,47.64
omniknight,-0.89,47.10
lycan,-0.90,49.71
phoenix,-0.94,50.11
centaur-warrunner,-1.00,47.14
oracle,-1.03,47.12
phantom-assassin,-1.05,49.42
beastmaster,-1.07,54.90
sniper,-1.08,50.80
lifestealer,-1.10,49.58
snapfire,-1.10,53.65
undying,-1.11,48.23
abaddon,-1.12,44.08
magnus,-1.15,51.95
tidehunter,-1.24,51.78
primal-beast,-1.25,52.73
ember-spirit,-1.30,53.30
dazzle,-1.31,52.72
marci,-1.33,50.28
lich,-1.41,46.42
kunkka,-1.43,48.68
death-prophet,-1.46,51.71
leshrac,-1.64,51.01
pudge,-1.76,49.60
batrider,-1.76,58.16
visage,-1.78,49.29
timbersaw,-1.89,51.00
viper,-1.92,50.84
windranger,-1.96,51.00
shadow-demon,-1.97,51.81
winter-wyvern,-1.98,51.26
keeper-of-the-light,-2.00,54.16
pangolier,-2.11,55.30
ancient-apparition,-2.13,48.77
dawnbreaker,-2.18,50.88
venomancer,-2.27,51.87
razor,-2.27,50.90
ursa,-2.41,52.71
juggernaut,-2.43,49.86
warlock,-2.46,46.83
dark-seer,-2.69,51.51
brewmaster,-3.65,53.64
weaver,0,50
