hero,disadvantage,winrate
centaur-warrunner,3.92,42.58
bristleback,3.30,47.42
faceless-void,3.08,50.58
bloodseeker,2.47,45.53
axe,2.05,45.58
bane,2.04,47.91
mars,1.97,50.81
weaver,1.88,49.00
natures-prophet,1.83,52.18
techies,1.66,51.32
pugna,1.49,50.47
nyx-assassin,1.49,46.86
spectre,1.46,46.64
bounty-hunter,1.43,47.01
puck,1.40,50.15
spirit-breaker,1.34,47.78
tiny,1.34,51.60
ogre-magi,1.27,46.86
clockwerk,1.16,46.24
clinkz,1.12,47.97
morphling,1.05,54.82
muerta,1.04,51.66
gyrocopter,0.93,52.16
sven,0.86,54.07
necrophos,0.86,46.02
ember-spirit,0.86,52.25
drow-ranger,0.85,49.16
dark-willow,0.82,49.90
templar-assassin,0.78,55.74
earth-spirit,0.77,50.35
pangolier,0.73,53.56
chen,0.69,56.74
enigma,0.67,49.83
kunkka,0.60,47.30
razor,0.60,48.82
queen-of-pain,0.57,49.50
undying,0.57,47.23
zeus,0.56,48.43
alchemist,0.54,49.20
rubick,0.52,52.56
treant-protector,0.51,46.62
pudge,0.49,48.35
phoenix,0.45,49.56
primal-beast,0.42,52.10
tidehunter,0.36,51.15
phantom-assassin,0.29,49.00
sniper,0.15,50.62
crystal-maiden,0.15,49.56
legion-commander,0.13,46.96
lion,0.09,50.61
wraith-king,0.07,43.99
shadow-shaman,0.06,47.13
anti-mage,0.01,51.24
outworld-destroyer,-0.03,48.28
dragon-knight,-0.07,51.46
invoker,-0.08,52.48
juggernaut,-0.09,48.37
lifestealer,-0.13,49.45
batrider,-0.15,58.04
shadow-demon,-0.18,50.94
slark,-0.19,50.52
tinker,-0.21,49.88
tusk,-0.23,55.00
naga-siren,-0.25,53.24
doom,-0.25,54.49
dazzle,-0.26,52.77
oracle,-0.27,46.94
storm-spirit,-0.27,50.32
winter-wyvern,-0.28,50.44
mirana,-0.32,54.78
death-prophet,-0.34,51.54
dawnbreaker,-0.37,49.88
monkey-king,-0.46,56.95
shadow-fiend,-0.47,51.30
void-spirit,-0.48,48.16
brewmaster,-0.54,51.36
keeper-of-the-light,-0.56,53.80
riki,-0.58,48.57
earthshaker,-0.61,51.65
silencer,-0.65,47.31
leshrac,-0.66,50.93
magnus,-0.67,52.54
skywrath-mage,-0.68,49.63
abaddon,-0.70,43.99
snapfire,-0.71,54.51
lina,-0.71,53.65
hoodwink,-0.73,54.79
omniknight,-0.82,47.67
disruptor,-0.89,51.00
luna,-0.96,48.20
troll-warlord,-0.96,51.06
vengeful-spirit,-0.98,49.16
timbersaw,-1.00,51.03
ancient-apparition,-1.03,48.39
slardar,-1.07,52.29
jakiro,-1.08,50.64
broodmother,-1.10,50.73
ursa,-1.15,52.49
witch-doctor,-1.18,48.01
grimstroke,-1.19,53.32
huskar,-1.19,53.22
lich,-1.20,46.80
medusa,-1.29,46.16
terrorblade,-1.31,56.41
sand-king,-1.31,48.38
lycan,-1.34,51.09
enchantress,-1.46,54.22
ringmaster,-1.52,48.97
arc-warden,-1.53,48.88
venomancer,-1.55,52.17
underlord,-1.67,47.79
beastmaster,-1.73,56.99
night-stalker,-1.76,48.91
marci,-1.90,51.83
io,-1.94,52.32
meepo,-2.02,53.84
phantom-lancer,-2.08,55.85
warlock,-2.37,47.32
elder-titan,-2.45,52.13
chaos-knight,-2.64,53.48
viper,-2.81,52.74
visage,-3.47,51.93
dark-seer,-3.77,53.66
lone-druid,-4.31,53.73
