hero,disadvantage,winrate
timbersaw,3.49,46.49
necrophos,2.89,44.44
pugna,2.58,49.13
sand-king,2.33,45.15
ancient-apparition,2.28,45.30
anti-mage,2.18,48.88
weaver,2.07,48.71
outworld-destroyer,2.05,46.35
viper,1.84,47.93
undying,1.66,46.38
keeper-of-the-light,1.66,51.02
leshrac,1.63,48.44
death-prophet,1.57,49.35
tidehunter,1.56,49.67
spectre,1.50,46.87
slark,1.45,48.78
razor,1.42,48.03
phantom-lancer,1.41,51.66
warlock,1.39,44.08
enchantress,1.38,50.78
huskar,1.32,50.29
muerta,1.20,51.08
zeus,1.19,47.90
gyrocopter,1.17,51.45
bounty-hunter,1.12,47.51
sniper,1.08,49.59
phantom-assassin,1.02,48.34
venomancer,0.94,49.42
pudge,0.86,48.10
queen-of-pain,0.85,49.15
tinker,0.81,48.78
crystal-maiden,0.80,48.87
skywrath-mage,0.78,48.19
phoenix,0.77,49.17
snapfire,0.69,52.44
primal-beast,0.69,51.43
nyx-assassin,0.65,47.88
techies,0.62,51.94
luna,0.59,47.00
abaddon,0.55,43.53
bane,0.55,49.43
doom,0.53,53.00
mars,0.52,51.85
windranger,0.35,49.57
puck,0.29,51.00
storm-spirit,0.27,49.65
axe,0.25,47.58
shadow-shaman,0.13,47.32
silencer,0.11,46.87
witch-doctor,0.11,47.05
monkey-king,0.10,55.40
batrider,0.06,56.67
underlord,0.06,46.42
riki,0.05,48.06
dark-seer,0.05,49.46
brewmaster,0.03,50.52
arc-warden,0.01,47.49
morphling,-0.03,55.00
clockwerk,-0.04,47.72
shadow-demon,-0.07,50.60
grimstroke,-0.07,51.72
faceless-void,-0.08,53.24
treant-protector,-0.11,47.55
dark-willow,-0.13,50.69
jakiro,-0.15,49.63
juggernaut,-0.17,48.55
templar-assassin,-0.21,55.84
clinkz,-0.22,49.38
sven,-0.24,54.46
shadow-fiend,-0.33,50.92
alchemist,-0.40,50.09
ringmaster,-0.44,48.09
centaur-warrunner,-0.46,47.53
lich,-0.47,46.48
natures-prophet,-0.48,53.87
beastmaster,-0.49,54.82
lion,-0.50,50.94
spirit-breaker,-0.52,49.66
hoodwink,-0.53,53.87
tiny,-0.55,53.03
io,-0.57,50.65
earth-spirit,-0.60,51.50
ember-spirit,-0.68,53.27
omniknight,-0.70,47.81
ogre-magi,-0.70,48.93
naga-siren,-0.72,53.20
rubick,-0.73,53.21
void-spirit,-0.76,48.63
earthshaker,-0.83,51.57
slardar,-0.83,51.72
oracle,-0.88,47.88
drow-ranger,-0.94,50.82
chaos-knight,-0.95,51.41
lina,-0.97,53.32
invoker,-1.04,52.93
night-stalker,-1.04,48.36
bristleback,-1.05,51.64
mirana,-1.06,54.70
dazzle,-1.09,53.12
disruptor,-1.19,51.11
bloodseeker,-1.20,49.55
wraith-king,-1.31,45.98
ursa,-1.36,52.33
enigma,-1.44,51.80
vengeful-spirit,-1.48,49.72
dawnbreaker,-1.48,50.92
dragon-knight,-1.50,52.52
terrorblade,-1.55,55.79
tusk,-1.67,55.60
lifestealer,-1.67,50.94
chen,-1.68,58.06
kunkka,-1.76,49.84
elder-titan,-1.81,51.26
medusa,-1.90,47.29
magnus,-1.98,53.41
broodmother,-2.05,51.55
marci,-2.13,51.82
lycan,-2.21,51.79
visage,-2.22,50.54
troll-warlord,-2.66,52.57
legion-commander,-3.17,50.32
pangolier,-3.30,57.02
lone-druid,-4.78,53.83
meepo,-5.31,56.68
