hero,disadvantage,winrate
medusa,3.26,44.53
chen,2.77,57.68
bristleback,2.71,51.23
riki,2.34,48.62
broodmother,2.28,50.26
faceless-void,2.19,54.73
muerta,1.99,53.84
morphling,1.86,57.16
templar-assassin,1.79,58.00
puck,1.64,53.08
silencer,1.56,48.13
sniper,1.50,52.53
zeus,1.47,50.69
brewmaster,1.44,52.42
clinkz,1.38,50.88
hoodwink,1.38,55.88
drow-ranger,1.36,51.84
visage,1.32,49.96
night-stalker,1.32,48.80
phantom-assassin,1.29,51.20
natures-prophet,1.27,55.99
mirana,1.27,56.29
pangolier,1.25,56.15
disruptor,1.22,51.98
windranger,1.21,51.99
dark-willow,1.18,52.72
ursa,1.15,53.29
wraith-king,1.02,46.11
rubick,1.02,55.32
skywrath-mage,0.99,51.08
keeper-of-the-light,0.94,55.41
lion,0.86,53.08
mars,0.86,55.15
slark,0.85,52.65
dazzle,0.85,54.92
naga-siren,0.84,55.20
jakiro,0.79,51.94
void-spirit,0.79,50.00
shadow-fiend,0.77,53.25
invoker,0.74,54.89
snapfire,0.71,56.21
lycan,0.71,52.05
slardar,0.69,53.63
phoenix,0.68,52.51
weaver,0.60,53.57
earthshaker,0.59,53.65
grimstroke,0.56,54.71
magnus,0.56,54.44
bounty-hunter,0.54,51.14
techies,0.49,55.85
ringmaster,0.44,50.19
enchantress,0.43,55.38
sven,0.42,57.79
ancient-apparition,0.42,50.01
lina,0.40,55.72
pugna,0.39,54.90
winter-wyvern,0.37,52.95
tusk,0.36,57.55
death-prophet,0.36,54.00
enigma,0.33,53.40
nyx-assassin,0.33,51.25
legion-commander,0.32,49.93
elder-titan,0.30,52.35
ember-spirit,0.29,55.99
oracle,0.25,49.57
bane,0.15,53.12
shadow-demon,0.15,53.78
marci,0.13,52.85
storm-spirit,0.07,53.15
vengeful-spirit,0.05,51.29
abaddon,0.04,46.37
necrophos,0.02,50.06
alchemist,0.00,52.95
tiny,-0.01,56.25
troll-warlord,-0.02,53.27
outworld-destroyer,-0.04,51.48
kunkka,-0.06,51.21
phantom-lancer,-0.08,56.97
venomancer,-0.09,53.84
pudge,-0.09,52.08
doom,-0.13,57.48
io,-0.13,53.60
gyrocopter,-0.19,56.59
terrorblade,-0.20,58.46
monkey-king,-0.23,59.91
batrider,-0.27,61.30
warlock,-0.32,48.27
chaos-knight,-0.32,54.22
sand-king,-0.33,50.57
anti-mage,-0.33,54.82
huskar,-0.33,55.49
lich,-0.37,49.07
tinker,-0.38,53.25
dawnbreaker,-0.38,53.10
beastmaster,-0.43,58.74
meepo,-0.47,55.30
earth-spirit,-0.50,54.90
spirit-breaker,-0.50,52.88
arc-warden,-0.52,50.99
ogre-magi,-0.54,51.86
shadow-shaman,-0.54,50.90
treant-protector,-0.66,51.06
lifestealer,-0.66,53.19
juggernaut,-0.74,52.20
queen-of-pain,-0.78,54.06
crystal-maiden,-0.85,53.80
tidehunter,-0.88,55.71
dragon-knight,-0.90,55.50
leshrac,-0.93,54.39
clockwerk,-0.95,51.65
dark-seer,-0.99,53.83
luna,-1.06,51.51
underlord,-1.13,50.44
omniknight,-1.16,51.23
primal-beast,-1.16,56.96
timbersaw,-1.31,54.53
undying,-1.36,52.45
lone-druid,-1.39,53.76
razor,-1.54,54.26
spectre,-1.54,52.98
centaur-warrunner,-1.81,51.83
viper,-1.90,54.99
bloodseeker,-2.01,53.57
axe,-2.16,52.93
witch-doctor,0,50
