hero,disadvantage,winrate
lone-druid,5.23,49.35
phantom-lancer,5.12,54.00
underlord,4.43,47.36
slark,3.38,52.63
necrophos,3.33,49.39
tidehunter,3.27,53.78
chen,3.05,59.57
terrorblade,3.02,57.44
phoenix,2.95,52.64
dazzle,2.76,55.29
broodmother,2.74,52.39
brewmaster,2.61,53.66
warlock,2.60,48.10
beastmaster,2.60,57.83
undying,2.56,50.99
naga-siren,2.53,55.85
pangolier,2.43,57.24
meepo,2.42,54.76
anti-mage,2.37,54.60
io,2.35,53.47
alchemist,2.31,53.09
tusk,2.24,57.85
crystal-maiden,2.21,53.20
dark-seer,2.20,52.94
tinker,2.20,53.05
lycan,2.17,53.06
sand-king,2.16,50.74
lifestealer,2.14,52.84
chaos-knight,2.13,54.16
omniknight,2.09,50.46
abaddon,2.07,47.14
visage,2.05,51.81
venomancer,2.04,54.10
jakiro,2.01,53.24
treant-protector,1.99,50.94
medusa,1.98,48.74
razor,1.93,53.19
keeper-of-the-light,1.87,56.77
rubick,1.85,56.83
dragon-knight,1.84,55.18
monkey-king,1.80,60.04
winter-wyvern,1.74,54.01
morphling,1.70,59.54
invoker,1.44,56.59
timbersaw,1.39,54.27
slardar,1.39,55.40
bristleback,1.33,55.20
dawnbreaker,1.15,53.99
enchantress,1.03,57.11
shadow-demon,0.92,55.41
lich,0.90,50.53
death-prophet,0.84,55.97
marci,0.77,54.69
bounty-hunter,0.76,53.50
leshrac,0.75,55.08
ogre-magi,0.72,53.21
snapfire,0.63,58.62
sniper,0.62,55.83
templar-assassin,0.61,61.49
troll-warlord,0.60,55.17
kunkka,0.60,53.12
clockwerk,0.58,52.65
oracle,0.54,51.96
gyrocopter,0.51,58.19
ember-spirit,0.38,58.25
weaver,0.32,56.31
vengeful-spirit,0.31,53.61
hoodwink,0.23,59.33
natures-prophet,0.08,59.48
arc-warden,0.08,53.00
luna,0.07,53.01
dark-willow,0.07,56.35
ringmaster,0.05,53.17
mars,0.03,58.37
storm-spirit,0.01,55.71
primal-beast,-0.02,58.14
queen-of-pain,-0.05,55.80
bane,-0.10,55.89
grimstroke,-0.13,57.83
lina,-0.18,58.67
void-spirit,-0.22,53.70
tiny,-0.28,58.88
zeus,-0.33,55.07
windranger,-0.33,56.01
mirana,-0.38,60.22
juggernaut,-0.38,54.44
drow-ranger,-0.41,56.18
faceless-void,-0.45,59.85
batrider,-0.45,63.64
disruptor,-0.46,56.24
sven,-0.46,61.04
lion,-0.48,56.81
viper,-0.51,56.04
shadow-shaman,-0.53,53.54
ancient-apparition,-0.54,53.67
magnus,-0.57,58.03
doom,-0.62,60.43
spectre,-0.63,54.62
phantom-assassin,-0.63,55.63
centaur-warrunner,-0.63,53.24
earthshaker,-0.67,57.36
pugna,-0.75,58.48
earth-spirit,-0.87,57.72
huskar,-0.89,58.54
techies,-0.90,59.65
spirit-breaker,-0.93,55.86
shadow-fiend,-1.09,57.57
muerta,-1.15,59.57
riki,-1.15,54.96
bloodseeker,-1.17,55.24
puck,-1.18,58.39
axe,-1.23,54.64
witch-doctor,-1.24,53.88
clinkz,-1.25,56.25
outworld-destroyer,-1.26,55.32
nyx-assassin,-1.31,55.53
pudge,-1.39,55.82
night-stalker,-1.41,54.36
ursa,-1.45,58.43
enigma,-1.71,58.09
legion-commander,-1.88,54.78
skywrath-mage,-2.03,56.79
silencer,-2.14,54.68
elder-titan,-2.64,58.00
