hero,disadvantage,winrate
meepo,3.56,48.76
chen,2.96,54.99
storm-spirit,2.63,48.28
huskar,2.42,50.35
broodmother,2.40,48.00
chaos-knight,2.38,49.10
anti-mage,2.32,49.85
ember-spirit,2.30,51.61
visage,2.01,47.10
io,1.87,49.21
lycan,1.83,48.67
void-spirit,1.73,46.88
mars,1.59,52.09
naga-siren,1.57,52.15
queen-of-pain,1.57,49.49
spectre,1.56,47.61
enchantress,1.54,51.90
skywrath-mage,1.51,48.35
lifestealer,1.46,48.78
beastmaster,1.43,54.37
templar-assassin,1.42,55.92
faceless-void,1.39,53.22
medusa,1.29,44.62
bristleback,1.19,50.58
sven,1.18,54.62
earth-spirit,1.12,50.91
clinkz,1.09,49.01
pangolier,1.05,54.08
oracle,1.02,46.69
tusk,0.97,54.53
razor,0.89,49.52
viper,0.88,49.88
pudge,0.86,49.01
brewmaster,0.84,50.79
underlord,0.83,46.26
magnus,0.82,51.88
dark-willow,0.81,50.87
centaur-warrunner,0.77,47.04
necrophos,0.72,47.23
lone-druid,0.71,49.33
keeper-of-the-light,0.68,53.36
undying,0.68,48.15
tidehunter,0.57,51.88
vengeful-spirit,0.57,48.59
death-prophet,0.56,51.54
dragon-knight,0.54,51.77
lina,0.51,53.29
venomancer,0.50,50.97
timbersaw,0.41,50.53
tinker,0.40,50.20
grimstroke,0.35,52.57
juggernaut,0.35,48.94
batrider,0.35,58.15
doom,0.34,54.69
ogre-magi,0.32,48.84
terrorblade,0.31,55.51
mirana,0.30,54.94
bane,0.28,50.77
lion,0.27,51.40
rubick,0.27,53.69
wraith-king,0.26,44.93
natures-prophet,0.20,54.72
marci,0.19,50.58
phoenix,0.17,50.83
dazzle,0.15,53.23
snapfire,0.15,54.42
tiny,0.15,53.74
kunkka,0.12,48.86
alchemist,0.09,50.65
dawnbreaker,0.08,50.38
dark-seer,0.07,50.48
pugna,0.05,52.99
troll-warlord,0.04,50.97
arc-warden,0.04,48.27
shadow-shaman,0.04,48.18
omniknight,0.03,47.86
abaddon,0.03,44.44
phantom-lancer,0.02,54.51
clockwerk,0.01,48.49
shadow-demon,0.01,51.67
spirit-breaker,-0.01,50.17
silencer,-0.03,47.71
bloodseeker,-0.05,49.29
hoodwink,-0.08,54.95
night-stalker,-0.09,48.20
gyrocopter,-0.11,54.17
techies,-0.16,54.13
enigma,-0.20,51.71
disruptor,-0.21,51.25
invoker,-0.28,53.58
phantom-assassin,-0.30,50.56
puck,-0.35,52.87
nyx-assassin,-0.38,49.82
leshrac,-0.40,51.59
ursa,-0.41,52.64
muerta,-0.42,54.09
weaver,-0.47,52.39
warlock,-0.47,46.43
slark,-0.48,51.77
slardar,-0.48,52.60
primal-beast,-0.51,53.97
crystal-maiden,-0.55,51.25
treant-protector,-0.56,48.81
morphling,-0.56,57.17
outworld-destroyer,-0.58,49.88
windranger,-0.61,51.56
ringmaster,-0.61,49.10
jakiro,-0.62,51.14
earthshaker,-0.67,52.64
elder-titan,-0.77,51.29
lich,-0.79,47.46
winter-wyvern,-0.94,52.09
bounty-hunter,-0.95,50.51
ancient-apparition,-0.95,49.32
legion-commander,-1.09,49.22
sniper,-1.10,52.74
luna,-1.16,49.46
witch-doctor,-1.44,49.30
axe,-1.62,50.24
drow-ranger,-1.66,52.71
monkey-king,-1.71,58.98
riki,-1.77,50.82
shadow-fiend,-2.24,53.97
sand-king,-2.31,50.43
