id,hero,urlname
0,Abaddon,abaddon
1,Alchemist,alchemist
2,Ancient Apparition,ancient-apparition
3,Anti-Mage,anti-mage
4,Arc Warden,arc-warden
5,Bane,bane
6,Batrider,batrider
7,Beastmaster,beastmaster
8,Bloodseeker,bloodseeker
9,Bounty Hunter,bounty-hunter
10,Brewmaster,brewmaster
11,Bristleback,bristleback
12,Broodmother,broodmother
13,Centaur Warrunner,centaur-warrunner
14,Chaos Knight,chaos-knight
15,Chen,chen
16,Clinkz,clinkz
17,Clockwerk,clockwerk
18,Crystal Maiden,crystal-maiden
19,Dark Seer,dark-seer
20,Dark Willow,dark-willow
21,Dawnbreaker,dawnbreaker
22,Dazzle,dazzle
23,Death Prophet,death-prophet
24,Disruptor,disruptor
25,Doom,doom
26,Dragon Knight,dragon-knight
27,Drow Ranger,drow-ranger
28,Earth Spirit,earth-spirit
29,Earthshaker,earthshaker
30,Elder Titan,elder-titan
31,Ember Spirit,ember-spirit
32,Enchantress,enchantress
33,Enigma,enigma
34,Faceless Void,faceless-void
35,Grimstroke,grimstroke
36,Gyrocopter,gyrocopter
37,Hoodwink,hoodwink
38,Huskar,huskar
39,Invoker,invoker
40,Jakiro,jakiro
41,Juggernaut,juggernaut
42,Keeper of the Light,keeper-of-the-light
43,Kunkka,kunkka
44,Legion Commander,legion-commander
45,Leshrac,leshrac
46,Lich,lich
47,Lifestealer,lifestealer
48,Lina,lina
49,Lion,lion
50,Lone Druid,lone-druid
51,Luna,luna
52,Lycan,lycan
53,Magnus,magnus
54,Marci,marci
55,Mars,mars
56,Medusa,medusa
57,Meepo,meepo
58,Mirana,mirana
59,Monkey King,monkey-king
60,Morphling,morphling
61,Muerta,muerta
62,Naga Siren,naga-siren
63,Nature's Prophet,natures-prophet
64,Necrophos,necrophos
65,Night Stalker,night-stalker
66,Nyx Assassin,nyx-assassin
67,Ogre Magi,ogre-magi
68,Omniknight,omniknight
69,Oracle,oracle
70,Outworld Destroyer,outworld-destroyer
71,Pangolier,pangolier
72,Phantom Assassin,phantom-assassin
73,Phantom Lancer,phantom-lancer
74,Phoenix,phoenix
75,Primal Beast,primal-beast
76,Puck,puck
77,Pudge,pudge
78,Pugna,pugna
79,Queen of Pain,queen-of-pain
80,Razor,razor
81,Riki,riki
82,Ringmaster,ringmaster
83,Rubick,rubick
84,Sand King,sand-king
85,Shadow Demon,shadow-demon
86,Shadow Fiend,shadow-fiend
87,Shadow Shaman,shadow-shaman
88,Silencer,silencer
89,Skywrath Mage,skywrath-mage
90,Slardar,slardar
91,Slark,slark
92,Snapfire,snapfire
93,Sniper,sniper
94,Spectre,spectre
95,Spirit Breaker,spirit-breaker
96,Storm Spirit,storm-spirit
97,Sven,sven
98,Techies,techies
99,Templar Assassin,templar-assassin
100,Terrorblade,terrorblade
101,Tidehunter,tidehunter
102,Timbersaw,timbersaw
103,Tinker,tinker
104,Tiny,tiny
105,Treant Protector,treant-protector
106,Troll Warlord,troll-warlord
107,Tusk,tusk
108,Underlord,underlord
109,Undying,undying
110,Ursa,ursa
111,Vengeful Spirit,vengeful-spirit
112,Venomancer,venomancer
113,Viper,viper
114,Visage,visage
115,Void Spirit,void-spirit
116,Warlock,warlock
117,Weaver,weaver
118,Windranger,windranger
119,Winter Wyvern,winter-wyvern
120,Witch Doctor,witch-doctor
121,Wraith King,wraith-king
122,Zeus,zeus
