hero,disadvantage,winrate
elder-titan,4.80,50.69
dark-seer,3.67,51.93
doom,3.05,56.90
broodmother,2.98,52.62
outworld-destroyer,2.98,51.53
lone-druid,2.97,52.25
ancient-apparition,2.78,50.87
anti-mage,2.73,54.53
chen,2.70,60.03
tusk,2.49,57.89
pangolier,2.44,57.61
undying,2.37,51.74
marci,2.36,53.54
primal-beast,2.28,56.11
monkey-king,2.26,59.73
tinker,2.18,53.57
shadow-demon,2.17,54.59
meepo,2.15,55.37
earthshaker,2.10,55.00
grimstroke,2.08,55.82
death-prophet,2.03,55.09
shadow-fiend,1.98,54.94
slark,1.97,54.47
phantom-lancer,1.94,57.43
io,1.81,54.43
sven,1.72,58.82
pugna,1.35,56.59
terrorblade,1.35,59.23
razor,1.32,54.30
rubick,1.31,57.64
omniknight,1.30,51.88
mars,1.29,57.41
templar-assassin,1.27,60.75
underlord,1.27,51.26
muerta,1.26,57.31
lina,1.24,57.53
magnus,1.20,56.57
naga-siren,1.12,57.63
kunkka,1.10,53.15
weaver,1.05,55.92
snapfire,1.04,58.42
lycan,1.01,54.72
clockwerk,1.00,52.79
invoker,0.97,57.33
dark-willow,0.97,55.81
medusa,0.93,50.50
lich,0.92,51.15
keeper-of-the-light,0.92,58.07
enchantress,0.90,57.54
natures-prophet,0.89,58.89
techies,0.87,57.99
leshrac,0.78,55.51
drow-ranger,0.76,55.38
alchemist,0.72,55.16
oracle,0.67,52.40
dawnbreaker,0.64,54.97
nyx-assassin,0.59,54.08
bloodseeker,0.52,53.95
lion,0.48,56.26
ursa,0.46,56.78
necrophos,0.40,52.91
viper,0.38,55.53
dragon-knight,0.37,56.99
lifestealer,0.37,55.09
chaos-knight,0.36,56.30
tiny,0.35,58.44
sniper,0.33,56.47
hoodwink,0.32,59.42
visage,0.31,54.15
riki,0.19,54.03
phantom-assassin,0.18,55.24
treant-protector,0.13,53.42
night-stalker,0.12,53.31
windranger,0.08,56.01
luna,0.08,53.56
crystal-maiden,0.07,55.75
enigma,0.07,56.51
beastmaster,0.04,60.69
ember-spirit,0.01,58.94
tidehunter,-0.01,57.49
disruptor,-0.02,56.18
huskar,-0.02,57.89
pudge,-0.06,55.08
sand-king,-0.12,53.57
mirana,-0.14,60.21
vengeful-spirit,-0.16,54.58
timbersaw,-0.20,56.29
faceless-void,-0.23,59.72
winter-wyvern,-0.24,56.47
ringmaster,-0.29,54.08
spirit-breaker,-0.29,55.59
venomancer,-0.29,56.89
morphling,-0.31,61.75
warlock,-0.36,51.77
zeus,-0.41,55.57
witch-doctor,-0.44,53.63
centaur-warrunner,-0.44,53.60
gyrocopter,-0.45,59.40
void-spirit,-0.54,54.53
bristleback,-0.57,57.42
slardar,-0.58,57.70
juggernaut,-0.63,55.10
clinkz,-0.65,55.97
troll-warlord,-0.65,56.76
batrider,-0.86,64.13
puck,-1.02,58.58
earth-spirit,-1.04,58.22
storm-spirit,-1.19,57.31
shadow-shaman,-1.20,54.68
phoenix,-1.24,57.40
legion-commander,-1.34,54.69
queen-of-pain,-1.40,57.52
ogre-magi,-1.49,55.82
dazzle,-1.53,59.89
jakiro,-1.55,57.17
arc-warden,-1.60,55.21
bane,-1.75,57.98
bounty-hunter,-1.85,56.62
brewmaster,-1.87,58.73
wraith-king,-2.24,52.86
skywrath-mage,-2.35,57.45
silencer,-2.55,55.57
axe,-3.40,57.14
spectre,-3.84,58.24
abaddon,0,50
