hero,disadvantage,winrate
batrider,2.43,54.85
ancient-apparition,2.04,45.74
doom,1.83,52.14
timbersaw,1.73,48.49
huskar,1.67,50.30
razor,1.65,48.08
leshrac,1.64,48.73
sand-king,1.47,46.17
clinkz,1.47,47.97
dark-seer,1.41,48.38
slardar,1.29,49.96
queen-of-pain,1.25,49.08
juggernaut,1.16,47.56
monkey-king,1.11,54.92
grimstroke,1.04,50.98
natures-prophet,1.01,52.85
death-prophet,0.97,50.28
primal-beast,0.94,51.56
mirana,0.85,53.31
bristleback,0.83,50.16
bounty-hunter,0.80,48.09
lina,0.77,52.07
terrorblade,0.75,53.92
venomancer,0.75,49.93
gyrocopter,0.72,52.30
crystal-maiden,0.67,49.30
morphling,0.65,54.81
keeper-of-the-light,0.64,52.48
hoodwink,0.62,53.20
anti-mage,0.61,50.74
phantom-assassin,0.61,49.00
weaver,0.59,50.49
slark,0.58,49.94
techies,0.55,52.40
arc-warden,0.55,47.18
vengeful-spirit,0.54,48.01
bane,0.54,49.74
necrophos,0.51,46.95
dazzle,0.50,51.94
skywrath-mage,0.46,48.79
marci,0.45,49.58
io,0.44,49.96
elder-titan,0.41,49.32
sniper,0.41,50.52
luna,0.39,47.41
winter-wyvern,0.39,49.92
viper,0.35,49.68
enchantress,0.34,52.19
witch-doctor,0.34,47.05
storm-spirit,0.31,49.93
tusk,0.30,54.13
ogre-magi,0.29,48.26
drow-ranger,0.29,49.96
lifestealer,0.25,49.33
chen,0.23,56.69
shadow-fiend,0.18,50.77
lion,0.16,50.68
brewmaster,0.16,50.73
naga-siren,0.16,52.74
nyx-assassin,0.15,48.64
shadow-demon,0.12,50.74
lich,0.12,46.11
invoker,0.09,52.27
dawnbreaker,0.08,49.66
snapfire,0.05,53.48
jakiro,0.04,49.76
bloodseeker,0.03,48.58
outworld-destroyer,0.00,48.64
troll-warlord,0.00,50.24
night-stalker,-0.01,47.57
phantom-lancer,-0.03,53.53
pugna,-0.04,52.12
zeus,-0.04,49.35
tinker,-0.05,49.94
axe,-0.06,48.12
dark-willow,-0.07,50.96
muerta,-0.07,52.74
pangolier,-0.07,54.29
omniknight,-0.08,47.42
spirit-breaker,-0.09,49.54
legion-commander,-0.11,47.70
faceless-void,-0.24,53.83
pudge,-0.24,49.35
visage,-0.25,48.83
lycan,-0.27,50.16
ursa,-0.34,51.70
treant-protector,-0.34,48.03
disruptor,-0.40,50.66
rubick,-0.43,53.36
riki,-0.51,48.88
chaos-knight,-0.54,51.34
dragon-knight,-0.55,51.98
magnus,-0.56,52.40
earthshaker,-0.57,51.68
warlock,-0.59,46.17
ember-spirit,-0.62,53.63
windranger,-0.63,50.81
undying,-0.65,48.90
abaddon,-0.65,44.84
sven,-0.77,55.47
beastmaster,-0.85,55.69
tidehunter,-0.85,52.43
silencer,-0.86,48.04
phoenix,-0.86,51.11
void-spirit,-0.88,49.01
broodmother,-0.90,50.71
underlord,-0.93,47.61
templar-assassin,-0.96,57.13
oracle,-0.98,48.22
clockwerk,-1.07,49.00
spectre,-1.11,49.67
earth-spirit,-1.11,52.38
mars,-1.15,53.90
ringmaster,-1.19,49.07
puck,-1.26,52.88
tiny,-1.34,54.22
shadow-shaman,-1.47,49.10
kunkka,-1.66,50.02
enigma,-1.68,52.41
lone-druid,-1.85,51.24
wraith-king,-2.11,46.92
centaur-warrunner,-2.22,49.49
meepo,-2.66,54.41
medusa,-3.13,48.71
alchemist,0,50
