hero,disadvantage,winrate
broodmother,5.05,46.93
meepo,5.03,48.75
phantom-lancer,4.56,51.04
pangolier,3.44,52.77
lycan,3.43,48.62
warlock,3.28,44.69
axe,2.78,47.72
legion-commander,2.54,47.48
bristleback,2.47,50.75
chaos-knight,2.14,50.84
lone-druid,2.02,49.58
centaur-warrunner,2.01,47.61
enigma,1.99,50.90
snapfire,1.92,53.74
kunkka,1.89,48.77
marci,1.87,50.38
sand-king,1.82,48.09
abaddon,1.80,44.78
dazzle,1.77,52.86
jakiro,1.76,50.31
medusa,1.60,46.34
io,1.56,51.05
earthshaker,1.48,51.91
troll-warlord,1.43,51.00
void-spirit,1.43,48.94
sven,1.38,55.36
windranger,1.34,51.15
lich,1.31,47.24
techies,1.20,53.90
dark-seer,1.19,50.82
naga-siren,1.05,53.94
primal-beast,0.97,53.65
phantom-assassin,0.95,50.91
underlord,0.94,48.03
crystal-maiden,0.93,51.24
dawnbreaker,0.92,51.03
magnus,0.92,53.08
leshrac,0.89,51.69
morphling,0.88,56.65
gyrocopter,0.86,54.26
elder-titan,0.85,51.10
tidehunter,0.84,52.87
tiny,0.81,54.21
earth-spirit,0.77,52.63
witch-doctor,0.69,49.00
lina,0.66,54.30
slark,0.62,52.08
luna,0.60,49.46
visage,0.55,50.27
tusk,0.53,55.97
spectre,0.49,50.33
pudge,0.49,50.93
rubick,0.42,54.68
wraith-king,0.26,46.99
enchantress,0.22,54.45
oracle,0.21,49.29
omniknight,0.21,49.41
anti-mage,0.20,53.30
treant-protector,0.20,49.75
undying,0.19,50.31
terrorblade,0.12,56.70
mars,0.11,54.76
shadow-fiend,0.08,53.03
ringmaster,0.07,50.10
monkey-king,-0.02,58.04
winter-wyvern,-0.04,52.54
juggernaut,-0.06,50.94
pugna,-0.07,54.29
beastmaster,-0.08,56.94
clockwerk,-0.12,50.29
spirit-breaker,-0.13,51.78
tinker,-0.17,52.27
zeus,-0.19,51.70
venomancer,-0.23,53.07
timbersaw,-0.26,52.65
invoker,-0.31,54.74
ember-spirit,-0.37,55.47
vengeful-spirit,-0.40,51.17
skywrath-mage,-0.43,51.89
lifestealer,-0.45,52.22
shadow-demon,-0.47,53.50
bloodseeker,-0.50,51.35
muerta,-0.55,55.34
riki,-0.57,51.17
alchemist,-0.63,52.81
nyx-assassin,-0.68,51.66
hoodwink,-0.70,56.55
death-prophet,-0.77,54.19
faceless-void,-0.77,56.44
brewmaster,-0.81,53.90
drow-ranger,-0.85,53.24
phoenix,-0.94,53.36
razor,-0.99,52.89
shadow-shaman,-1.00,50.89
keeper-of-the-light,-1.00,56.22
puck,-1.07,54.83
ogre-magi,-1.15,51.84
mirana,-1.19,57.38
sniper,-1.20,54.13
ursa,-1.23,54.72
batrider,-1.26,60.54
huskar,-1.34,55.43
queen-of-pain,-1.38,53.76
bane,-1.42,53.90
weaver,-1.47,54.67
natures-prophet,-1.54,57.41
dark-willow,-1.57,54.61
storm-spirit,-1.61,53.99
lion,-1.63,54.45
viper,-1.71,53.88
disruptor,-1.71,54.14
dragon-knight,-1.73,55.27
bounty-hunter,-1.74,52.82
chen,-1.83,60.78
ancient-apparition,-1.85,51.85
grimstroke,-1.90,56.06
slardar,-2.13,55.50
clinkz,-2.38,54.04
templar-assassin,-2.38,60.57
silencer,-2.51,51.89
necrophos,-3.33,52.91
outworld-destroyer,-3.73,54.56
doom,-4.17,60.17
night-stalker,-4.22,53.99
arc-warden,0,50
